slot,repeat,fine_possible,fine_discontinuous,fine_geometry_rejected,fine_collision_rejected,fine_retained,endpoint_nodes,endpoint_layers,endpoint_possible,endpoint_retained,distance_fit_solver_status,time_fit_solver_status,endpoint_pruned_fraction,fine_pruned_fraction,graph_build_s,candidate_validation_s,distance_fit_feasible,time_fit_feasible,distance_fit_status,time_fit_status
panda_plane_p1_u,1,86575,71729,2094,0,12752,218,20,2472,495,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.7997572815533981,0.8527057464626047,11.151889055996435,0.13268568700004835,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_plane_p1_u,2,86575,71729,2094,0,12752,218,20,2472,495,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.7997572815533981,0.8527057464626047,11.333550893992651,0.13268568700004835,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_plane_p1_v,0,109056,90048,423,0,18585,314,28,3624,470,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.870309050772627,0.8295829665492958,14.837533582991455,0.18462370499037206,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_plane_p1_v,1,109056,90048,423,0,18585,314,28,3624,470,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.870309050772627,0.8295829665492958,14.911006002002978,0.18462370499037206,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_plane_p1_v,2,109056,90048,423,0,18585,314,28,3624,470,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.870309050772627,0.8295829665492958,14.965836977004074,0.18462370499037206,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p0_u,0,94050,80538,824,0,12688,218,20,2472,366,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8519417475728155,0.8650930356193514,10.52369882700441,0.1340875759924529,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p0_u,1,94050,80538,824,0,12688,218,20,2472,366,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8519417475728155,0.8650930356193514,10.427301669013104,0.1340875759924529,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p0_u,2,94050,80538,824,0,12688,218,20,2472,366,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.8519417475728155,0.8650930356193514,10.483802532995469,0.1340875759924529,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p0_v,0,109056,90117,850,0,18089,314,28,3624,804,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.7781456953642384,0.8341310886150235,15.719437438005116,0.18533247300365474,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p0_v,1,109056,90117,850,0,18089,314,28,3624,804,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.7781456953642384,0.8341310886150235,15.83288685399748,0.18533247300365474,True,True,verified_graph_initial_path,verified_graph_initial_path
panda_saddle_p0_v,2,109056,90117,850,0,18089,314,28,3624,804,direct_fit_no_continuous_fitting_solver,direct_fit_no_continuous_fitting_solver,0.7781456953642384,0.8341310886150235,15.862702451995574,0.18533247300365474,True,True,verified_graph_initial_path,verified_graph_initial_path
