slot,robot,method,repeat,status,reasons,physical_run,quality_completed,completion_time_s,elapsed_until_stop_s,total_plan_wall_s
panda_cylinder_p1_v,panda,B1,2,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,30.49965549899207
panda_cylinder_p1_v,panda,B2-common,0,planner_feasible,"[""max_hole_diameter_upper_bound_m""]",True,False,,19.990000000001448,45.74328325400711
panda_plane_p0_u,panda,A2,0,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,44.11123301098996
panda_plane_p0_u,panda,A2,1,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,43.71692567500577
panda_plane_p0_u,panda,A2,2,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,43.95262052300677
panda_plane_p0_u,panda,B2-common,0,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,44.11123301098996
panda_plane_p0_u,panda,B2-common,1,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,43.71692567500577
panda_plane_p0_u,panda,B2-common,2,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,43.95262052300677
panda_plane_p0_u,panda,Proposed,0,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,44.11123301098996
panda_plane_p0_u,panda,Proposed,1,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,43.71692567500577
panda_plane_p0_u,panda,Proposed,2,graph_connected_but_no_verified_C2_fit,"[""graph_connected_but_no_verified_C2_fit""]",False,,,,43.95262052300677
panda_plane_p0_v,panda,B2-common,0,planner_feasible,"[""max_hole_diameter_upper_bound_m""]",True,False,,18.094999999999132,50.16496642900165
panda_plane_p1_u,panda,B0,0,geometric_initialization_failed,"[""geometric_initialization_failed""]",False,,,,0.050312200997723266
panda_plane_p1_u,panda,B0,1,geometric_initialization_failed,"[""geometric_initialization_failed""]",False,,,,0.050583067000843585
panda_plane_p1_u,panda,B0,2,geometric_initialization_failed,"[""geometric_initialization_failed""]",False,,,,0.04934763300116174
panda_plane_p1_u,panda,B1,0,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,31.761931678003748
panda_plane_p1_u,panda,B1,1,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,31.838618808003957
panda_plane_p1_u,panda,B1,2,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,31.898873313999502
panda_saddle_p0_v,panda,B0,0,geometric_initialization_failed,"[""geometric_initialization_failed""]",False,,,,0.4153729069948895
panda_saddle_p0_v,panda,B0,1,geometric_initialization_failed,"[""geometric_initialization_failed""]",False,,,,0.41557406799984165
panda_saddle_p0_v,panda,B0,2,geometric_initialization_failed,"[""geometric_initialization_failed""]",False,,,,0.4173022739996668
panda_saddle_p0_v,panda,B1,0,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,32.35635140200611
panda_saddle_p0_v,panda,B1,1,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,32.35969182000554
panda_saddle_p0_v,panda,B1,2,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,30.61374323698692
panda_saddle_p1_v,panda,B0,0,dense_geometry_or_timing_failed,"[""dense_geometry_or_timing_failed""]",False,,,,1.4921913970028982
panda_saddle_p1_v,panda,B0,1,dense_geometry_or_timing_failed,"[""dense_geometry_or_timing_failed""]",False,,,,1.474979673002963
panda_saddle_p1_v,panda,B0,2,dense_geometry_or_timing_failed,"[""dense_geometry_or_timing_failed""]",False,,,,1.486155990001862
panda_saddle_p1_v,panda,B1,0,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,31.529665929003386
panda_saddle_p1_v,panda,B1,1,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,31.377140356999007
panda_saddle_p1_v,panda,B1,2,no_verified_path_at_primary_checkpoint,"[""no_verified_path_at_primary_checkpoint""]",False,,,,30.630866630002856
ur5e_cylinder_p1_v,ur5e,B2-common,0,planner_feasible,"[""max_hole_diameter_upper_bound_m""]",True,False,,17.908999999998905,36.15588218200719
ur5e_plane_p1_v,ur5e,B2-common,0,planner_feasible,"[""max_hole_diameter_upper_bound_m""]",True,False,,18.885000000000097,26.715393072008737
