robot,baseline,method,metric,paired_scenes,clusters,difference,ci_lower,ci_upper,status,scope,interval_scope,mean_ratio,median_scene_ratio,ratio_ci_lower,ratio_ci_upper,median_scene_ratio_ci_lower,median_scene_ratio_ci_upper
panda,A1,Proposed,quality_execution_s,9,6,1.2990833333349208,0.15158333333351828,3.0613333333370747,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.0577965460734235,1.0,1.006847072020364,1.1417201936617831,1.0,1.0581397453371606
panda,A1,Proposed,quality_transition_s,9,6,0.5852500000005253,0.08491666666669821,1.3936666666679691,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.0829435941043646,1.0,1.0115144681293304,1.2194606653108424,1.0,1.07424082423644
panda,A1,Proposed,total_plan_wall_s,12,6,0.870035091752572,-0.6918729801380094,2.5912149447224997,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.021203870246083,1.000305065828885,0.9833423013938648,1.06325282816752,0.9991338955219332,1.0260330691049608
panda,A1,Proposed,physical_verified_path_available_s,9,6,5.840603390914718,1.0738579768367345,12.367360177491113,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.386788226962331,1.000529228120892,1.0687813259707057,1.844886038044893,1.000368654898579,1.8715245563126006
panda,A2,Proposed,quality_completed,12,6,0.0,0.0,0.0,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
panda,A2,Proposed,quality_execution_s,9,6,-0.6067500000002107,-1.1130833333341628,-0.14133333333350606,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9751155192213024,1.0,0.9550429675582217,0.9939778715184511,0.9529596370631213,1.0
panda,A2,Proposed,quality_transition_s,9,6,-0.4304166666671018,-0.7321666666674057,-0.1417500000001528,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,0.9466756142886268,1.0,0.9127315239317058,0.9812036188163512,0.9017269929264815,1.0
panda,A2,Proposed,total_plan_wall_s,12,6,20.05183123255766,15.749407026028752,24.51659888391926,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.9176995682391211,2.357089659502311,1.5757512452645426,2.425283604447979,2.240723214147458,2.765785853643379
panda,A2,Proposed,physical_verified_path_available_s,9,6,6.375094883497998,1.607295080665305,12.65708639366494,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.437676474304784,1.0,1.1107680558029,1.8843026271937129,1.0,1.8959054993771507
panda,B1,A2,quality_completed,12,6,0.25,-0.08333333333333333,0.5,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
panda,B1,A2,quality_execution_s,5,5,3.253800000002702,0.41400000000050596,7.976600000005925,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.1473374388698658,1.035995603590439,1.0189276178633022,1.3686220935982607,0.9892275488844515,1.5990630767050298
panda,B1,A2,quality_transition_s,5,5,1.8694000000016113,0.5224000000002818,4.144800000003737,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.2950441919193858,1.1098149637972907,1.0859618938380458,1.7705825531288661,1.0492853622474179,2.3732409612481944
