slot,method,repeat,post_graph_budget_s,checkpoint_scope,best_plan_duration_s,native_saved_timing_s,recorded_available_s,status,common_speed_reserve,physical_quality_not_yet_verified
panda_cylinder_p0_u,B2-common,1,5,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,B2-common,1,10,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,B2-common,1,30,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,B2-common,2,1,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,B2-common,2,5,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,B2-common,2,10,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,B2-common,2,30,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,0,1,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,0,5,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,0,10,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,0,30,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,1,1,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,1,5,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,1,10,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,1,30,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,2,1,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,2,5,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,2,10,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_u,Proposed,2,30,post_graph_optimization,,,,graph_connected_but_no_verified_C2_fit,0.9,True
panda_cylinder_p0_v,A1,0,1,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,0,5,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
panda_cylinder_p0_v,A1,0,10,post_graph_optimization,26.13978674875142,,,verified_plan_checkpoint,0.9,True
