site_id,uid,role,family,frame,current_query_hash,candidate_id,aliases,variant,current_verifier_accepted,current_q,initial_position_error,initial_orientation_error,initial_velocity_margin_rad,initial_joint_limit_margin,initial_sigma_min,initial_reference_distance,distance_to_previous,next_target_linearized_pseudoinverse_velocity_utilization,nearest,repeats,completed,horizon,first_failure_frames,contiguous_success_frames,minimum_velocity_margins,first_failure_kinds
case_00_first_divergence,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,0,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_00,"['original_focal', 'common_input_full_cghik', 'previous_first_dls']",trac_5ms,True,"[-2.7691007452021363, 0.5098014821322331, 0.10439499060029356, -0.2505595781332633, -1.7511606198845608, 2.747537522868634, -2.4941311133416035]",5.508465738265792e-05,8.817695159586652e-05,0.0436,0.12819925479786365,0.018450359834107814,5.65963942452119e-05,0.0,0.0046661773632024365,True,5,5,30,"[None, None, None, None, None]","[30, 30, 30, 30, 30]","[0.040961534257714566, 0.040961534257714566, 0.040961534257714566, 0.04096153426820928, 0.040961534257714566]",{}
case_00_first_divergence,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,0,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_01,"['original_always_hard', 'common_input_always_hard']",trac_5ms,True,"[-2.7680182892299268, 0.509063131981592, 0.1062642615275663, -0.25106415665520415, -1.7514597966096541, 2.7473045598171035, -2.493428224986013]",0.0009765062372761943,0.003147381182887141,0.04173072907272726,0.12928171077007322,0.018395214269459056,0.001925867321517949,0.0024705213412790977,0.028486119286422768,False,5,5,30,"[None, None, None, None, None]","[30, 30, 30, 30, 30]","[0.04096123269212684, 0.040961232705249456, 0.040961232705249456, 0.040961232705249456, 0.040961232715869295]",{}
case_00_first_divergence,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,0,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_02,['original_trac_ik_5ms'],trac_5ms,True,"[-2.769105831930254, 0.5098455593190636, 0.1044087663418494, -0.2505902154797024, -1.751136366284565, 2.7474966588596574, -2.494116321079643]",1.0898682324691854e-05,4.676747235542937e-06,0.04355592281316947,0.12819416806974582,0.01844741744287096,7.037213580105006e-05,7.465927009017088e-05,0.0038849661773128655,False,5,5,30,"[None, None, None, None, None]","[30, 30, 30, 30, 30]","[0.04096153425563445, 0.04096153425563445, 0.04096153425563445, 0.04096153425563445, 0.04096153425563445]",{}
case_00_first_divergence,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,0,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_03,['offline_reference'],trac_5ms,True,"[-2.7690648182934368, 0.5098463832624072, 0.10433839420604835, -0.25059320410618685, -1.7511145173837595, 2.7474816895468113, -2.4941010448656757]",0.0,0.0,0.04354340360575479,0.12823518170656323,0.01844721207077606,0.0,0.00011742072136877401,0.00349957096021762,False,5,5,30,"[None, None, None, None, None]","[30, 30, 30, 30, 30]","[0.040961550036092614, 0.040961550036092614, 0.040961550036092614, 0.040961550036092614, 0.040961550036092614]",{}
case_00_first_divergence,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,0,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_04,"['common_input_trac_0', 'common_input_trac_1', 'common_input_trac_2', 'common_input_trac_3', 'common_input_trac_4']",trac_5ms,True,"[-2.769077895441902, 0.5098477334451014, 0.10439641637925269, -0.2505925133764414, -1.7511589772808427, 2.747476504531221, -2.494103540707367]",2.3809413983291645e-09,3.1135944799460235e-09,0.043553748687131716,0.1282221045580978,0.01844769058192119,5.802217320434455e-05,9.074273734030792e-05,0.0034996303219429264,False,5,5,30,"[None, None, None, None, None]","[30, 30, 30, 30, 30]","[0.040961534257951376, 0.040961534257951376, 0.040961534257951376, 0.040961534257951376, 0.040961534257951376]",{}
case_00_first_divergence,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,0,924c6eac2cbc15cc1de01b3d57f38f87b060c66e1406101e98eaedf1b6dfbca4,candidate_05,['refined_focal'],trac_5ms,True,"[-2.769077842429257, 0.5098540523811522, 0.1043995251422522, -0.2505828633438755, -1.7511541147344625, 2.74747693159723, -2.4941122778270035]",2.890867233338015e-07,2.0082692166881677e-08,0.04354742975108086,0.12822215757074318,0.018448963029235193,6.113093620385701e-05,8.899060028705718e-05,0.0035077283177467303,False,5,5,30,"[None, None, None, None, None]","[30, 30, 30, 30, 30]","[0.040961534257205306, 0.0409615342679899, 0.0409615342679899, 0.0409615342679899, 0.0409615342679899]",{}
case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,119,8829e3f17af5b2a401d380d7639db5911ffa3875f5e5a89bef37f8562ae7a6c8,candidate_00,"['original_focal', 'common_input_always_hard', 'common_input_full_cghik']",trac_5ms,True,"[-2.6079751820393042, 0.9134472834046279, 0.09148757144933903, -0.448275987660695, -1.7210855120009896, 2.20239967120982, -2.283235892620581]",0.0009964227901341487,0.0002523716095368108,0.03856438063185316,0.28932481796069576,0.004096585113363696,0.4539239741415486,0.007925415783346566,4.534728039797828,True,5,0,30,"[120, 120, 120, 120, 120]","[0, 0, 0, 0, 0]","[None, None, None, None, None]",{'solver_failure': 5}
case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,119,8829e3f17af5b2a401d380d7639db5911ffa3875f5e5a89bef37f8562ae7a6c8,candidate_00,"['original_focal', 'common_input_always_hard', 'common_input_full_cghik']",trac_100ms,True,"[-2.6079751820393042, 0.9134472834046279, 0.09148757144933903, -0.448275987660695, -1.7210855120009896, 2.20239967120982, -2.283235892620581]",0.0009964227901341487,0.0002523716095368108,0.03856438063185316,0.28932481796069576,0.004096585113363696,0.4539239741415486,0.007925415783346566,4.534728039797828,True,5,0,30,"[120, 120, 120, 120, 120]","[0, 0, 0, 0, 0]","[None, None, None, None, None]",{'solver_failure': 5}
case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,119,8829e3f17af5b2a401d380d7639db5911ffa3875f5e5a89bef37f8562ae7a6c8,candidate_00,"['original_focal', 'common_input_always_hard', 'common_input_full_cghik']",trac_5ms_interior,True,"[-2.6079751820393042, 0.9134472834046279, 0.09148757144933903, -0.448275987660695, -1.7210855120009896, 2.20239967120982, -2.283235892620581]",0.0009964227901341487,0.0002523716095368108,0.03856438063185316,0.28932481796069576,0.004096585113363696,0.4539239741415486,0.007925415783346566,4.534728039797828,True,5,0,30,"[120, 120, 120, 120, 120]","[0, 0, 0, 0, 0]","[None, None, None, None, None]",{'solver_failure': 5}
case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,near_singular,119,8829e3f17af5b2a401d380d7639db5911ffa3875f5e5a89bef37f8562ae7a6c8,candidate_01,['refined_focal'],trac_5ms,True,"[-2.5979742384999733, 0.8894008984653249, 0.05001429332149801, -0.48684036829254607, -1.697173988185783, 2.207857386176326, -2.2633033147675623]",0.0006352896070353977,1.9276943506127664e-05,2.0816681711721685e-15,0.29932576150002665,0.010049417082049164,0.41245069601370754,0.07514283829199904,1.1989332914052373,False,5,5,30,"[None, None, None, None, None]","[30, 30, 30, 30, 30]","[0.003112626064557117, 0.003112626064557117, 0.003112626064557117, 0.003112626064557117, 0.003112626064557117]",{}
