dataset,method,kappa,repeat,complete,deadline_complete,cumulative_ms,latency_ms,edge_pct,acceleration_rms,evaluations,dual_updates
original 40-path development reconstruction,cached_tight,1,0,40,40,1813.7094280000001,"[0.27747299999999997, 0.4364580500000002, 0.6717213500000007]",0.9333333333333335,3.2143507266191564,11889,5889
original 40-path development reconstruction,gn,1,0,40,40,1738.242724,"[0.2691205, 0.35565455, 0.5024457000000001]",0.9333333333333335,3.2143505507535695,23654,0
previously observed 160-path reconstruction,cached_tight,1,0,154,154,10311.718689000001,"[0.26828949999999996, 0.4071984999999999, 6.563648799999967]",0.5322294500295683,3.7327081162551137,102100,58901
previously observed 160-path reconstruction,gn,1,0,154,154,7414.0001649999995,"[0.272756, 0.41823304999999983, 1.486860429999985]",0.4996189347108138,3.7251672212027898,125521,0
previously observed 160-path reconstruction,relative,1,0,154,154,9636.748254,"[0.263928, 0.39922004999999994, 5.143907529999725]",0.5322294500295683,3.7328939269854415,90860,48740
original 40-path development reconstruction,old_local_balance,1,0,40,40,4009.23943,"[0.6315535, 0.89096805, 1.297995540000002]",0.9333333333333335,3.214350726616722,23957,5889
original 40-path development reconstruction,relative,1,0,40,40,1778.814083,"[0.2729865, 0.41414650000000003, 0.5867876200000003]",0.9333333333333335,3.2143505507535695,11827,5827
