robot,uid,site_id,family,method,fixed_updates,repeat,known_zero,zero_found,objective,tau,accepted,changed_exact,max_change_rad,numerical_ns,saved_backup_ns,reconstructed_outer_ns,fixed_actual_updates,joint_actual_updates,zero_found_stage,numerical_phase_times_ns
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3409266,202773,3612039,0,0,initialization,"{""initialization_ns"":259425,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2962076}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,3347903,202773,3550676,0,0,initialization,"{""initialization_ns"":221283,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2958615}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,5634363,202773,5837136,0,0,initialization,"{""initialization_ns"":290285,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":5137289}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,5949293,202773,6152066,0,0,initialization,"{""initialization_ns"":440469,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":5190099}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,5713705,202773,5916478,0,0,initialization,"{""initialization_ns"":400066,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":5001331}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_old,0,1,True,False,3.364536423240048e-20,0.0,True,True,7.815970093361102e-12,6183681,202773,6386454,0,2,,
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,4,0,True,True,0.0,0.0,True,False,0.0,3354201,202773,3556974,0,0,initialization,"{""initialization_ns"":236570,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2936020}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,6,0,True,True,0.0,0.0,True,False,0.0,3684650,176074,3860724,0,0,initialization,"{""initialization_ns"":327478,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3055342}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,3406370,176074,3582444,0,0,initialization,"{""initialization_ns"":237829,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2996217}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,3425170,176074,3601244,0,0,initialization,"{""initialization_ns"":228339,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3028299}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_old,0,2,True,False,7.991785590029336e-19,0.0,True,True,4.3606673827412124e-11,5367158,176074,5543232,0,2,,
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,6,2,True,True,0.0,0.0,True,False,0.0,3384545,176074,3560619,0,0,initialization,"{""initialization_ns"":231462,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2981899}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_old,0,1,True,False,7.991785590029336e-19,0.0,True,True,4.3606673827412124e-11,5264101,176074,5440175,0,2,,
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_old,0,0,True,False,7.991785590029336e-19,0.0,True,True,4.3606673827412124e-11,5165623,176074,5341697,0,2,,
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,4,1,True,True,0.0,0.0,True,False,0.0,3420984,176074,3597058,0,0,initialization,"{""initialization_ns"":220048,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3028091}"
