method,completed,deadline_completed,P50_ms,P95_ms,P99_ms,total_ms_per_40
trf,36/36/36,36/36/36,0.950469,6.090916199999998,10.262417039999995,10177.769902666667
single_box,39/39/39,39/39/39,0.028622,0.04413749999999996,0.08503920999999932,197.35257233333334
single_center,40/40/40,40/40/40,0.028922,0.042636499999999945,0.06748910999999998,184.04851899999997
portable_single_center_independent_FK,40/40/40,40/40/40,0.253503,0.34862649999999995,0.5049233999999999,1620.6819166666667
