input_id,robot,method,repeat,q,accepted,internal_status,internal_ok,native_status,iterations,evaluations,verification_calls,box_qp_updates,backtracking_evaluations,task_excess_objective,internal_radius,finite,joint_limit_ok,velocity_ok,position_error,orientation_error,verification_reasons,failure_kind,velocity_utilization,total_latency_ns,accepted_within_20ms
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,task_excess_isotropic,2,"[-0.38217071361530436,-0.14601164868096722,-0.791443717222819,-1.7582714004548854,2.897299999999,1.9177674790628616,-0.8454299475046048]",False,deadline,False,,19,138,139,36,119,9.560748001042733e-06,0.999999,True,True,True,0.0009999667027891439,0.008764797528029626,"[""orientation_tolerance""]",orientation_tolerance,0.9982868587381628,20146505,False
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,task_excess_gn,2,"[-0.38171430606414236,-0.1463616066866208,-0.7915184101817916,-1.7586314408374126,2.897299999999,1.9158287522939204,-0.8467725392771702]",True,task_admissible,True,,4,8,9,5,4,2.6688837857685277e-13,0.999999,True,True,True,0.000999999679372339,0.00872663987869544,[],accepted,0.9999999999990011,1501226,True
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,point_loop_control,1,"[-0.380856846789687,-0.14562408140509206,-0.7915184101817916,-1.7584102890604412,2.897299999999,1.917412745622782,-0.8466715505466824]",False,stationary,False,,22,136,137,25,114,0.0042053366853498485,0.999999,True,True,True,0.00026077927940220015,0.009526955848286613,"[""orientation_tolerance""]",orientation_tolerance,0.9999999999990011,18583831,False
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,task_excess_lbfgsb,0,"[-0.38032301906992455,-0.14944033492918876,-0.7900981604488595,-1.7614271573189104,2.897299999999,1.9207459210017466,-0.8523411472154856]",False,optimizer_stop,False,"{""code"":1,""success"":false,""message"":""STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT""}",30,37,38,0,0,0.0030722295512096995,0.999999,True,True,True,0.0009952845166490386,0.009410689665463587,"[""orientation_tolerance""]",orientation_tolerance,0.9674254648400084,6545303,False
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,task_excess_gn,1,"[-0.38171430606414236,-0.1463616066866208,-0.7915184101817916,-1.7586314408374126,2.897299999999,1.9158287522939204,-0.8467725392771702]",True,task_admissible,True,,4,8,9,5,4,2.6688837857685277e-13,0.999999,True,True,True,0.000999999679372339,0.00872663987869544,[],accepted,0.9999999999990011,1529651,True
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,task_excess_lbfgsb,1,"[-0.38032301906992455,-0.14944033492918876,-0.7900981604488595,-1.7614271573189104,2.897299999999,1.9207459210017466,-0.8523411472154856]",False,optimizer_stop,False,"{""code"":1,""success"":false,""message"":""STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT""}",30,37,38,0,0,0.0030722295512096995,0.999999,True,True,True,0.0009952845166490386,0.009410689665463587,"[""orientation_tolerance""]",orientation_tolerance,0.9674254648400084,6509550,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,task_excess_gn,0,"[-0.7135192185514497,-0.03546657026635482,-1.3675165977778028,-1.626441964491615,0.9461947547256389,1.5224373581072626,-0.27479497171473843]",False,stationary,False,,16,87,88,18,71,0.15559430360664633,0.999999,True,True,True,0.0013828127980170491,0.012267572549197267,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,13612092,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,task_excess_lbfgsb,1,"[-0.7135192183303034,-0.03546657026635482,-1.3675165977778028,-1.6264419638815943,0.9461947531161993,1.5224373578216726,-0.2747949728818326]",False,optimizer_stop,False,"{""code"":1,""success"":false,""message"":""STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT""}",30,35,36,0,0,0.1555943036067084,0.999999,True,True,True,0.0013828128354107328,0.01226757224133194,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,6314665,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,single_gn_k0,0,"[-0.7134905465921689,-0.03546657026635482,-1.3675165977778028,-1.626463497660127,0.9462252697295794,1.5227174452476717,-0.27479510581254984]",False,stationary,False,,15,100,,17,,,,True,True,True,0.0013530044616016025,0.012513007307313178,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,3843997,False
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,task_excess_gn,2,"[-0.7135192185514497,-0.03546657026635482,-1.3675165977778028,-1.626441964491615,0.9461947547256389,1.5224373581072626,-0.27479497171473843]",False,stationary,False,,16,87,88,18,71,0.15559430360664633,0.999999,True,True,True,0.0013828127980170491,0.012267572549197267,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,0.999999999999,13446498,False
