input_id,robot,method,accepted_fraction,source_uids,source_methods,latency_mean_ms,continued_dual_calls,continued_dual_accepted_calls
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,single_gn_k1,0.0,"[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]","[""single_gn_clip""]",3.9193493333333334,0,0
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,task_excess_gn,1.0,"[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]","[""single_gn_clip""]",1.8113076666666668,0,0
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,task_balance_k0,1.0,"[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]","[""single_gn_clip""]",1.4984266666666668,3,3
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,task_balance_k1,1.0,"[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]","[""single_gn_clip""]",1.867597,3,3
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,single_gn_k0,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_clip""]",3.7940506666666667,0,0
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,single_gn_k1,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_clip""]",3.7828446666666666,0,0
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,task_excess_gn,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_clip""]",12.355714666666666,0,0
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,task_balance_k0,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_clip""]",8.434686333333334,3,0
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,task_balance_k1,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_clip""]",20.232359666666667,3,0
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,single_gn_k0,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_osqp""]",3.7563406666666666,0,0
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,single_gn_k1,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_osqp""]",4.420187666666667,0,0
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,task_excess_gn,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_osqp""]",13.73206,0,0
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,task_balance_k0,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_osqp""]",7.245909666666667,3,0
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,task_balance_k1,0.0,"[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]","[""single_gn_osqp""]",20.225734,3,0
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,single_gn_k0,0.0,"[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]","[""single_gn_osqp""]",7.457605,0,0
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,single_gn_k1,0.0,"[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]","[""single_gn_osqp""]",7.335246,0,0
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,task_excess_gn,1.0,"[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]","[""single_gn_osqp""]",4.406500333333333,0,0
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,task_balance_k0,1.0,"[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]","[""single_gn_osqp""]",2.3396436666666665,3,3
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,task_balance_k1,1.0,"[""16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93""]","[""single_gn_osqp""]",2.3370453333333336,3,3
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,single_gn_k0,1.0,"[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]","[""single_gn_clip""]",0.286119,0,0
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,single_gn_k1,1.0,"[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]","[""single_gn_clip""]",0.3037146666666667,0,0
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,task_excess_gn,1.0,"[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]","[""single_gn_clip""]",1.111215,0,0
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,task_balance_k0,1.0,"[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]","[""single_gn_clip""]",0.546051,0,0
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,task_balance_k1,1.0,"[""d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c""]","[""single_gn_clip""]",0.5133746666666666,0,0
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,single_gn_k0,0.0,"[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]","[""single_gn_k1""]",3.8060596666666666,0,0
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,single_gn_k1,0.0,"[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]","[""single_gn_k1""]",3.8660846666666666,0,0
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,task_excess_gn,1.0,"[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]","[""single_gn_k1""]",2.943844,0,0
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,task_balance_k0,1.0,"[""617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f""]","[""single_gn_k1""]",1.7153866666666668,3,3
