problem_id,robot,stratum,kappa,method,repeat,theta,dual_updates,box_qp_updates,primal_upper,dual_lower,gap,converged,task_feasible_early,deadline,status,objective,feasible_box_violation,normal_residual,box_minorant_lower,task_squared,total_ns,solve_ns,conversion_ns,actual_verifier_calls,updated,raw_gap
panda_trajectory_30_k0_f63,panda,regular_first_subproblems,0,scalar_early,4,0.5,1,1,,0.0006561976785654277,,False,True,False,task_feasible_early,0.0006562686112077735,0.0,3.896867001259406e-14,0.0006561976785654277,"[8.490581461022982e-08,2.267710993020464e-07]",210034,171862,3815,1,True,
panda_trajectory_30_k0_f63,panda,regular_first_subproblems,0,scalar_early,2,0.5,1,1,,0.0006561976785654277,,False,True,False,task_feasible_early,0.0006562686112077735,0.0,3.896867001259406e-14,0.0006561976785654277,"[8.490581461022982e-08,2.267710993020464e-07]",200743,161902,3639,1,True,
panda_trajectory_30_k0_f63,panda,regular_first_subproblems,0,scalar_early,1,0.5,1,1,,0.0006561976785654277,,False,True,False,task_feasible_early,0.0006562686112077735,0.0,3.896867001259406e-14,0.0006561976785654277,"[8.490581461022982e-08,2.267710993020464e-07]",209051,171695,3715,1,True,
panda_trajectory_30_k0_f85,panda,regular_first_subproblems,0,scalar_early,2,0.5,1,1,,0.002889546029985254,,False,True,False,task_feasible_early,0.002889839106084617,0.0,1.3518122232560534e-13,0.002889546029985254,"[9.140201060527186e-07,3.2786790732611437e-07]",218156,180169,3710,1,True,
panda_trajectory_30_k0_f85,panda,regular_first_subproblems,0,scalar_early,3,0.5,1,1,,0.002889546029985254,,False,True,False,task_feasible_early,0.002889839106084617,0.0,1.3518122232560534e-13,0.002889546029985254,"[9.140201060527186e-07,3.2786790732611437e-07]",202792,165556,3833,1,True,
panda_trajectory_30_k0_f85,panda,regular_first_subproblems,0,scalar_early,1,0.5,1,1,,0.002889546029985254,,False,True,False,task_feasible_early,0.002889839106084617,0.0,1.3518122232560534e-13,0.002889546029985254,"[9.140201060527186e-07,3.2786790732611437e-07]",217958,179290,3559,1,True,
panda_trajectory_30_k0_f85,panda,regular_first_subproblems,0,scalar_early,4,0.5,1,1,,0.002889546029985254,,False,True,False,task_feasible_early,0.002889839106084617,0.0,1.3518122232560534e-13,0.002889546029985254,"[9.140201060527186e-07,3.2786790732611437e-07]",199222,162534,3820,1,True,
panda_trajectory_30_k0_f85,panda,regular_first_subproblems,0,scalar_early,0,0.5,1,1,,0.002889546029985254,,False,True,False,task_feasible_early,0.002889839106084617,0.0,1.3518122232560534e-13,0.002889546029985254,"[9.140201060527186e-07,3.2786790732611437e-07]",210755,172493,3627,1,True,
panda_trajectory_30_k0_f106,panda,regular_first_subproblems,0,scalar_early,0,0.5,1,1,,0.004398349882047568,,False,True,False,task_feasible_early,0.0043985322716531446,0.0,9.894323541199144e-14,0.004398349882047568,"[1.0910954633583394e-06,7.263162522054698e-07]",233580,192115,4378,1,True,
panda_trajectory_30_k0_f106,panda,regular_first_subproblems,0,scalar_early,2,0.5,1,1,,0.004398349882047568,,False,True,False,task_feasible_early,0.0043985322716531446,0.0,9.894323541199144e-14,0.004398349882047568,"[1.0910954633583394e-06,7.263162522054698e-07]",216773,175944,3686,1,True,
panda_trajectory_30_k0_f106,panda,regular_first_subproblems,0,scalar_early,1,0.5,1,1,,0.004398349882047568,,False,True,False,task_feasible_early,0.0043985322716531446,0.0,9.894323541199144e-14,0.004398349882047568,"[1.0910954633583394e-06,7.263162522054698e-07]",209912,169058,4067,1,True,
panda_trajectory_30_k0_f106,panda,regular_first_subproblems,0,scalar_early,4,0.5,1,1,,0.004398349882047568,,False,True,False,task_feasible_early,0.0043985322716531446,0.0,9.894323541199144e-14,0.004398349882047568,"[1.0910954633583394e-06,7.263162522054698e-07]",208752,170262,4162,1,True,
panda_trajectory_30_k0_f106,panda,regular_first_subproblems,0,scalar_early,3,0.5,1,1,,0.004398349882047568,,False,True,False,task_feasible_early,0.0043985322716531446,0.0,9.894323541199144e-14,0.004398349882047568,"[1.0910954633583394e-06,7.263162522054698e-07]",200512,162713,4057,1,True,
panda_trajectory_30_k0_f127,panda,regular_first_subproblems,0,scalar_early,2,0.5,1,1,,0.0003885620917025488,,False,True,False,task_feasible_early,0.0003885891257486103,0.0,3.338376206784712e-14,0.0003885620917025488,"[1.3181750358605869e-08,6.724984248168334e-08]",208637,168329,3951,1,True,
panda_trajectory_30_k0_f127,panda,regular_first_subproblems,0,scalar_early,0,0.5,1,1,,0.0003885620917025488,,False,True,False,task_feasible_early,0.0003885891257486103,0.0,3.338376206784712e-14,0.0003885620917025488,"[1.3181750358605869e-08,6.724984248168334e-08]",205338,167596,3783,1,True,
panda_trajectory_30_k0_f127,panda,regular_first_subproblems,0,scalar_early,4,0.5,1,1,,0.0003885620917025488,,False,True,False,task_feasible_early,0.0003885891257486103,0.0,3.338376206784712e-14,0.0003885620917025488,"[1.3181750358605869e-08,6.724984248168334e-08]",221556,179966,3579,1,True,
panda_trajectory_30_k0_f127,panda,regular_first_subproblems,0,scalar_early,1,0.5,1,1,,0.0003885620917025488,,False,True,False,task_feasible_early,0.0003885891257486103,0.0,3.338376206784712e-14,0.0003885620917025488,"[1.3181750358605869e-08,6.724984248168334e-08]",198711,159930,3699,1,True,
panda_trajectory_30_k0_f127,panda,regular_first_subproblems,0,scalar_early,3,0.5,1,1,,0.0003885620917025488,,False,True,False,task_feasible_early,0.0003885891257486103,0.0,3.338376206784712e-14,0.0003885620917025488,"[1.3181750358605869e-08,6.724984248168334e-08]",220628,181802,3807,1,True,
panda_trajectory_30_k0_f149,panda,regular_first_subproblems,0,scalar_early,0,0.5,1,1,,0.0009192092065944223,,False,True,False,task_feasible_early,0.0009192236859118045,0.0,4.028258782699569e-14,0.0009192092065944223,"[1.3397400900511164e-07,1.0501537424057747e-07]",708145,651677,3660,1,True,
panda_trajectory_30_k0_f149,panda,regular_first_subproblems,0,scalar_early,3,0.5,1,1,,0.0009192092065944223,,False,True,False,task_feasible_early,0.0009192236859118045,0.0,4.028258782699569e-14,0.0009192092065944223,"[1.3397400900511164e-07,1.0501537424057747e-07]",194435,157369,3658,1,True,
panda_trajectory_30_k0_f149,panda,regular_first_subproblems,0,scalar_early,4,0.5,1,1,,0.0009192092065944223,,False,True,False,task_feasible_early,0.0009192236859118045,0.0,4.028258782699569e-14,0.0009192092065944223,"[1.3397400900511164e-07,1.0501537424057747e-07]",200429,162424,3992,1,True,
panda_trajectory_30_k0_f149,panda,regular_first_subproblems,0,scalar_early,1,0.5,1,1,,0.0009192092065944223,,False,True,False,task_feasible_early,0.0009192236859118045,0.0,4.028258782699569e-14,0.0009192092065944223,"[1.3397400900511164e-07,1.0501537424057747e-07]",214014,174346,3548,1,True,
panda_trajectory_30_k0_f149,panda,regular_first_subproblems,0,scalar_early,2,0.5,1,1,,0.0009192092065944223,,False,True,False,task_feasible_early,0.0009192236859118045,0.0,4.028258782699569e-14,0.0009192092065944223,"[1.3397400900511164e-07,1.0501537424057747e-07]",245662,203460,5204,1,True,
panda_trajectory_30_k1_f0,panda,regular_first_subproblems,1,scalar_early,4,0.5,1,1,,0.12990686669155205,,False,True,False,task_feasible_early,0.12990729480633456,0.0,3.202372833989377e-14,0.12990686669155205,"[1.1536020134641766e-08,8.677655851786816e-07]",208584,166911,4034,1,True,
