problem_id,robot,stratum,kappa,method,repeat,objective,feasible_box_violation,normal_residual,dual_lower,box_minorant_lower,task_squared,raw_box_violation,roundoff_projection,raw_epigraph_violation,theta,native_theta_weights,iterations,status,native_primal_objective,native_dual_objective,native_primal_residual,native_dual_residual,setup_update_ns,solve_ns,native_seconds,updated,total_ns,common_lower,common_normalized_gap,common_raw_gap,quality_pass,objective_difference_vs_reference,dual_updates,box_qp_updates,primal_upper,gap,raw_gap,converged,task_feasible_early,deadline,conversion_ns,actual_verifier_calls
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,clarabel_epigraph,3,0.0007657605897647253,0.0,2.811650196490719e-06,0.0007657601939193162,0.0007657601939193164,"[2.0543828728849121e-07,2.0543925670445096e-07]",0.0,0.0,0.0,0.5947577497935173,"[0.5947577497938044,0.40524225020667826]",8,Solved,0.0007657605925460317,0.0007657605808959775,4.0287500181361466e-10,2.539511860109424e-13,104195,54032,8.1154e-05,False,236911,0.0007657601939193164,3.958454089687813e-10,3.958454089687813e-10,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,scalar_full,3,0.0007658308607832969,0.0,3.178341852196019e-14,0.0007657532538979143,0.0007657532538979143,"[2.9029685543148046e-07,1.350830846664827e-07]",,,,0.5,,,gap_converged,,,,,,77144,,True,113259,0.0007657601939193164,7.066686398050394e-08,7.066686398050394e-08,True,7.027101857153516e-08,1,1,0.0007658308607832969,7.760688538257111e-08,7.760688538257111e-08,True,False,False,3788,0
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,clarabel_epigraph,1,0.0007657605897634658,0.0,2.8116630236315557e-06,0.0007657601939157104,0.0007657601939157104,"[2.0543828960366895e-07,2.0543925690079582e-07]",0.0,0.0,0.0,0.5947577494762584,"[0.5947577494765452,0.40524225052393714]",8,Solved,0.0007657605925456102,0.0007657605808968968,1.7373271023638736e-10,2.5380334181018387e-13,27478,43417,7.2449e-05,True,141078,0.0007657601939157104,3.95847755399123e-10,3.95847755399123e-10,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,scalar_full,1,0.0007658308607832969,0.0,3.178341852196019e-14,0.0007657532538979143,0.0007657532538979143,"[2.9029685543148046e-07,1.350830846664827e-07]",,,,0.5,,,gap_converged,,,,,,83291,,True,121448,0.0007657601939157104,7.066686758645194e-08,7.066686758645194e-08,True,7.027101983105282e-08,1,1,0.0007658308607832969,7.760688538257111e-08,7.760688538257111e-08,True,False,False,4071,0
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,scalar_full,0,0.0007658308607832969,0.0,3.178341852196019e-14,0.0007657532538979143,0.0007657532538979143,"[2.9029685543148046e-07,1.350830846664827e-07]",,,,0.5,,,gap_converged,,,,,,93765,,True,132681,0.0007657601939157104,7.066686758645194e-08,7.066686758645194e-08,True,7.027101983105282e-08,1,1,0.0007658308607832969,7.760688538257111e-08,7.760688538257111e-08,True,False,False,4060,0
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,clarabel_epigraph,0,0.0007657605897634658,0.0,2.8116630236315557e-06,0.0007657601939157104,0.0007657601939157104,"[2.0543828960366895e-07,2.0543925690079582e-07]",0.0,0.0,0.0,0.5947577494762584,"[0.5947577494765452,0.40524225052393714]",8,Solved,0.0007657605925456102,0.0007657605808968968,1.7373271023638736e-10,2.5380334181018387e-13,22844,43056,7.2387e-05,True,125685,0.0007657601939157104,3.95847755399123e-10,3.95847755399123e-10,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,clarabel_epigraph,2,0.0007657605897634658,0.0,2.8116630236315557e-06,0.0007657601939157104,0.0007657601939157104,"[2.0543828960366895e-07,2.0543925690079582e-07]",0.0,0.0,0.0,0.5947577494762584,"[0.5947577494765452,0.40524225052393714]",8,Solved,0.0007657605925456102,0.0007657605808968968,1.7373271023638736e-10,2.5380334181018387e-13,19816,41912,7.1569e-05,True,121642,0.0007657601939157104,3.95847755399123e-10,3.95847755399123e-10,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,scalar_full,2,0.0007658308607832969,0.0,3.178341852196019e-14,0.0007657532538979143,0.0007657532538979143,"[2.9029685543148046e-07,1.350830846664827e-07]",,,,0.5,,,gap_converged,,,,,,77540,,True,113904,0.0007657601939157104,7.066686758645194e-08,7.066686758645194e-08,True,7.027101983105282e-08,1,1,0.0007658308607832969,7.760688538257111e-08,7.760688538257111e-08,True,False,False,3606,0
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,scalar_full,4,0.0007658308607832969,0.0,3.178341852196019e-14,0.0007657532538979143,0.0007657532538979143,"[2.9029685543148046e-07,1.350830846664827e-07]",,,,0.5,,,gap_converged,,,,,,79993,,True,116195,0.0007657601939157104,7.066686758645194e-08,7.066686758645194e-08,True,7.027101983105282e-08,1,1,0.0007658308607832969,7.760688538257111e-08,7.760688538257111e-08,True,False,False,4023,0
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,clarabel_epigraph,4,0.0007657605897634658,0.0,2.8116630236315557e-06,0.0007657601939157104,0.0007657601939157104,"[2.0543828960366895e-07,2.0543925690079582e-07]",0.0,0.0,0.0,0.5947577494762584,"[0.5947577494765452,0.40524225052393714]",8,Solved,0.0007657605925456102,0.0007657605808968968,1.7373271023638736e-10,2.5380334181018387e-13,22426,43563,7.283e-05,True,128275,0.0007657601939157104,3.95847755399123e-10,3.95847755399123e-10,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,scalar_full,2,0.000149349283767552,0.0,3.499017183300205e-14,0.00014934846112803085,0.00014934846112803085,"[8.727065190370829e-09,1.0372344232667065e-08]",,,,0.5,,,gap_converged,,,,,,88639,,True,126016,0.00014934846112803085,8.226395211460413e-10,8.226395211460413e-10,True,8.015692067346245e-10,1,1,0.000149349283767552,8.226395211460413e-10,8.226395211460413e-10,True,False,False,4697,0
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,clarabel_epigraph,2,0.00014934848219834527,0.0,1.2649990705060607e-06,0.00014934839887047836,0.0001493483988704784,"[9.525080480093712e-09,9.532002024551278e-09]",0.0,0.0,2.8142693355333723e-12,0.4791899383463735,"[0.47918993834640566,0.5208100616536615]",13,AlmostSolved,0.00014934847938407589,0.00014934847792447847,7.937563560469843e-07,4.0166099892732994e-14,23498,77716,0.000107657,True,163706,0.00014934846112803085,2.107031441141681e-11,2.107031441141681e-11,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,clarabel_epigraph,0,0.00014934848219834527,0.0,1.2649990705060607e-06,0.00014934839887047836,0.0001493483988704784,"[9.525080480093712e-09,9.532002024551278e-09]",0.0,0.0,2.8142693355333723e-12,0.4791899383463735,"[0.47918993834640566,0.5208100616536615]",13,AlmostSolved,0.00014934847938407589,0.00014934847792447847,7.937563560469843e-07,4.0166099892732994e-14,24576,80265,0.000109254,True,166843,0.00014934846112803085,2.107031441141681e-11,2.107031441141681e-11,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,scalar_full,0,0.000149349283767552,0.0,3.499017183300205e-14,0.00014934846112803085,0.00014934846112803085,"[8.727065190370829e-09,1.0372344232667065e-08]",,,,0.5,,,gap_converged,,,,,,80854,,True,117177,0.00014934846112803085,8.226395211460413e-10,8.226395211460413e-10,True,8.015692067346245e-10,1,1,0.000149349283767552,8.226395211460413e-10,8.226395211460413e-10,True,False,False,4014,0
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,clarabel_epigraph,3,0.00014934848219834527,0.0,1.2649990705060607e-06,0.00014934839887047836,0.0001493483988704784,"[9.525080480093712e-09,9.532002024551278e-09]",0.0,0.0,2.8142693355333723e-12,0.4791899383463735,"[0.47918993834640566,0.5208100616536615]",13,AlmostSolved,0.00014934847938407589,0.00014934847792447847,7.937563560469843e-07,4.0166099892732994e-14,20181,73184,0.000103281,True,152253,0.00014934846112803085,2.107031441141681e-11,2.107031441141681e-11,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,scalar_full,3,0.000149349283767552,0.0,3.499017183300205e-14,0.00014934846112803085,0.00014934846112803085,"[8.727065190370829e-09,1.0372344232667065e-08]",,,,0.5,,,gap_converged,,,,,,81443,,True,117776,0.00014934846112803085,8.226395211460413e-10,8.226395211460413e-10,True,8.015692067346245e-10,1,1,0.000149349283767552,8.226395211460413e-10,8.226395211460413e-10,True,False,False,3839,0
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,scalar_full,1,0.000149349283767552,0.0,3.499017183300205e-14,0.00014934846112803085,0.00014934846112803085,"[8.727065190370829e-09,1.0372344232667065e-08]",,,,0.5,,,gap_converged,,,,,,78750,,True,115412,0.00014934846112803085,8.226395211460413e-10,8.226395211460413e-10,True,8.015692067346245e-10,1,1,0.000149349283767552,8.226395211460413e-10,8.226395211460413e-10,True,False,False,3931,0
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,clarabel_epigraph,1,0.00014934848219834527,0.0,1.2649990705060607e-06,0.00014934839887047836,0.0001493483988704784,"[9.525080480093712e-09,9.532002024551278e-09]",0.0,0.0,2.8142693355333723e-12,0.4791899383463735,"[0.47918993834640566,0.5208100616536615]",13,AlmostSolved,0.00014934847938407589,0.00014934847792447847,7.937563560469843e-07,4.0166099892732994e-14,21714,74381,0.000104625,True,164116,0.00014934846112803085,2.107031441141681e-11,2.107031441141681e-11,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,scalar_full,4,0.000149349283767552,0.0,3.499017183300205e-14,0.00014934846112803085,0.00014934846112803085,"[8.727065190370829e-09,1.0372344232667065e-08]",,,,0.5,,,gap_converged,,,,,,77468,,True,113252,0.00014934846112803085,8.226395211460413e-10,8.226395211460413e-10,True,8.015692067346245e-10,1,1,0.000149349283767552,8.226395211460413e-10,8.226395211460413e-10,True,False,False,3877,0
panda_trajectory_30_k0_f21,panda,regular_first_subproblems,0,clarabel_epigraph,4,0.00014934848219834527,0.0,1.2649990705060607e-06,0.00014934839887047836,0.0001493483988704784,"[9.525080480093712e-09,9.532002024551278e-09]",0.0,0.0,2.8142693355333723e-12,0.4791899383463735,"[0.47918993834640566,0.5208100616536615]",13,AlmostSolved,0.00014934847938407589,0.00014934847792447847,7.937563560469843e-07,4.0166099892732994e-14,19278,73424,0.000104161,True,151832,0.00014934846112803085,2.107031441141681e-11,2.107031441141681e-11,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f42,panda,regular_first_subproblems,0,clarabel_epigraph,4,0.002241590467215737,0.0,2.021899652520777e-05,0.0022415700235972743,0.0022415700235972743,"[1.088803566097798e-06,1.0888096855028254e-06]",0.0,0.0,1.259847931875182e-12,0.5274104484658119,"[0.5274104484686208,0.47258955153670507]",9,Solved,0.002241590465955888,0.0022415903509138274,9.673347909988318e-10,2.454250078058681e-12,24330,54143,8.521e-05,True,139943,0.0022415904636475877,3.5681492482897426e-12,3.5681492482897426e-12,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f42,panda,regular_first_subproblems,0,scalar_full,4,0.00224159077361058,0.0,8.292533656474574e-14,0.0022415904636475877,0.0022415904636475877,"[1.0879408087644292e-06,1.087286014660254e-06]",,,,0.5266252548535908,,,gap_converged,,,,,,153104,,True,190922,0.0022415904636475877,3.09962992339069e-10,3.09962992339069e-10,True,3.0639484309077925e-10,2,2,0.00224159077361058,3.09962992339069e-10,3.09962992339069e-10,True,False,False,4044,0
panda_trajectory_30_k0_f42,panda,regular_first_subproblems,0,clarabel_epigraph,3,0.002241590467215737,0.0,2.021899652520777e-05,0.0022415700235972743,0.0022415700235972743,"[1.088803566097798e-06,1.0888096855028254e-06]",0.0,0.0,1.259847931875182e-12,0.5274104484658119,"[0.5274104484686208,0.47258955153670507]",9,Solved,0.002241590465955888,0.0022415903509138274,9.673347909988318e-10,2.454250078058681e-12,22680,50911,8.1517e-05,True,138821,0.0022415904636475877,3.5681492482897426e-12,3.5681492482897426e-12,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f42,panda,regular_first_subproblems,0,scalar_full,3,0.00224159077361058,0.0,8.292533656474574e-14,0.0022415904636475877,0.0022415904636475877,"[1.0879408087644292e-06,1.087286014660254e-06]",,,,0.5266252548535908,,,gap_converged,,,,,,141239,,True,177424,0.0022415904636475877,3.09962992339069e-10,3.09962992339069e-10,True,3.0639484309077925e-10,2,2,0.00224159077361058,3.09962992339069e-10,3.09962992339069e-10,True,False,False,3943,0
panda_trajectory_30_k0_f42,panda,regular_first_subproblems,0,clarabel_epigraph,1,0.002241590467215737,0.0,2.021899652520777e-05,0.0022415700235972743,0.0022415700235972743,"[1.088803566097798e-06,1.0888096855028254e-06]",0.0,0.0,1.259847931875182e-12,0.5274104484658119,"[0.5274104484686208,0.47258955153670507]",9,Solved,0.002241590465955888,0.0022415903509138274,9.673347909988318e-10,2.454250078058681e-12,20941,45596,7.7054e-05,True,128633,0.0022415904636475877,3.5681492482897426e-12,3.5681492482897426e-12,True,0.0,,,,,,,,,,
panda_trajectory_30_k0_f42,panda,regular_first_subproblems,0,scalar_full,1,0.00224159077361058,0.0,8.292533656474574e-14,0.0022415904636475877,0.0022415904636475877,"[1.0879408087644292e-06,1.087286014660254e-06]",,,,0.5266252548535908,,,gap_converged,,,,,,172280,,True,210765,0.0022415904636475877,3.09962992339069e-10,3.09962992339069e-10,True,3.0639484309077925e-10,2,2,0.00224159077361058,3.09962992339069e-10,3.09962992339069e-10,True,False,False,3774,0
