robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
ur5e,task_balance_k0,task_excess_gn,total_latency_ns,-56840929.08333333,"[-92102606.15208334,-37252724.674791664]",0.5528936682062082,"[0.4330235293937952,0.6536886199443455]"
ur5e,task_balance_k0,task_excess_gn,frame_success,0.014666666666666666,"[0.0,0.044]",1.0148849797023003,"[1.0,1.0460251046025104]"
ur5e,task_balance_k0,task_excess_gn,successful_prefix,2.95,"[0.0,8.85]",1.0200612036722203,"[1.0,1.0626992561105206]"
ur5e,task_balance_k0,task_excess_gn,acceleration_rms,-3.7131035022827446,"[-6.277375114278124,-1.5255645258694588]",0.607387335956396,"[0.44457028559264367,0.795894450358092]"
ur5e,task_balance_k1,task_excess_gn,completion,0.025,"[0.0,0.075]",1.0256410256410255,"[1.0,1.0810810810810811]"
ur5e,task_balance_k1,task_excess_gn,deadline_completion,0.025,"[0.0,0.075]",1.0256410256410255,"[1.0,1.0810810810810811]"
ur5e,task_balance_k1,task_excess_gn,total_latency_ns,-56519476.05833332,"[-91807820.12458333,-36950244.87208333]",0.5554221927248884,"[0.43475020139761406,0.6564272268014234]"
ur5e,task_balance_k1,task_excess_gn,frame_success,0.014666666666666666,"[0.0,0.044]",1.0148849797023003,"[1.0,1.0460251046025104]"
ur5e,task_balance_k1,task_excess_gn,successful_prefix,2.95,"[0.0,8.85]",1.0200612036722203,"[1.0,1.0626992561105206]"
ur5e,task_balance_k1,task_excess_gn,acceleration_rms,-3.6609202373412506,"[-6.212462527976778,-1.4595627011768149]",0.6129050412006957,"[0.45189562740814043,0.7998473279961924]"
