robot,method,family,trajectory_count,completion_trajectory_uids,whole_trajectory_completion_count,whole_trajectory_completion_rate,total_cumulative_latency_ns,total_cumulative_latency_seconds,trajectory_cumulative_latency_mean_ms,trajectory_cumulative_latency_median_ms,trajectory_cumulative_latency_p95_ms,frame_verified_success,mean_fev,learned_seed_invocation_rate,anchor_occupancy,local_occupancy,robust_occupancy
panda,temporal_event_cghik_v6,slow_high_curvature_high_speed_slow,10,[],0,0.0,148910150276,148.910150276,14891.0150276,12629.4750235,31477.018431849992,0.47333333333333333,137.43733333333333,0.6093333333333333,0.0,0.3953333333333333,0.6046666666666667
panda,anchored_temporal_cghik_v7,smooth_fast_orientation_smooth,10,"['4ba7460adc1d8a2f8f9c9bde6f55b48f490f7ce0a05847e05cd8db694d77b091', 'fb6617cd2411151431ac915a92fd4c1d3791c66a0b11850682c7dd4dc72fa258', 'ef30d643539c282f528bff5ab80f1b66b434299972e8584ff883e1fe4ecaed65', '34b3debceaa18f21cd7e422a25fa686430efb997212493dc24b2cb7df27ecf42', 'a9c64815f6506dda84a6858352d17c79264b6b01d212603243bcd7dc2164809e', '34059ab6a58c115e35f6c3ae3e1037068a79e8941b93537e91c199cb0d672005', '885bbb2ba363ea31a64b3313db23810708cf8e684c46dc17c8ad3c3660cc1e3d', '940a4b11b71c475a2c7e059f8b7f2f5630010e780fc593dee0e90bdbb28a897e', 'd73381f987ada4c427290193db482eca23c6fbeb2f8504baff9a37b8e3c87c23']",9,0.9,22029251688,22.029251688,2202.9251688000004,87.135963,11727.156987999977,0.942,21.301333333333332,0.078,0.019333333333333334,0.9226666666666666,0.058
panda,anchored_temporal_cghik_v7,regular_near_singular_regular,10,"['dea0b18d45429372570672568199621ca941787b47387ab597adfe520ee5cdc3', '89660d7e6987a84d47ea747c85128cd7ae1ab44329bfed223f201f5c1cc00336', 'e92dd7b2ef02b6eb4fce5e95645a625ab8b06b3d2a22566c1ae0b5ef6778a6b0', 'af0c253cf52e8fa97d8cae2ae462fce2e8b18b7b011ed353eed409309e920dad', 'db844ebed33244d68e6c5cf7bfaaaa95b62513027a5eec757f4ea2185387acff', '1c1631d56a81bf5d4d73fbdc5ca640c63b25f6252d8a94dd783da783033b09ea', 'fe5637148f2476c6a60c726efa6c697cf47f48a359f533ea3d4c07fdb1c526d1']",7,0.7,44069643627,44.069643627,4406.9643627,151.01706,18352.967457749986,0.8813333333333333,45.06666666666667,0.31333333333333335,0.014666666666666666,0.688,0.29733333333333334
panda,anchored_temporal_cghik_v7,central_joint_limit_skim_return,10,"['384fdf4291bb88d953a38c81e0b9d554485c1bfbcd4f24c866738a615d039528', '2fdf293514a121f7ed5454fee0184438875871d452f22549978c4e279c439488', '9dd98ee5916ca3c4d7f09ee93e4cfe0cd7ff239f46f3f102024795864d243067', '9798f449cb328ae17c4bdfcea0f28541a17dfc8086bd8ca00e90a5807e6718e1', 'e3404ff39c672423534145d6a3139a519140f9190db1c69b0b57370909eefe2a', '0e9d5d8e2a4f5a9e6c77b3f34c3d194f3e9d46f96146f28e21bcfdd6aa37a85a']",6,0.6,25157038222,25.157038222,2515.7038221999996,75.4851515,9886.773259149997,0.8693333333333333,35.656666666666666,0.15933333333333333,0.018666666666666668,0.842,0.13933333333333334
panda,anchored_temporal_cghik_v7,slow_high_curvature_high_speed_slow,10,[],0,0.0,148471206658,148.471206658,14847.1206658,12360.402648,31474.518041299987,0.47333333333333333,137.43733333333333,0.6093333333333333,0.006666666666666667,0.3953333333333333,0.598
ur5e,always_hard,smooth_fast_orientation_smooth,10,"['df04feaaa2ca004920a0214bf413846883471fb389fdf69804680adf2526b371', 'f528d1bc849c0e9421095184b0b9452a3c14ef6cc5c417b55e15b1f7d38304f5', 'a6174602d795514005c79f20ea408749127899c27241a337da08f7a1974de2cc', '4710697654fbc64e706c2be0524a2474271e99099a5ed49b394caca972b1003b', 'd1b5d6ba3fde4878a03307363b7ebb4a5f5fd26e2af7ab8d221ef1e422b7736e', 'd526969a4b3eab22459a40776be64be1286cdff02e49527e30544c2272284df2', '0903f86314a0a2427acd052e424d7d188ff6bd90c2c6475f4045128dc25db831', '86c899c0180852b1150ab2ec76c1a60687b51e2cb094cd770f81a1649a3a8674']",8,0.8,5462296033,5.462296033,546.2296033,253.99263,1832.9050509999977,0.9353333333333333,9.318,1.0,,,
ur5e,always_hard,regular_near_singular_regular,10,"['0741998372aa86719c511faf2690e7cf6a7ca28787858c0cd5fcca7cfb2c538f', 'b0517fce16c8a85e9ed713e838e48c821e20b9df4cb97bc00bac82629a281c78', 'e525c82f11c6d65f108c204b3eb0377e6076ff738603cbdb3107936ad6da8386', '3ae8784be0a2977f184ce96d99c8e907111608fc575cd4db7bc0c8f055d498cb', '58dbe5eb2c5ed4ee97712271600dd9aeb905c2c0234e92c7eaf1e7625e8f1919', '4b12a2ea418812ac085f459f8ca5ee66060db7648c5abf32fed1fa6b15e704b8', '1336e8155269add1b16b8a63b6a25a53edbc210f0d1c9e77a8007d53d05bfb7c', 'ea7f7ae3c5fb5d4b3e5aec0768b5259b3aa8a3d131b4da95169b3f099fb7e21c', 'b30712a474e8b239b87f453526f12013abc2a70ffa5f4f7ba93637377aaa44a9']",9,0.9,4290641066,4.290641066,429.0641066,246.201196,1272.0839777999981,0.9593333333333334,7.026,1.0,,,
ur5e,always_hard,central_joint_limit_skim_return,10,[],0,0.0,37802632891,37.802632891,3780.2632891,3827.3548935,4204.280014849999,0.29733333333333334,86.826,1.0,,,
ur5e,always_hard,slow_high_curvature_high_speed_slow,10,"['94b822405735425ca714b7ee936fba25eef67ac0f7db9f7168e6da00f32f30ce', '3f4b42e3ff12f1fa456be9d301c007dd6c10a361ec366f539f22383cc0c497e1']",2,0.2,20937465022,20.937465022,2093.7465022,2100.058348,4262.328414,0.5893333333333334,29.058666666666667,1.0,,,
ur5e,counterfactual_cghik_v4,smooth_fast_orientation_smooth,10,"['df04feaaa2ca004920a0214bf413846883471fb389fdf69804680adf2526b371', 'f528d1bc849c0e9421095184b0b9452a3c14ef6cc5c417b55e15b1f7d38304f5', 'a6174602d795514005c79f20ea408749127899c27241a337da08f7a1974de2cc', '4710697654fbc64e706c2be0524a2474271e99099a5ed49b394caca972b1003b', 'd1b5d6ba3fde4878a03307363b7ebb4a5f5fd26e2af7ab8d221ef1e422b7736e', 'd526969a4b3eab22459a40776be64be1286cdff02e49527e30544c2272284df2', '0903f86314a0a2427acd052e424d7d188ff6bd90c2c6475f4045128dc25db831', '86c899c0180852b1150ab2ec76c1a60687b51e2cb094cd770f81a1649a3a8674']",8,0.8,5667156205,5.667156205,566.7156205,288.4399405,1779.8247256999978,0.9353333333333333,8.930666666666667,1.0,,,
