robot,method,trajectory_uid,family,frame_count,whole_trajectory_completed,cumulative_latency_ns,cumulative_latency_ms,p50_frame_latency_ms,p95_frame_latency_ms,p99_frame_latency_ms,mean_fev,learned_seed_invocation_count,learned_seed_invocation_rate,anchor_frame_count,periodic_reanchor_count,local_frame_count,robust_frame_count,longest_robust_run
panda,always_hard,4c84765b8b332f0bba4878251cf234b5f85c23dd5ebdf92e11daa7bfbdb7019b,slow_high_curvature_high_speed_slow,150,False,14400663429,14400.663429,2.0215765,340.7349147499993,431.1465658899988,114.49333333333334,150,1.0,,,,,
panda,always_hard,9dd98ee5916ca3c4d7f09ee93e4cfe0cd7ff239f46f3f102024795864d243067,central_joint_limit_skim_return,150,True,261568709,261.568709,1.737808,2.31930685,2.6744919599999966,2.4133333333333336,150,1.0,,,,,
panda,always_hard,a71677b61885785fce60c84352b2b7a5b1e1034b6e5e571f421da8531eadfc62,slow_high_curvature_high_speed_slow,150,False,5268215214,5268.215214,1.82318,218.12025244999998,223.99031675999998,54.78666666666667,150,1.0,,,,,
panda,always_hard,5a9e998d266685440c601538a3dd5bbdc8810e3f95c9d0f54be626ce6dc29674,regular_near_singular_regular,150,False,27238715695,27238.715695,228.5573115,368.24163435,372.00252932999996,252.77333333333334,150,1.0,,,,,
panda,always_hard,9798f449cb328ae17c4bdfcea0f28541a17dfc8086bd8ca00e90a5807e6718e1,central_joint_limit_skim_return,150,True,263847804,263.847804,1.772905,2.1983722499999994,2.688963479999999,2.48,150,1.0,,,,,
panda,always_hard,77259c80e55bb3a598117a56d18e1fe835a6a40809e0bd3c852b876a5052c82f,smooth_fast_orientation_smooth,150,False,23024004348,23024.004348,223.1072225,330.331248,343.74921048999994,200.44,150,1.0,,,,,
panda,always_hard,885bbb2ba363ea31a64b3313db23810708cf8e684c46dc17c8ad3c3660cc1e3d,smooth_fast_orientation_smooth,150,True,279498634,279.498634,1.802331,2.3158865,2.5384895199999997,2.986666666666667,150,1.0,,,,,
panda,always_hard,e6919ea8b0132d7a9aa9ccb03374f412674d8477555a564a7aa0e81aa677dd3a,central_joint_limit_skim_return,150,False,8437655424,8437.655424,2.5061385,161.06874134999978,272.61653821,117.74666666666667,150,1.0,,,,,
panda,always_hard,1c1631d56a81bf5d4d73fbdc5ca640c63b25f6252d8a94dd783da783033b09ea,regular_near_singular_regular,150,True,251892724,251.892724,1.668142,2.047150249999999,2.2261314599999995,2.4133333333333336,150,1.0,,,,,
panda,always_hard,e1da70af53028eb936666cd649e73d6a3c1de0502ac7aa1abcae16e56f1c8f37,slow_high_curvature_high_speed_slow,150,False,35907343185,35907.343185,356.8161235,362.9061962,367.02697702999995,278.48,150,1.0,,,,,
panda,always_hard,e3404ff39c672423534145d6a3139a519140f9190db1c69b0b57370909eefe2a,central_joint_limit_skim_return,150,True,247837573,247.837573,1.6496065,1.9471759,2.685424929999997,2.453333333333333,150,1.0,,,,,
panda,always_hard,940a4b11b71c475a2c7e059f8b7f2f5630010e780fc593dee0e90bdbb28a897e,smooth_fast_orientation_smooth,150,True,263570122,263.570122,1.668642,2.152355699999999,2.5668095899999996,2.986666666666667,150,1.0,,,,,
panda,always_hard,93a4fb3754f88806063c0d1f649cd7852ca9ecbdcac8169df2497878392c415a,slow_high_curvature_high_speed_slow,150,False,9438240498,9438.240498,62.128045,211.52665009999998,217.62437817999998,119.05333333333333,150,1.0,,,,,
panda,always_hard,fe5637148f2476c6a60c726efa6c697cf47f48a359f533ea3d4c07fdb1c526d1,regular_near_singular_regular,150,True,271275693,271.275693,1.970769,2.1728153,2.4615496399999985,3.5533333333333332,150,1.0,,,,,
panda,always_hard,0865291368da6b0639999962a5fe1053d9eea35d77dda1d1310ef4d8d9772567,slow_high_curvature_high_speed_slow,150,False,10746504540,10746.50454,73.352546,219.92671819999998,232.56189406999994,129.42666666666668,150,1.0,,,,,
panda,always_hard,0e9d5d8e2a4f5a9e6c77b3f34c3d194f3e9d46f96146f28e21bcfdd6aa37a85a,central_joint_limit_skim_return,150,True,235304339,235.304339,1.6374215,1.7911440499999998,2.0262363499999982,2.4266666666666667,150,1.0,,,,,
panda,always_hard,900cb7bbe390bb0721c58bac88578e814a93f764ae0217c71f654206d00a7e67,regular_near_singular_regular,150,False,8016351391,8016.351391,1.9751475,309.8283749,337.8547237199996,72.34,150,1.0,,,,,
panda,always_hard,d73381f987ada4c427290193db482eca23c6fbeb2f8504baff9a37b8e3c87c23,smooth_fast_orientation_smooth,150,True,251371486,251.371486,1.6466315,1.8117317,2.1524276399999978,2.986666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,384fdf4291bb88d953a38c81e0b9d554485c1bfbcd4f24c866738a615d039528,central_joint_limit_skim_return,150,True,287570026,287.570026,1.886148,2.3843679999999994,2.6693348500000003,2.52,150,1.0,,,,,
panda,counterfactual_cghik_v4,4ba7460adc1d8a2f8f9c9bde6f55b48f490f7ce0a05847e05cd8db694d77b091,smooth_fast_orientation_smooth,150,True,300206955,300.206955,1.9625515,2.3565077999999997,2.6331103199999997,2.986666666666667,150,1.0,,,,,
panda,counterfactual_cghik_v4,dea0b18d45429372570672568199621ca941787b47387ab597adfe520ee5cdc3,regular_near_singular_regular,150,True,280928997,280.928997,1.8699505,2.31715465,2.596943999999999,2.32,150,1.0,,,,,
panda,counterfactual_cghik_v4,02bae2a84c6c969ce7bbdd1fe8f19951e97db9622d29781679d6791c70e3901e,slow_high_curvature_high_speed_slow,150,False,18506190330,18506.19033,2.2981915,370.25394659999995,371.44368416,150.17333333333335,150,1.0,,,,,
