robot,subset,method,reference,query_count,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high,fev_ratio,fev_ratio_ci_low,fev_ratio_ci_high,success_difference,success_difference_ci_low,success_difference_ci_high,deadline_difference,deadline_difference_ci_low,deadline_difference_ci_high,paired_latency_difference_ms,paired_latency_difference_ms_ci_low,paired_latency_difference_ms_ci_high,p50_ratio,p50_ratio_ci_low,p50_ratio_ci_high,p95_ratio,p95_ratio_ci_low,p95_ratio_ci_high,p99_ratio,p99_ratio_ci_low,p99_ratio_ci_high
panda,all,geometry_threshold,always_hard,3000,0.6571820338803477,0.6213928378991526,0.6922432231984342,0.6441532293301547,0.6068241253132501,0.6808453310464544,0.0,0.0,0.0,-0.00011111111111111113,-0.0003333333333333333,0.0,-20.29167073744444,-22.382708655958332,-18.23757074631389,,,,,,,,,
panda,all,reject_only_hard,always_hard,3000,0.6575745575852133,0.621696343866163,0.6927638787124614,0.6440343818708687,0.606690020819193,0.6807372356317657,0.0,0.0,0.0,-0.00022222222222222226,-0.0006666666666666666,0.0,-20.268436944111112,-22.36882755309444,-18.20915365625833,,,,,,,,,
panda,all,routing_only,always_hard,3000,1.0103279758609263,1.0097481797293253,1.0108986732349647,1.011133210524292,1.0101919843131566,1.01210452299716,0.0,0.0,0.0,-0.00011111111111111113,-0.0003333333333333333,0.0,0.6113211857777773,0.5798589901277771,0.6416679799305547,,,,,,,,,
panda,all,p50_selection,always_hard,3000,0.6576232577166039,0.6217086552239776,0.6925894401279394,0.6452892712203886,0.6080238510782016,0.6820725742438346,0.0,0.0,0.0,-0.00011111111111111113,-0.0003333333333333333,0.0,-20.265554344222224,-22.357642286258333,-18.203137343833337,,,,,,,,,
panda,all,full_cghik,always_hard,3000,0.6574640398754417,0.6214110337389335,0.6925564073118198,0.6442441126813735,0.6069269294766375,0.6809752970113536,0.0,0.0,0.0,-0.00011111111111111113,-0.0003333333333333333,0.0,-20.274978576111106,-22.36602343398611,-18.21919121853611,,,,,,,,,
panda,all,full_cghik,reject_only_hard,3000,0.9998319312867312,0.9990199513127181,1.0006212780015744,1.0003256515745254,1.0001656141444972,1.0005105765220264,0.0,0.0,0.0,0.00011111111111111113,-0.0003333333333333333,0.0006666666666666666,-0.006541631999999847,-0.03854135586388833,0.024306644344444794,,,,,,,,,
panda,all,full_cghik,p50_selection,3000,0.9997578889747375,0.9991088407840695,1.0004316923453502,0.9983803255599795,0.9978867533466178,0.998829606716887,0.0,0.0,0.0,0.0,-0.0003333333333333333,0.0003333333333333333,-0.00942423188888881,-0.03484368638333301,0.01673501627222255,,,,,,,,,
panda,all,full_cghik,geometry_threshold,3000,1.0004291139753607,0.9998400743075118,1.0010823896759922,1.0001410896461906,1.0000313438192903,1.0002967153658522,0.0,0.0,0.0,0.0,-0.0003333333333333333,0.0003333333333333333,0.016692161333333445,-0.006304310708333342,0.04226697962222229,,,,,,,,,
panda,all,full_cghik,routing_only,3000,0.6507431800205273,0.6152215611852225,0.6853466619291998,0.6371505811260224,0.6006761176561092,0.6731144903794266,0.0,0.0,0.0,0.0,-0.0003333333333333333,0.0003333333333333333,-20.88629976188889,-22.966259651574997,-18.844371408705555,,,,,,,,,
panda,all,full_cghik,trac_ik_100ms,3000,2.3014897991586714,2.150634960725088,2.45481251268727,,,,-0.024666666666666667,-0.03111111111111111,-0.01844444444444444,-0.03811111111111111,-0.044444444444444446,-0.03177777777777777,22.006853423333332,19.456076294802777,24.59922301346667,,,,,,,,,
