robot,query_count,selection_without_success_count,preference_stability,preference_stability_query_count,all_query_preference_stability_including_no_solution,entry_mean_range_at_most_015ms_rate,entry_p95_range_at_most_015ms_rate,crossfit_mean_latency_ratio,crossfit_mean_latency_ratio_ci_low,crossfit_mean_latency_ratio_ci_high,crossfit_selected_success,crossfit_hard_success,notes
panda,500,58,0.416135881104034,471,0.45,0.576,0.092,0.9977979014683956,0.9948551425951812,1.0001569577266174,1.0,1.0,"P95 selects on five even/odd interleaved repeats; other five evaluate, then swap; units remain queries; no training/selection use"
ur5e,500,0,0.438,500,0.438,0.78,0.236,1.0014891500715577,0.9987771847424138,1.0042381778705571,1.0,1.0,"P95 selects on five even/odd interleaved repeats; other five evaluate, then swap; units remain queries; no training/selection use"
