case_id,horizon,initialization,found,best_found_rho,optimizer_status,total_ms,fk_calls,jacobian_calls,run_file
state_14_candidate_04,10,dls_prediction,True,0.09799877166399087,0,141.919604,520,400,runs/state_14_candidate_04_L10_dls_prediction.json
state_14_candidate_04,1,hold,True,0.06344739085257442,0,3.370028,14,7,runs/state_14_candidate_04_L1_hold.json
state_14_candidate_04,1,historical_prefix,True,0.06344739077815893,8,8.895711,52,14,runs/state_14_candidate_04_L1_historical_prefix.json
state_14_candidate_04,1,dls_prediction,True,0.06344739082840416,8,4.979533,23,11,runs/state_14_candidate_04_L1_dls_prediction.json
state_18_candidate_05,10,hold,True,0.12703989599799398,0,179.132887,590,530,runs/state_18_candidate_05_L10_hold.json
state_18_candidate_05,10,historical_prefix,True,0.12703989598915677,0,93.118522,350,280,runs/state_18_candidate_05_L10_historical_prefix.json
state_18_candidate_05,10,dls_prediction,True,0.12703989598636212,0,180.622421,620,530,runs/state_18_candidate_05_L10_dls_prediction.json
state_18_candidate_02,1,hold,True,0.10223007973771085,0,5.523117,22,14,runs/state_18_candidate_02_L1_hold.json
state_18_candidate_02,1,historical_prefix,True,0.10223007969259634,8,6.715335,28,17,runs/state_18_candidate_02_L1_historical_prefix.json
state_18_candidate_02,1,dls_prediction,True,0.10223007978030396,0,6.25173,27,16,runs/state_18_candidate_02_L1_dls_prediction.json
state_14_candidate_00,30,hold,False,,9,1950.30438,3180,3030,runs/state_14_candidate_00_L30_hold.json
state_14_candidate_00,30,historical_prefix,True,0.5927142248180681,9,2017.120558,3210,3030,runs/state_14_candidate_00_L30_historical_prefix.json
state_14_candidate_00,30,dls_prediction,True,0.11304982771602848,9,1969.335653,3540,3060,runs/state_14_candidate_00_L30_dls_prediction.json
case_01_matched_05,30,hold,False,,9,1620.195593,5250,3030,runs/case_01_matched_05_L30_hold.json
case_01_matched_05,30,historical_prefix,True,0.3235091168844991,0,613.045354,1890,1470,runs/case_01_matched_05_L30_historical_prefix.json
case_01_matched_05,30,dls_prediction,True,0.32350911693377316,0,583.108517,1758,1374,runs/case_01_matched_05_L30_dls_prediction.json
case_01_matched_02,10,hold,True,0.3235091265592846,0,223.573835,1010,650,runs/case_01_matched_02_L10_hold.json
case_01_matched_02,10,historical_prefix,True,0.3235091266803142,0,112.124616,450,360,runs/case_01_matched_02_L10_historical_prefix.json
case_01_matched_02,10,dls_prediction,True,0.3235091266432032,0,144.63596,628,434,runs/case_01_matched_02_L10_dls_prediction.json
state_18_candidate_01,10,hold,True,0.12736948603110884,0,180.563639,600,540,runs/state_18_candidate_01_L10_hold.json
state_18_candidate_01,10,historical_prefix,True,0.12736948602843004,0,96.043326,360,290,runs/state_18_candidate_01_L10_historical_prefix.json
state_18_candidate_01,10,dls_prediction,True,0.12736948603428674,0,188.510244,640,550,runs/state_18_candidate_01_L10_dls_prediction.json
