case_id,horizon,found,best_found_rho_upper_bound,successful_initializations,initial_path_verified,selected_run,optimizer_statuses,all_three_starts_total_ms,all_three_starts_fk_calls,all_three_starts_jacobian_calls,selected_max_position_excess,selected_max_orientation_excess,selected_minimum_joint_margin
state_14_candidate_02,10,True,0.09838684803218882,3,2,runs/state_14_candidate_02_L10_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 54, 'scipy_nfev': 55, 'scipy_njev': 54}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 50, 'scipy_nfev': 51, 'scipy_njev': 50}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 40, 'scipy_nfev': 41, 'scipy_njev': 40}]",510.327409,1710,1450,-3.4545016586867705e-12,-1.5769845498891932e-11,0.24303846858105033
state_14_candidate_02,30,True,0.10956863727733095,1,1,runs/state_14_candidate_02_L30_dls_prediction.json,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}]",6179.602604,9900,9120,-0.0005314691479651164,-4.0070904363725957e-05,0.24278374048818252
state_14_candidate_03,1,True,0.06434160416228327,3,2,runs/state_14_candidate_03_L1_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 9, 'scipy_nfev': 10, 'scipy_njev': 9}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 10, 'scipy_nfev': 12, 'scipy_njev': 10}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 10, 'scipy_nfev': 12, 'scipy_njev': 10}]",12.63043,54,30,-4.354908361009491e-12,-0.001275107131655349,0.23731723758588286
state_14_candidate_03,5,True,0.09386117244700813,3,2,runs/state_14_candidate_03_L5_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 23, 'scipy_nfev': 24, 'scipy_njev': 23}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 20, 'scipy_nfev': 21, 'scipy_njev': 20}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 23, 'scipy_nfev': 23, 'scipy_njev': 23}]",107.300789,450,335,-4.7085599308438475e-12,-3.891420866097839e-11,0.23886111100717394
state_14_candidate_03,10,True,0.0997354380597377,3,2,runs/state_14_candidate_03_L10_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 52, 'scipy_nfev': 54, 'scipy_njev': 52}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 47, 'scipy_nfev': 48, 'scipy_njev': 47}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 38, 'scipy_nfev': 39, 'scipy_njev': 38}]",472.071132,1650,1380,-2.643467693005941e-12,-2.4838148898753687e-11,0.23916833509871988
state_14_candidate_03,30,True,0.11775520552936146,2,2,runs/state_14_candidate_03_L30_dls_prediction.json,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}]",5394.283496,9990,9120,-0.0004806969967651809,-0.0005453737376517487,0.23878322517862138
state_14_candidate_04,1,True,0.06344739077815893,3,2,runs/state_14_candidate_04_L1_historical_prefix.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 7, 'scipy_nfev': 9, 'scipy_njev': 7}, {'success': False, 'code': 8, 'message': 'Positive directional derivative for linesearch', 'iterations': 18, 'scipy_nfev': 43, 'scipy_njev': 14}, {'success': False, 'code': 8, 'message': 'Positive directional derivative for linesearch', 'iterations': 14, 'scipy_nfev': 13, 'scipy_njev': 10}]",17.245272,89,32,-2.78462582853356e-13,-0.0012955310142344955,0.24275543352170487
state_14_candidate_04,5,True,0.09248864938786168,3,2,runs/state_14_candidate_04_L5_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 24, 'scipy_nfev': 25, 'scipy_njev': 24}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 24, 'scipy_nfev': 25, 'scipy_njev': 24}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 21, 'scipy_nfev': 22, 'scipy_njev': 21}]",111.017831,465,350,-2.364439373458982e-12,-3.2024846316480726e-11,0.24427429134699236
state_14_candidate_04,10,True,0.09799877166399087,3,2,runs/state_14_candidate_04_L10_dls_prediction.json,"[{'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 53, 'scipy_nfev': 54, 'scipy_njev': 53}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 59, 'scipy_nfev': 60, 'scipy_njev': 59}, {'success': True, 'code': 0, 'message': 'Optimization terminated successfully', 'iterations': 39, 'scipy_nfev': 40, 'scipy_njev': 39}]",532.717577,1790,1520,-4.75295323931757e-12,-3.9816304767126276e-11,0.2445624707420339
state_14_candidate_04,30,True,0.10714511083725738,1,1,runs/state_14_candidate_04_L30_dls_prediction.json,"[{'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 102, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}, {'success': False, 'code': 9, 'message': 'Iteration limit reached', 'iterations': 100, 'scipy_nfev': 101, 'scipy_njev': 101}]",6262.153533,9900,9120,-0.0005416369917074162,-0.0001601179098642911,0.24435121977838214
