robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,complete_frame_calls,over_20ms_frames,trf_calls,optimizer_calls,trac_rejections,same_frame_recoveries,within20_recoveries,mean_trf_nfev,frame_failure_kinds,trf_native_statuses,trf_stop_reasons
ur5e,pink_qp,Pink QP-IK,near_singular,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9993333333333332,0.9993333333333332,1.0365585,1.4624262500000003,1.8237654,1566.834391333333,156.6834391333333,154.02061933333334,168.4412126,2.393512922836242e-05,0.0005486942696417211,6.344634837054159e-05,0.0014184247307832732,0.9999999999999998,13.245426417030538,0.2649085283406108,142.3,0,4500,0,0,0,0,0,0,,"{""internal_nonconvergence+velocity_limit"":3}",{},{}
ur5e,pink_qp,Pink QP-IK,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,1.003768,1.4822567000000002,1.8214361500000007,1504.690912,150.4690912,149.578732,180.92856453333332,0.0001091294211267216,0.0006499478128151782,0.00017047039602669124,0.0018283855292212366,0.9999999999999998,10.122831390475561,0.20245662780951126,150.0,0,4500,0,0,0,0,0,0,,{},{},{}
ur5e,trac_task_5ms,TRAC-IK task 5 ms,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.2903315,0.5967280500000006,3.638741490000008,585.0339213333333,58.50339213333333,55.0280395,78.95122178333332,0.00047096984193568015,0.0009186039735108001,0.000645225919646034,0.006306487201899373,0.9999999999999976,12.793969132604188,0.25587938265208376,150.0,0,4500,0,0,0,0,0,0,,{},{},{}
ur5e,trac_task_5ms,TRAC-IK task 5 ms,joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,9,10]",0.9666666666666666,1.0,0.9997777777777778,0.293758,0.6930885000000002,3.6406747600000053,624.5733113333333,62.457331133333334,62.30054683333333,76.49410968333333,0.00017880009353346093,0.000970559477448821,0.0005744081756608988,0.007885477651784741,1.0,12.399226380213454,0.24798452760426906,150.0,0,4500,1,0,0,0,0,0,,{},{},{}
ur5e,trac_task_5ms,TRAC-IK task 5 ms,near_singular,10,3,"[9,9,9]",9.0,0.9,"[7,9,9]",0.8333333333333334,0.983111111111111,0.9826666666666667,0.2933,0.6823749500000009,5.52865415,752.6977583333332,75.26977583333333,56.98738783333334,146.20496339999988,0.0003913216635201402,0.0008011366451863089,0.0011951992525671186,0.007027366415044044,1.0,9.824703578913148,0.19649407157826299,147.46666666666667,0,4500,2,0,0,0,0,0,,"{""internal_nonconvergence+position_tolerance"":3,""internal_nonconvergence+position_tolerance+orientation_tolerance"":73}",{},{}
ur5e,trac_task_5ms,TRAC-IK task 5 ms,smooth,10,3,"[9,10,9]",9.333333333333334,0.9333333333333333,"[9,10,9]",0.9333333333333333,0.9471111111111111,0.9471111111111111,0.301372,5.28201635,5.569281590000001,957.705598,95.7705598,55.53381316666666,286.8838722166663,0.0001636217153665687,0.0009352653674899542,0.00017645828761933077,0.007076138452527447,0.9999999999999976,7.23021166210878,0.1446042332421756,142.06666666666666,0,4500,0,0,0,0,0,0,,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":238}",{},{}
ur5e,trac_then_current_trf,TRAC 5 ms then one current-frame TRF,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[9,10,10]",0.9666666666666666,1.0,0.9997777777777778,0.309525,0.6307411,3.79241921,649.2012450000001,64.92012450000001,58.975322500000004,87.33087404999999,0.00047096984193568015,0.0009476623847739678,0.0006366454885582436,0.007453343350636833,0.9999999999999976,12.886447809612637,0.25772895619225283,150.0,0,4500,1,0,0,0,0,0,,{},{},{}
ur5e,trac_then_current_trf,TRAC 5 ms then one current-frame TRF,joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.3036485,0.6313473500000002,3.4310590200000015,601.1113839999999,60.111138399999994,58.9534915,74.97458181666666,0.0001573061375221262,0.000855230807994338,0.00010969086867974367,0.008695478387266819,0.9999999999999998,11.142324609654025,0.22284649219308056,150.0,0,4500,0,2,2,2,2,2,9.0,{},"{""-2"":2}","{""task_admissible"":2}"
ur5e,trac_then_current_trf,TRAC 5 ms then one current-frame TRF,near_singular,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9833333333333333,0.9833333333333333,0.3178315,0.6398152000000009,14.428804890000064,923.7002866666667,92.37002866666667,58.013231166666664,255.01856033333297,0.00039944435249396234,0.0008703615218733537,0.0011627109070856774,0.007163172699950521,1.0,10.011980477948136,0.20023960955896267,147.5,0,4500,0,75,75,75,0,0,17.093333333333334,"{""position_tolerance"":3,""position_tolerance+orientation_tolerance"":72}","{""2"":73,""4"":1,""3"":1}","{""native_termination"":75}"
ur5e,trac_then_current_trf,TRAC 5 ms then one current-frame TRF,smooth,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9208888888888889,0.9208888888888889,0.3281425,10.37712765,11.994667410000007,1846.950783,184.6950783,59.82905733333333,752.2036839666654,0.00016532112638748453,0.0009906284012569625,0.00017804897321035815,0.007736319161509676,0.9999999999999976,7.477330437643473,0.1495466087528694,138.13333333333333,0,4500,0,357,357,357,1,1,9.781512605042018,"{""position_tolerance"":3,""position_tolerance+orientation_tolerance"":353}","{""2"":177,""1"":154,""3"":6,""4"":19,""-2"":1}","{""native_termination"":356,""task_admissible"":1}"
