robot,unique_inputs,recovered_all,recovered_any,within20_all,trajectory_uids,recovered_input_median_latency_range_ms
panda,33,31,31,31,5,"[0.832651,4.188829]"
ur5e,11,5,5,5,4,"[0.723566,3.570602]"
