panel,site_id,condition,completed,repeats,center_id,candidate_id,center_completed,position_match_error,orientation_match_error,scope,predictor,informative_pairs,comparable_pairs,unknown_pairs,concordant,discordant,ties,score,contributing_sites,note,repeat,cumulative_ms
b,case_07_pre_failure,,5,5,candidate_00,matched_00,5,2.220446049250313e-16,2.80819226577366e-16,,,,,,,,,,,,,
b,case_07_pre_failure,,5,5,candidate_00,matched_01,5,1.5700924586837752e-16,2.1896427040742805e-16,,,,,,,,,,,,,
b,case_07_pre_failure,,5,5,candidate_00,matched_02,5,1.1102230246251565e-16,1.6284871811555968e-16,,,,,,,,,,,,,
b,case_07_pre_failure,,5,5,candidate_06,matched_03,5,1.5700924586837752e-16,1.984552446430753e-16,,,,,,,,,,,,,
b,case_07_pre_failure,,5,5,candidate_06,matched_04,5,1.5700924586837752e-16,2.688771235227048e-16,,,,,,,,,,,,,
b,case_07_pre_failure,,5,5,candidate_06,matched_05,5,1.9229626863835638e-16,2.955523324089471e-16,,,,,,,,,,,,,
b,case_08_pre_failure,,5,5,candidate_00,matched_00,5,1.3877787807814457e-17,1.1831956856779854e-16,,,,,,,,,,,,,
b,case_08_pre_failure,,5,5,candidate_00,matched_01,5,9.71445146547012e-17,3.228751697711239e-16,,,,,,,,,,,,,
b,case_08_pre_failure,,5,5,candidate_00,matched_02,5,2.607399605677454e-16,1.666574605006544e-16,,,,,,,,,,,,,
b,case_08_pre_failure,,5,5,candidate_04,matched_03,5,1.1188630228279524e-16,1.7286759575437262e-16,,,,,,,,,,,,,
b,case_08_pre_failure,,5,5,candidate_04,matched_04,5,1.1857187100668868e-16,1.544230663765434e-16,,,,,,,,,,,,,
b,case_08_pre_failure,,5,5,candidate_04,matched_05,5,5.721958498152797e-17,2.405215128293405e-16,,,,,,,,,,,,,
c,,,,,,,,,,all_informative,residual,82,82,0,49,8,25,0.75,"['case_00_pre_failure', 'case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations",,
c,,,,,,,,,,pose_matched_informative,residual,25,25,0,0,0,25,0.5,"['case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations",,
c,,,,,,,,,,all_informative,nearest,82,82,0,14,68,0,0.17073170731707318,"['case_00_pre_failure', 'case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations",,
c,,,,,,,,,,pose_matched_informative,nearest,25,25,0,6,19,0,0.24,"['case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations",,
c,,,,,,,,,,all_informative,sigma_min,82,82,0,75,7,0,0.9146341463414634,"['case_00_pre_failure', 'case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations",,
c,,,,,,,,,,pose_matched_informative,sigma_min,25,25,0,24,1,0,0.96,"['case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations",,
c,,,,,,,,,,all_informative,next_demand,82,82,0,61,21,0,0.7439024390243902,"['case_00_pre_failure', 'case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure', 'case_06_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations",,
c,,,,,,,,,,pose_matched_informative,next_demand,25,25,0,17,8,0,0.68,"['case_01_pre_failure', 'case_02_pre_failure', 'case_03_pre_failure', 'case_05_pre_failure']","descriptive dependent within-site pairs, not accuracy on independent held-out observations",,
d,case_00_pre_failure,A,,,,,,,,,,,,,,,,,,,0,163.791093
d,case_00_pre_failure,A,,,,,,,,,,,,,,,,,,,1,161.51061
d,case_00_pre_failure,A,,,,,,,,,,,,,,,,,,,2,162.330852
d,case_00_pre_failure,A,,,,,,,,,,,,,,,,,,,3,163.724969
