robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,optimization_call_rate,mean_conic_calls,partial_correction_rate,effective_command_adjustment_rate,geometric_recovery_rate,intervention_normalized_mean,unchanged_given_legal_backup,accepted_near_tolerance_rate,demand_met_rate,direct_extra_p50_ms,normalized_gap_reduction_mean,demand_coverage,initial_gap_mean,final_gap_mean
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),all,160,3,"[118,117,120]",118.33333333333333,0.7395833333333333,"[108,111,117]",0.7,0.8819444444444444,0.8818055555555555,0.809556,6.08079525,6.13920944,68933.14662733334,430.83216642083335,248.0761035,1284.8706627666666,0.9405833333333333,0.058868055555555555,0.0005021204355369156,0.0009999986822767835,0.0015900071073622628,0.008701595699869695,1.0,6.622207672544759,0.1324441534508952,256.09791666666666,0,0.5598819444444445,0.5801805555555556,0.03248611111111111,0.058916666666666666,,0.010762069439089462,0.927808287939306,0.002780557790940441,0.44228472222222226,0.35036062309368193,0.008866896634775781,0.8097617056856187,1.1340198100297763,1.123920409146889
panda,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,all,160,3,"[118,121,117]",118.66666666666667,0.7416666666666667,"[114,114,112]",0.7083333333333333,0.8806250000000001,0.8805069444444444,0.564476,6.08242,6.14320216,62931.622829,393.32264268125,192.8409765,1279.0497955999986,0.9734999999999999,0.0265,0.0004415659560691026,0.0009797338311189165,0.000829919378905959,0.008705956868941265,1.0,6.556819863465752,0.13113639726931506,256.12291666666664,0,0.15549305555555556,0.17438888888888887,0.0,0.025861111111111112,,0.009157866240239235,0.9668470367809618,0.002008202419735314,0.4447152777777778,0.35066921875000007,0.0,0.8097617056856187,1.1324680148018331,1.1324680148018331
panda,pink_qp,Pink QP-IK,all,160,3,"[124,124,124]",124.0,0.775,"[123,121,123]",0.7645833333333333,0.88875,0.8887083333333334,0.997366,1.04998505,1.1539223800000002,44314.98605733333,276.9686628583333,281.1359395,303.97742156666664,0.0,0.0,0.00027889132061762606,0.000999589540688017,0.0006157104437022577,0.008635709467541306,1.0,6.802807795948987,0.13605615591897974,259.25625,0,,,,,,,,0.0014920000636479234,,,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,all,160,3,"[121,119,120]",120.0,0.75,"[118,116,119]",0.7354166666666667,0.8833055555555556,0.88325,0.165787,20.26225405,20.30106704,121891.159595,761.81974746875,53.28171016666667,4021.3392689666666,0.0,0.0,0.00048148253075607964,0.0009976310018842119,0.000777709560541627,0.008552061498120031,1.0,6.477059396410062,0.1295411879282012,256.4916666666667,0,,,,,,,,0.0022207017198129326,,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,all,160,3,"[119,118,116]",117.66666666666667,0.7354166666666667,"[117,113,114]",0.7166666666666667,0.8776597222222222,0.8775972222222223,0.165745,5.229742099999999,5.27420245,38615.53740266667,241.34710876666668,53.318170833333326,1080.5791463333335,0.0,0.0,0.000470111964116431,0.0009946381710156682,0.0007321337365209329,0.008571672036270676,1.0,6.285983967602635,0.1257196793520527,255.0375,0,,,,,,,,0.0015252643623607713,,,,,,
panda,two_step_predictive,Two-step predictive,all,160,3,"[121,122,123]",122.0,0.7625,"[118,116,120]",0.7375,0.8804791666666667,0.880375,3.7612795,6.26628005,6.34929408,196676.37142799998,1229.227321425,1138.4120546666668,1684.5946837166664,0.1285625,0.8694166666666666,0.00022749492224961022,0.000999990014118362,0.0022051344165041308,0.008726560443361562,1.0,5.998501553213045,0.1199700310642609,254.42708333333334,0,0.9999097222222223,2.753041666666667,,,,0.15513934329141593,0.013966690982954713,0.002299097974939044,,,,,,
ur5e,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),all,160,3,"[147,147,152]",148.66666666666666,0.9291666666666666,"[137,143,147]",0.8895833333333334,0.9737291666666666,0.9735902777777777,0.5742805,2.5680628499999982,6.02798423,42910.01251566666,268.1875782229166,223.7013695,614.9336844833324,0.933263888888889,0.06625,0.0005066524795915237,0.0009999971869738718,0.0022096492326640895,0.00872659202751944,1.0,14.437066601118248,0.28874133202236496,289.49791666666664,0,0.430625,0.45908333333333334,0.03520138888888889,0.06661805555555557,,0.01009464825557944,0.9296356852899241,0.0020339698392737365,0.5704027777777778,0.33790260989010984,0.0018209599719656877,0.8015050167224079,1.258975955746921,1.253851542456647
ur5e,cr_ik_mu0_analytic,Same-core analytic zero reserve cost,all,160,3,"[150,146,149]",148.33333333333334,0.9270833333333334,"[144,138,139]",0.8770833333333334,0.9714791666666667,0.9712986111111112,0.53662,2.5995189499999967,6.02749204,38102.45184733333,238.14032404583332,184.69451,597.7183658833321,0.9682916666666667,0.03170833333333333,0.00045763840025863804,0.000989687379106784,0.0010036231029867425,0.008562096233745788,1.0,14.277375232944088,0.2855475046588818,289.35,0,0.07604861111111112,0.10377083333333334,0.0,0.03165972222222222,,0.00913609831851033,0.9667079007336371,0.0006763163753640762,0.5680625,0.3376259229166667,0.0,0.8015050167224079,1.270197837737465,1.270197837737465
ur5e,pink_qp,Pink QP-IK,all,160,3,"[110,110,110]",110.0,0.6875,"[107,108,109]",0.675,0.8863958333333334,0.8863472222222222,0.627147,0.75498905,0.8676777100000007,31170.933230333332,194.81833268958331,190.09672216666667,212.71069348333333,0.0,0.0,0.00028738311538908235,0.0009948304305554875,0.0005636879553933827,0.008336145811347659,1.0,17.54984186363503,0.3509968372727006,247.26875,0,,,,,,,,0.001476594164298997,,,,,,
ur5e,trac_task_20ms,TRAC-IK task 20 ms,all,160,3,"[151,152,150]",151.0,0.94375,"[146,150,144]",0.9166666666666666,0.9760277777777778,0.9759375,0.15215,0.24455034999999992,20.2436,31597.169496,197.48230934999998,48.636908500000004,1385.2083917999967,0.0,0.0,0.0004541375828283415,0.000995340965304797,0.0007323467633421789,0.00836159932571717,1.0,13.84772392360732,0.2769544784721463,289.58958333333334,0,,,,,,,,0.0009748494108157124,,,,,,
