split,robot,group,queries,min_witness_utilization,max_witness_utilization,queries_with_physical_clipping
development,ur5e,near_singular/high_utilization/alpha=0.95,10,0.58959446621554,0.9385247105294684,0
development,ur5e,near_singular/multijoint_boundary/alpha=0.0,10,0.9974125685940609,0.9974125685940627,0
development,ur5e,near_singular/multijoint_boundary/alpha=0.5,10,0.9974125685940609,0.9974125685940627,0
development,ur5e,near_singular/multijoint_boundary/alpha=0.95,10,0.9974125685940609,0.9974125685940627,0
development,ur5e,near_limit/regular/alpha=0.0,10,0.002954814288717155,0.5126823634859201,0
development,ur5e,near_limit/regular/alpha=0.5,10,0.002954814288717155,0.5126823634859201,0
development,ur5e,near_limit/regular/alpha=0.95,10,0.002954814288717155,0.5126823634859201,0
development,ur5e,near_limit/high_utilization/alpha=0.0,10,0.3016220124786679,0.9652676433950809,3
development,ur5e,near_limit/high_utilization/alpha=0.5,10,0.3016220124786679,0.9652676433950809,3
development,ur5e,near_limit/high_utilization/alpha=0.95,10,0.3016220124786679,0.9652676433950809,3
development,ur5e,near_limit/multijoint_boundary/alpha=0.0,10,0.4891748340355445,0.9974125685940645,2
development,ur5e,near_limit/multijoint_boundary/alpha=0.5,10,0.4891748340355445,0.9974125685940645,2
development,ur5e,near_limit/multijoint_boundary/alpha=0.95,10,0.4891748340355445,0.9974125685940645,2
validation,panda,all,2160,0.0001352571957035586,0.9970898661567914,216
validation,panda,regular/alpha=0.0,240,0.0001352571957035586,0.5945316797981592,4
validation,panda,regular/alpha=0.5,240,0.0001352571957035586,0.5945316797981592,4
validation,panda,regular/alpha=0.95,240,0.0001352571957035586,0.5945316797981592,4
validation,panda,high_utilization/alpha=0.0,240,0.07150714346739936,0.9595177904325386,33
validation,panda,high_utilization/alpha=0.5,240,0.07150714346739936,0.9595177904325386,33
validation,panda,high_utilization/alpha=0.95,240,0.07150714346739936,0.9595177904325386,33
validation,panda,multijoint_boundary/alpha=0.0,240,0.07150714346739936,0.9970898661567914,35
validation,panda,multijoint_boundary/alpha=0.5,240,0.07150714346739936,0.9970898661567914,35
validation,panda,multijoint_boundary/alpha=0.95,240,0.07150714346739936,0.9970898661567914,35
validation,panda,ordinary/regular/alpha=0.0,80,0.0001352571957035586,0.5945316797981592,0
validation,panda,ordinary/regular/alpha=0.5,80,0.0001352571957035586,0.5945316797981592,0
validation,panda,ordinary/regular/alpha=0.95,80,0.0001352571957035586,0.5945316797981592,0
validation,panda,ordinary/high_utilization/alpha=0.0,80,0.5728563177314572,0.9595177904325386,0
validation,panda,ordinary/high_utilization/alpha=0.5,80,0.5728563177314572,0.9595177904325386,0
validation,panda,ordinary/high_utilization/alpha=0.95,80,0.5728563177314572,0.9595177904325386,0
validation,panda,ordinary/multijoint_boundary/alpha=0.0,80,0.9967087155963303,0.9970898661567914,0
validation,panda,ordinary/multijoint_boundary/alpha=0.5,80,0.9967087155963303,0.9970898661567914,0
validation,panda,ordinary/multijoint_boundary/alpha=0.95,80,0.9967087155963303,0.9970898661567914,0
validation,panda,near_singular/regular/alpha=0.0,80,0.00014694681781779356,0.5324475847657991,0
validation,panda,near_singular/regular/alpha=0.5,80,0.00014694681781779356,0.5324475847657991,0
validation,panda,near_singular/regular/alpha=0.95,80,0.00014694681781779356,0.5324475847657991,0
validation,panda,near_singular/high_utilization/alpha=0.0,80,0.5690369957889632,0.9548301927013705,0
