robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,frame_calls,all_frame_cumulative_ns,max_latency_ms,over_20ms_frames,failure_reasons,physical_boundary_frames,rate_boundary_frames,mean_iterations,mean_evaluations,mean_qp_calls,mean_line_search_evaluations,mean_extra_backtracking_evaluations,internal_statuses
panda,pink_qp,Pink QP-IK,all,160,3,"[149,149,149]",149.0,0.93125,"[149,149,149]",0.93125,0.9778333333333333,0.9778333333333333,0.995633,1.0628147000000001,1.18394139,22393.223435666667,139.95764647291668,144.06458916666668,150.87541166666668,0.00019420874062362495,0.0009820691758522925,0.0004005075751895213,0.00827856629122937,1.0,4.356682786934626,0.08713365573869251,145.70625,0,72000,67179670307,1.929483,0,"{""orientation_tolerance"":18,""position_tolerance+orientation_tolerance"":1530,""position_tolerance"":39,""internal_nonconvergence+position_tolerance"":3,""internal_nonconvergence+joint_limit+velocity_limit"":6}",645,531,,,,,,
panda,single_gn_clip,"GN kappa=1, clipped step",all,160,3,"[150,150,150]",150.0,0.9375,"[150,149,150]",0.9354166666666666,0.973,0.972986111111111,0.242256,0.27164235000000003,4.755282269999997,8038.747988666666,50.242174929166666,36.84377683333334,129.01357648333243,0.00037068616149509253,0.0009998773001259629,0.0005544578614939694,0.008720503927619756,0.9999999999990037,3.5063088845546444,0.0701261776910929,145.83125,0,72000,24116243966,57.820037,1,"{""position_tolerance"":114,""position_tolerance+orientation_tolerance"":1812,""orientation_tolerance"":18}",93,168,2.531125,6.598027777777777,1.558125,3.0669166666666667,1.520125,"{""task_candidate"":70055,""iteration_limit"":1128,""stationary"":816,""deadline"":1}"
panda,single_gn_k0,Bounded GN kappa=0,all,160,3,"[154,154,154]",154.0,0.9625,"[154,154,154]",0.9625,0.9856666666666667,0.9856666666666667,0.268237,0.28749845,3.8101724799999652,7630.154038666666,47.68846274166666,40.715622999999994,41.25012396666666,0.0003649930286852819,0.0009991902381254053,0.00048290680649966584,0.00840698947668856,0.9999999999990037,2.9748718981932543,0.059497437963865085,147.85,0,72000,22890462116,6.049339,0,"{""orientation_tolerance"":18,""position_tolerance+orientation_tolerance"":1011,""position_tolerance"":3}",354,144,2.180083333333333,5.264083333333334,1.1944166666666667,2.084,0.903375,"{""task_candidate"":70968,""stationary"":993,""no_descent"":39}"
panda,single_gn_k1,Bounded GN kappa=1,all,160,3,"[154,154,154]",154.0,0.9625,"[153,154,154]",0.9604166666666666,0.9840833333333333,0.9840694444444444,0.268584,0.288582,3.5711216999999977,7623.424816666667,47.64640510416667,40.76388333333333,41.322864083333336,0.0003680039198343334,0.0009998773001259629,0.0005407238336176317,0.008601718301529384,0.9999999999990037,3.7251672211281392,0.07450334442256278,147.4875,0,72000,22870274450,56.094351,1,"{""position_tolerance"":39,""position_tolerance+orientation_tolerance"":1095,""orientation_tolerance"":12}",480,267,2.158333333333333,5.219027777777778,1.17425,2.0607083333333334,0.8970833333333333,"{""task_candidate"":70853,""stationary"":765,""no_descent"":375,""deadline"":1,""iteration_limit"":6}"
panda,single_gn_osqp,"GN kappa=1, OSQP",all,160,3,"[154,154,154]",154.0,0.9625,"[154,154,153]",0.9604166666666666,0.9840833333333333,0.9840694444444444,0.292117,0.32231145,6.717082589999987,11152.043514333334,69.70027196458334,44.30449016666667,45.6188336166666,0.00036800391984219535,0.0009998773001257612,0.0005407238336160759,0.008601718301780198,0.9999999999990026,3.7250217035632303,0.0745004340712646,147.4875,0,72000,33456130543,57.158152,356,"{""position_tolerance"":39,""position_tolerance+orientation_tolerance"":1095,""orientation_tolerance"":12}",475,267,2.145888888888889,5.095444444444444,1.157125,1.95425,0.8034166666666667,"{""task_candidate"":70853,""iteration_limit"":6,""stationary"":453,""no_descent"":350,""deadline"":338}"
panda,trac_task_20ms,TRAC-IK task 20 ms,all,160,3,"[151,150,151]",150.66666666666666,0.9416666666666667,"[150,148,150]",0.9333333333333333,0.9784722222222222,0.9784027777777777,0.17012,0.26436675000000004,20.23640318,15213.975555,95.08734721875001,26.528494333333335,396.1903489999963,0.0003653415169172599,0.0009888770021752493,0.00047210834299211746,0.008518439097702335,0.9999999999999999,4.1349256409405895,0.0826985128188118,146.76666666666668,0,72000,45641926665,58.759478,1555,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":1546,""internal_nonconvergence+position_tolerance"":4}",574,107,,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,all,160,3,"[149,148,150]",149.0,0.93125,"[149,146,150]",0.9270833333333334,0.9771388888888889,0.977111111111111,0.169952,0.26859805,5.21305808,7539.6493083333335,47.122808177083336,26.487865833333334,181.58491824999945,0.0003663209835505132,0.0009698219331222334,0.00047174961645244767,0.008111082963661965,0.9999999999999999,4.051316167664104,0.0810263233532821,145.98333333333332,0,72000,22618947925,60.284977,2,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":1639,""internal_nonconvergence+position_tolerance"":5,""internal_nonconvergence+orientation_tolerance"":2}",567,101,,,,,,
ur5e,pink_qp,Pink QP-IK,all,160,3,"[142,142,142]",142.0,0.8875,"[141,142,141]",0.8833333333333334,0.9686666666666668,0.9686388888888888,0.6331665,0.7391652500000001,0.9045987199999996,15555.841022333334,97.22400638958334,96.40860966666666,102.73177845,0.0001582599314774085,0.0009772775289274118,0.0003286285034123045,0.007844157262846534,1.0,11.033321127246593,0.22066642254493185,141.26875,0,72000,46667523067,58.445568,2,"{""position_tolerance"":72,""position_tolerance+orientation_tolerance"":2127,""internal_nonconvergence+position_tolerance+orientation_tolerance"":21,""internal_nonconvergence+velocity_limit"":33,""internal_nonconvergence+position_tolerance+velocity_limit"":3}",15,669,,,,,,
ur5e,single_gn_clip,"GN kappa=1, clipped step",all,160,3,"[158,158,158]",158.0,0.9875,"[158,158,156]",0.9833333333333334,0.993875,0.9938472222222222,0.234841,0.25243755000000007,0.43670013999999946,6048.682875666666,37.80426797291666,35.7879575,37.84941279999998,0.0003990365591301742,0.0009992678045360262,0.0006466435935572643,0.008714053225095783,0.9999999999990026,4.99628403662656,0.09992568073253118,149.08125,0,72000,18146048627,58.656612,2,"{""position_tolerance"":21,""position_tolerance+orientation_tolerance"":420}",3,72,2.0496666666666665,4.358444444444444,1.0557916666666667,1.3087916666666666,0.256625,"{""task_candidate"":71558,""iteration_limit"":180,""stationary"":261,""deadline"":1}"
ur5e,single_gn_k0,Bounded GN kappa=0,all,160,3,"[159,159,159]",159.0,0.99375,"[158,159,159]",0.9916666666666666,0.9978333333333335,0.9978194444444445,0.258157,0.2761842,0.4112274599999982,6414.930068666667,40.093312929166665,39.285854666666665,39.89000715,0.00039809551798874934,0.0009989707642715081,0.0006373039201866235,0.008723718214311187,0.9999999999990026,4.811191482511319,0.09622382965022638,149.675,0,72000,19244790206,59.429251,1,"{""position_tolerance"":3,""position_tolerance+orientation_tolerance"":153}",45,96,1.9919583333333333,4.147875,0.994125,1.1559166666666667,0.163875,"{""task_candidate"":71844,""stationary"":150,""no_descent"":6}"
ur5e,single_gn_k1,Bounded GN kappa=1,all,160,3,"[158,158,158]",158.0,0.9875,"[158,158,158]",0.9875,0.99575,0.99575,0.258302,0.27664120000000003,0.45478567999999703,6599.594938,41.2474683625,39.280895,39.79440573333333,0.000396405788770067,0.0009992678045360262,0.0006409390726133155,0.008714053225095783,0.9999999999990026,4.94332099128341,0.09886641982566818,149.3625,0,72000,19798784814,5.254104,0,"{""position_tolerance"":27,""position_tolerance+orientation_tolerance"":279}",18,108,2.0271666666666666,4.37825,1.0314166666666666,1.3510833333333334,0.3224166666666667,"{""task_candidate"":71694,""no_descent"":108,""stationary"":198}"
ur5e,single_gn_osqp,"GN kappa=1, OSQP",all,160,3,"[158,158,158]",158.0,0.9875,"[158,158,158]",0.9875,0.99575,0.99575,0.281927,0.30620385000000006,0.4881740699999989,8069.251435666666,50.432821472916665,42.8765595,43.57059546666666,0.0003964057887746896,0.0009992678045358597,0.0006409390726220432,0.008714053225103923,0.9999999999990026,4.94332099030537,0.09886641980610741,149.3625,0,72000,24207754307,22.319182,74,"{""position_tolerance"":27,""position_tolerance+orientation_tolerance"":279}",18,108,2.025541666666667,4.360916666666666,1.0288333333333333,1.3363333333333334,0.3093472222222222,"{""task_candidate"":71694,""deadline"":69,""stationary"":133,""no_descent"":104}"
ur5e,trac_task_20ms,TRAC-IK task 20 ms,all,160,3,"[156,155,155]",155.33333333333334,0.9708333333333334,"[156,154,154]",0.9666666666666666,0.9905972222222222,0.9905694444444445,0.160289,0.22732660000000005,4.655956599999476,8884.256661666666,55.52660413541666,25.071587333333333,47.94255194999934,0.00033304032004191533,0.0009661594774190446,0.0005460638596291235,0.008092328749714247,1.0,8.855871151906575,0.17711742303813155,148.36041666666668,0,72000,26652769985,59.852665,679,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":675,""internal_nonconvergence+position_tolerance"":2}",97,166,,,,,,
ur5e,trac_task_5ms,TRAC-IK task 5 ms,all,160,3,"[152,152,156]",153.33333333333334,0.9583333333333334,"[152,152,156]",0.9583333333333334,0.9890416666666667,0.9890416666666667,0.160614,0.22861225000000004,5.185628529999999,5551.581024666667,34.69738140416667,25.093544833333333,52.26065773333251,0.00032985931729634735,0.0009756179360244792,0.0005415341658319178,0.008452357470440777,1.0,8.942548855002295,0.17885097710004594,147.53333333333333,0,72000,16654743074,5.616961,0,"{""internal_nonconvergence+position_tolerance"":6,""internal_nonconvergence+position_tolerance+orientation_tolerance"":783}",96,159,,,,,,
