robot,method,baseline,family,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,single_gn_k1,trac_task_20ms,high_curvature,acceleration_rms,40,-0.06437334230675688,"[-0.48712162851460067,0.45056429304989637]",0.9906195575997416,"[0.9316389555623007,1.0651154173245008]"
panda,single_gn_k1,trac_task_20ms,high_curvature,successful_prefix,40,1.4999999999999998,"[-2.65,5.841666666666667]",1.0104511409162167,"[0.9818275624856684,1.0424678310419455]"
panda,single_gn_k1,pink_qp,all,completion,160,0.03125,"[-0.00625,0.06875]",1.0335570469798658,"[0.9935897435897436,1.0763888888888888]"
panda,single_gn_k1,pink_qp,all,deadline_completion,160,0.029166666666666664,"[-0.00625,0.06666666666666667]",1.0313199105145414,"[0.993421052631579,1.0745920745920747]"
panda,single_gn_k1,pink_qp,all,total_latency_ns,160,-92311241.36875,"[-98050169.415,-85111825.24619791]",0.34043445502912745,"[0.30206157990489496,0.3901684910353727]"
panda,single_gn_k1,pink_qp,all,frame_success,160,0.006249999999999997,"[-0.006791666666666668,0.019917708333333336]",1.006391682290779,"[0.993126669565509,1.020664629675602]"
panda,single_gn_k1,pink_qp,all,acceleration_rms,160,-0.6315155658064868,"[-1.438378529507356,0.13656541807867467]",0.8550466956877476,"[0.7095378536239164,1.0363982412780988]"
panda,single_gn_k1,pink_qp,all,successful_prefix,160,1.78125,"[-0.11890624999999994,3.9190625000000012]",1.0122249388753055,"[0.9991943513343725,1.027246033315797]"
panda,single_gn_k1,pink_qp,smooth,completion,40,0.025,"[0.0,0.075]",1.0256410256410255,"[1.0,1.0810810810810811]"
panda,single_gn_k1,pink_qp,smooth,deadline_completion,40,0.016666666666666666,"[-0.025,0.075]",1.017094017094017,"[0.975,1.0810810810810811]"
panda,single_gn_k1,pink_qp,smooth,total_latency_ns,40,-100603851.11666666,"[-103219103.73083334,-97720816.59145832]",0.2908380251197166,"[0.28387638239083324,0.2997668152646706]"
panda,single_gn_k1,pink_qp,smooth,frame_success,40,0.0028333333333333322,"[0.0,0.008499999999999997]",1.0028413839211097,"[1.0,1.0085728693898135]"
panda,single_gn_k1,pink_qp,smooth,acceleration_rms,40,-0.14902771326702272,"[-0.4567883383790527,0.12931776987819774]",0.8590648523344555,"[0.6527877150916008,1.1428953442657492]"
panda,single_gn_k1,pink_qp,smooth,successful_prefix,40,0.425,"[0.0,1.275]",1.0028413839211099,"[1.0,1.0085728693898135]"
panda,single_gn_k1,pink_qp,near_singular,completion,40,0.025,"[-0.05,0.1]",1.027027027027027,"[0.9459459459459459,1.121212121212121]"
panda,single_gn_k1,pink_qp,near_singular,deadline_completion,40,0.025,"[-0.05,0.1]",1.027027027027027,"[0.9459459459459459,1.121212121212121]"
panda,single_gn_k1,pink_qp,near_singular,total_latency_ns,40,-88483744.16666667,"[-98347124.57041666,-75253756.52520834]",0.34868244447100877,"[0.2849990810428712,0.44450817383488594]"
