robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,frame_calls,all_frame_cumulative_ns,max_latency_ms,over_20ms_frames,failure_reasons,physical_boundary_frames,rate_boundary_frames,mean_iterations,mean_evaluations,mean_qp_calls,mean_line_search_evaluations,mean_extra_backtracking_evaluations,internal_statuses
panda,trac_task_20ms,TRAC-IK task 20 ms,joint_limit_return,40,3,"[38,38,38]",38.0,0.95,"[38,38,38]",0.95,0.9789444444444444,0.9789444444444444,0.1703755,0.2499361,20.235797169999998,3612.842117333333,90.32105293333333,26.53061016666667,58.171421533331696,0.0001451086871297577,0.0009494991410866807,0.00018874533457972136,0.007994106535724459,0.9999999999999917,1.684331412065869,0.03368662824131738,146.84166666666667,0,18000,10838526352,20.554651,379,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":379}",390,3,,,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,near_singular,40,3,"[37,36,37]",36.666666666666664,0.9166666666666666,"[37,35,37]",0.9083333333333334,0.9781111111111112,0.978,0.169715,0.45803619999999795,20.23859552,4207.977172,105.19942929999999,26.369674,420.182040549998,0.0005583582941285957,0.0009888770021752493,0.001735949524594272,0.008518439097702335,0.9999999999999993,6.847972433393384,0.13695944866786766,146.7,0,18000,12623931516,56.259744,396,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":390,""internal_nonconvergence+position_tolerance"":4}",184,69,,,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,smooth,40,3,"[40,40,40]",40.0,1.0,"[39,39,40]",0.9833333333333334,1.0,0.9998888888888888,0.1698635,0.21263629999999997,0.33860287999999955,1099.3923823333332,27.484809558333332,26.47385716666667,28.58211521666662,0.00014846521149194906,0.0009472585308336787,0.00018470335751338436,0.00587787274311778,0.9999999999999999,1.1448927127248079,0.02289785425449616,150.0,0,18000,3298177147,58.759478,2,{},0,12,,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,high_curvature,40,3,"[36,36,36]",36.0,0.9,"[36,34,36]",0.8833333333333334,0.9566111111111112,0.9565,0.1702645,0.37105609999999994,5.2227274900000005,2422.320883,60.558022075,26.52796116666667,306.6238040666666,0.0004704565995219306,0.0009401126878209652,0.000528209072244175,0.0073707705154084195,0.9999999999999992,6.877051186887453,0.13754102373774907,143.49166666666667,0,18000,7266962649,60.284977,2,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":781}",0,23,,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,joint_limit_return,40,3,"[38,38,38]",38.0,0.95,"[38,38,38]",0.95,0.9789444444444444,0.9789444444444444,0.170119,0.2524560999999999,5.2156462,1710.9921359999998,42.774803399999996,26.511983666666666,37.99552188333293,0.00014453812088881284,0.0009025944783998539,0.00018836996166379176,0.007529571958926991,0.9999999999999968,1.4949635405935224,0.029899270811870448,146.84166666666667,0,18000,5132976408,5.430445,0,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":379}",382,5,,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,near_singular,40,3,"[35,34,36]",35.0,0.875,"[35,34,36]",0.875,0.9730000000000001,0.9730000000000001,0.16957,0.904886849999999,5.21051821,2342.928742,58.57321855,26.3827325,217.3443552666664,0.0005614407921847497,0.0009698219331222334,0.001792451489391631,0.008111082963661965,0.9999999999999999,6.608884620286017,0.13217769240572036,143.6,0,18000,7028786226,5.68984,0,"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":479,""internal_nonconvergence+position_tolerance"":5,""internal_nonconvergence+orientation_tolerance"":2}",185,61,,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,smooth,40,3,"[40,40,40]",40.0,1.0,"[40,40,40]",1.0,1.0,1.0,0.1698195,0.2129293999999998,0.35433720999999996,1063.4075473333332,26.58518868333333,26.504816166666664,27.275151233333332,0.00014846521149194906,0.0008534498376553974,0.00018517370915487112,0.00622992236426741,0.9999999999999999,1.2243653228894247,0.0244873064577885,150.0,0,18000,3190222642,2.542419,0,{},0,12,,,,,,
ur5e,pink_qp,Pink QP-IK,high_curvature,40,3,"[31,31,31]",31.0,0.775,"[31,31,31]",0.775,0.9276666666666666,0.9276666666666666,0.63412,0.7682179499999999,0.9236136099999993,3917.0093023333334,97.92523255833333,96.51971900000001,109.53743888333332,0.00029071575302732185,0.0009440275537107843,0.0006365257438549646,0.007844157262846534,0.9999999999999998,14.538888683537289,0.2907777736707457,131.0,0,18000,11751027907,1.319242,0,"{""position_tolerance"":57,""internal_nonconvergence+position_tolerance+orientation_tolerance"":15,""position_tolerance+orientation_tolerance"":1215,""internal_nonconvergence+velocity_limit"":12,""internal_nonconvergence+position_tolerance+velocity_limit"":3}",0,243,,,,,,
ur5e,pink_qp,Pink QP-IK,joint_limit_return,40,3,"[39,39,39]",39.0,0.975,"[39,39,39]",0.975,0.9763333333333333,0.9763333333333333,0.6332835,0.7357140999999999,0.8841968899999987,3876.4070076666667,96.91017519166667,96.38116683333334,98.76414904999997,7.390193553406478e-05,0.0009772775289274118,0.00015337445940035384,0.00610923496689088,1.0,9.825130684225469,0.19650261368450944,146.45,0,18000,11629221023,1.123441,0,"{""position_tolerance+orientation_tolerance"":426}",15,114,,,,,,
ur5e,pink_qp,Pink QP-IK,near_singular,40,3,"[34,34,34]",34.0,0.85,"[34,34,33]",0.8416666666666666,0.9905,0.9904444444444443,0.6323925,0.7088637,0.9188385199999995,3881.011139,97.02527847500001,96.38937899999999,99.99479708333332,3.237199974041451e-05,0.0009440279796695439,6.515478335610095e-05,0.005492422697159057,0.9999999999999998,12.864642026832284,0.25729284053664564,140.6,0,18000,11643033417,54.491368,1,"{""position_tolerance"":15,""position_tolerance+orientation_tolerance"":135,""internal_nonconvergence+velocity_limit"":21}",0,177,,,,,,
