case,uid,source_method,source_row,frame,dt,previous_q,target_position,target_rotation,q,supplied_success,accepted,finite,joint_limit_ok,velocity_ok,position_error_m,orientation_error_rad,max_joint_step_rad,velocity_utilization,reasons,status
panda_trajectory14_pink_r1_f122,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,pink_qp,0,122,0.02,"[-2.580960908165891, 0.045225535505242616, 2.8972999999999995, -0.5738462902928353, -2.8972999999999995, 2.0299278701804253, -1.7646994928786397]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.5786250251954606, 0.03536201483861667, 2.8972999999969056, -0.5578131256973855, -2.8972999999998756, 2.032871619631483, -1.7683276866865352]",False,False,True,True,True,0.0013154863461679524,0.004232289152061843,0.01603316459544979,0.3677331329231603,"[""position_tolerance""]",not_found_no_infeasibility_claim
panda_trajectory14_tar_r0_f115,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,tar_corrected,1,115,0.02,"[-2.1438080350350557, 0.05329899431860638, 2.45049230073697, -0.5585506551483025, -2.897299999758884, 2.0671755660802966, -1.752459466423062]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]","[-2.1871985078895912, 0.0481695084384555, 2.4916838357276787, -0.5563868637214563, -2.897299999999973, 2.0596797491894314, -1.7542426770053827]",True,True,True,True,True,0.000971728192480368,0.0020607230024535226,0.04339047285453557,0.9951943315260451,[],verified_witness
panda_trajectory14_trac_r1_f115,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trac_task_5ms,2,115,0.02,"[-2.271496215287015, 0.05635762476489381, 2.5662068857508156, -0.5700076469642632, -2.896034749633398, 2.0642965613790434, -1.7430298825193924]","[0.20861375575358249,0.026903607247617728,1.1614330491751486]","[[0.34229102437705455,0.8425791812818971,-0.41580906423650105],[-0.9074290555980031,0.18164137962248073,-0.3789180891239665],[-0.24374036121952192,0.507017487350456,0.8267550446374108]]","[-2.2682479923637864, 0.05288123094978557, 2.5696405571637535, -0.5669417218752373, -2.896180730354414, 2.057553666952619, -1.750875043015438]",True,True,True,True,True,0.0008819760778073579,0.0008506693055060047,0.007845160496045667,0.15000306875804334,[],verified_witness
panda_trajectory26_tar_r1_f72,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,tar_corrected,3,72,0.02,"[-1.1639954548486624, 0.5353856535970403, 0.24494794116457477, -0.9575487106914551, 2.8909076134262737, 2.7952076472041076, 0.5137465510857151]","[0.37719423030748733,-0.6378831642217682,0.6422111927532251]","[[0.5275670504201451,0.6604035474662989,0.534359580998522],[-0.10416908689423132,0.6745619459455053,-0.7308317059472961],[-0.8431024900014291,0.3298989778343376,0.424670290669419]]","[-1.175681183536211, 0.5375245515796138, 0.23661092156015243, -0.9627457418925234, 2.897119996840643, 2.7872855928516715, 0.5062931583365584]",True,True,True,True,True,0.00034062803226587594,0.00687536304923212,0.011685728687548691,0.26802130017313514,[],verified_witness
panda_trajectory12_tar_r0_f88,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,tar_corrected,4,88,0.02,"[1.0553777074897555, -0.06954642181667957, 1.250238389752356, -0.27990444430191647, 1.2944146799097758, 2.887950844810127, 1.9241793077097602]","[-0.07726759269901129,0.07668869761084363,1.1698773132063292]","[[-0.6556085626488005,-0.6131555357539996,-0.44070137457897657],[0.675307884141976,-0.7372338854612545,0.021105917260096793],[-0.3378411967141688,-0.28377189272711234,0.8974056154832164]]","[1.0792494535355617, -0.07204313012978898, 1.2677996517956351, -0.2800735336665541, 1.2603465885433878, 2.8911778087174707, 1.9069748721778963]",True,True,True,True,True,0.0009221414313367923,0.004891122793159931,0.034068091366388,0.6513975404663097,[],verified_witness
