robot,training_seed,feasible_success_difference_pp,feasible_fev_reduction,feasible_p95_reduction,rejectable_fev_reduction,rejectable_p95_reduction,trajectory_completion_difference_pp
panda,17,0.0,0.2850462866554342,-0.3179933042738454,1.0,0.9904619847231028,0.0
panda,29,0.0,0.2804212759509017,-0.38107780598393615,1.0,0.9905988406756858,0.0
panda,43,0.0,0.2807507071324823,-0.3718110709250504,0.9995982572501217,0.9889820317701229,0.0
ur5e,17,0.0,0.33536954765751215,-0.5037893755301774,1.0,0.978762111227429,2.500000000000002
ur5e,29,0.0,0.33771804403774663,-0.6567532697549541,1.0,0.977450135554096,0.0
ur5e,43,0.0,0.3392258868293012,-0.6479066610682647,1.0,0.9771505544619533,0.0
