robot,method,method_label,feasible_success,hard_valid_success,feasible_mean_fev,feasible_p95_ms,rejectable_rejection,rejectable_mean_fev,rejectable_p95_ms,trajectory_completion
panda,dls_previous_1x50,Previous-state DLS,0.9966666666666667,1.0,3.4281,1.2009460862221506,1.0,50.78216666666667,12.13001856522169,1.0
panda,trf_previous,Previous-state TRF,0.8465,0.571,77.37046666666666,86.99650307874738,1.0,70.3535,86.1946415786709,0.85
panda,learned_1x25,Learned seed + fixed DLS,0.9925333333333334,0.978,3.3930333333333333,2.2191007306294823,1.0,48.358333333333334,10.76189503655769,1.0
panda,threshold_guard_cascade,Cartesian-step guard,0.9907333333333334,0.9541666666666666,5.1457999999999995,3.44514227763284,1.0,0.0,1.3588646329784144,1.0
panda,fixed_robust_cascade,Fixed robust cascade,0.9999,1.0,5.264633333333333,3.4472705689646923,1.0,393.67966666666666,354.314754648658,1.0
panda,proposed_v2,CG-HIK,0.9999,1.0,3.7796,4.6790136781055445,1.0,0.05266666666666667,3.5388855433363156,1.0
ur5e,dls_previous_1x50,Previous-state DLS,0.9985333333333334,1.0,3.6171333333333333,1.0924909157135214,1.0,57.0645,11.936358587505916,0.95
ur5e,trf_previous,Previous-state TRF,0.9981,0.992,5.190733333333333,4.717454387961576,1.0,29.4235,53.68580181384457,1.0
ur5e,learned_1x25,Learned seed + fixed DLS,0.9982,0.997,3.5909333333333335,2.03977960239475,1.0,52.74433333333334,10.224981028780652,0.975
ur5e,threshold_guard_cascade,Cartesian-step guard,0.9912666666666666,0.9588333333333333,5.827166666666667,3.1559412149363197,1.0,0.0,1.256104541729049,0.9666666666666667
ur5e,fixed_robust_cascade,Fixed robust cascade,1.0,1.0,5.942333333333333,3.1532264523169338,1.0,218.183,158.3051725635111,0.9666666666666667
ur5e,proposed_v2,CG-HIK,1.0,1.0,3.9371666666666667,5.054927245752571,1.0,0.0,3.516385091158251,0.975
