run_id,site_id,uid,family,candidate_id,repeat,complete,accepted_frames,prefix_frames,first_failure_frame,first_failure_kind,total_latency_ns
state_00_candidate_05_r1,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_05,1,True,30,30,,,19914007
state_00_candidate_04_r1,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_04,1,True,30,30,,,16224756
state_00_candidate_05_r2,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_05,2,True,30,30,,,16336805
state_00_candidate_00_r2,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_00,2,True,30,30,,,16408102
state_00_candidate_02_r2,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_02,2,True,30,30,,,16361447
state_00_candidate_01_r4,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_01,4,True,30,30,,,19916789
state_00_candidate_01_r1,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_01,1,True,30,30,,,16831800
state_00_candidate_02_r1,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_02,1,True,30,30,,,17458861
state_00_candidate_00_r3,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_00,3,True,30,30,,,16646586
state_00_candidate_02_r0,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_02,0,True,30,30,,,16895020
state_00_candidate_05_r3,state_00,8f8f6133aa3add25b4508deb9f69a43d5dc1b700ed0d6c095f75caa9d48b9f72,smooth,candidate_05,3,True,30,30,,,16276501
