robot,method,phase,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,calls,all_call_returned_within_20ms
ur5e,two_step_predictive,backup_ns,0.5410248806111111,0.2137925,5.2185551,5.246662209999999,58.847787,72000,
ur5e,two_step_predictive,optimization_ns,2.9055193386805556,3.072387,3.303984,3.4627514999999995,53.820249,72000,
ur5e,two_step_predictive,prediction_ns,0.12794682893055556,0.12646,0.1440041,0.15808002999999998,0.292907,72000,
ur5e,two_step_predictive,total_latency_ns,3.672549064138889,3.51837,6.150595900000001,6.21291576,59.454991,72000,0.9998888888888889
ur5e,two_step_predictive,verification_ns,0.09312475309722222,0.090844,0.114123,0.11848204999999998,1.032555,72000,
ur5e,two_step_sigma,backup_ns,0.8156611103333333,0.210246,5.225667,5.2584702299999995,5.649021,72000,
ur5e,two_step_sigma,optimization_ns,4.454256817597223,4.8708585,5.27931375,5.364121959999999,59.083696,72000,
ur5e,two_step_sigma,prediction_ns,0.12816289366666667,0.1241475,0.1479321,0.16118409999999994,0.362091,72000,
ur5e,two_step_sigma,total_latency_ns,5.499712014791666,5.38399,6.38279025,6.43743105,59.506492,72000,0.9998611111111111
ur5e,two_step_sigma,verification_ns,0.09662883533333333,0.09607,0.117111,0.12082106999999996,0.216028,72000,
