run_id,site_id,uid,family,method,repeat,frames,initial_q,complete,accepted_frames,all_frames_within_20ms,complete_within_20ms,first_failure_frame,first_failure_kind,total_latency_ns
trajectory_29_dls_task_r0,trajectory_29,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,dls_task,0,150,"[-1.2650513767980658, -0.43971291762964715, -1.3728146429403614, -1.7544168184300677, 0.3698512018232597, 3.4505000000000003, 0.05150820077903298]",True,150,True,True,,,90587882
trajectory_17_trac_task_5ms_r0,trajectory_17,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,near_singular,trac_task_5ms,0,150,"[2.1369191868103536, 0.25626421705746927, 1.7066903334546386, -0.2229465464073862, 0.9240499189826179, 0.43592582302604443, -0.3475443071969706]",False,119,True,False,119,internal_nonconvergence+position_tolerance+orientation_tolerance,197144828
trajectory_22_trac_task_20ms_r1,trajectory_22,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,trac_task_20ms,1,150,"[2.5953000000000004, -0.3393281371969309, 0.019766507731749983, -1.9773861498909304, -1.5773208606503901, 2.5071508027378084, -1.2995698575115116]",True,150,True,True,,,34310391
trajectory_10_trac_strict_20ms_r1,trajectory_10,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,trac_strict_20ms,1,150,"[-1.011132834258865, 1.2328036941230358, 1.0828296380174245, -0.1764294550010968, 1.461251904355215, 1.5780051923310203, -2.420315024677472]",False,70,False,False,70,internal_nonconvergence+position_tolerance+orientation_tolerance,1653304732
trajectory_05_trac_task_20ms_r2,trajectory_05,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_task_20ms,2,150,"[-0.9892198445653801, 0.2872736026545637, 1.0138596631306713, -1.6464611733727983, 0.3087200674841857, 2.593075401037617, 1.3721903607232058]",True,150,True,True,,,33813268
trajectory_07_trac_strict_5ms_r2,trajectory_07,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,smooth,trac_strict_5ms,2,150,"[-1.5394992506035106, 0.6108787929871341, 0.9928113030330141, -2.067733972795519, -0.1098307781822299, 1.1059518538522677, 1.6698609544803817]",True,150,True,True,,,33730551
trajectory_08_dls_task_r0,trajectory_08,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,dls_task,0,150,"[-1.462696734239917, -0.2789995870774813, 0.4845991838372743, -1.2110958349056624, -0.03164688393548826, 2.250389768298455, 1.3413988619998096]",True,150,True,True,,,94619864
trajectory_05_trac_task_5ms_r1,trajectory_05,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trac_task_5ms,1,150,"[-0.9892198445653801, 0.2872736026545637, 1.0138596631306713, -1.6464611733727983, 0.3087200674841857, 2.593075401037617, 1.3721903607232058]",True,150,True,True,,,33058512
trajectory_10_trac_task_20ms_r1,trajectory_10,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,near_singular,trac_task_20ms,1,150,"[-1.011132834258865, 1.2328036941230358, 1.0828296380174245, -0.1764294550010968, 1.461251904355215, 1.5780051923310203, -2.420315024677472]",True,150,True,True,,,33041865
trajectory_16_trac_task_5ms_r0,trajectory_16,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,trac_task_5ms,0,150,"[-0.8330069728077155, 0.9059204298240433, -1.2848682345049904, -0.942479272733609, 1.2252181668764945, 3.752499, -2.3388414437479788]",True,150,True,True,,,30535938
trajectory_29_trac_task_20ms_r0,trajectory_29,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,trac_task_20ms,0,150,"[-1.2650513767980658, -0.43971291762964715, -1.3728146429403614, -1.7544168184300677, 0.3698512018232597, 3.4505000000000003, 0.05150820077903298]",True,150,True,True,,,29852561
trajectory_12_trac_task_5ms_r0,trajectory_12,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,near_singular,trac_task_5ms,0,150,"[0.8822446021518249, 0.32307848886988044, 1.1099170111061665, -0.5311475740193101, 1.6436929333293564, 3.0234363006954905, 2.1297500197666706]",False,94,True,False,94,internal_nonconvergence+position_tolerance+orientation_tolerance,325888602
trajectory_03_dls_task_r0,trajectory_03,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,dls_task,0,150,"[0.08800023792878346, -0.7243631304519502, -1.0644025585873105, -1.6912192273227877, 0.5323392897106182, 1.5759703045285698, 0.9688872373949686]",True,150,True,True,,,93273054
trajectory_38_dls_task_r0,trajectory_38,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,high_curvature,dls_task,0,150,"[-0.536127060911361, -0.08141725730239946, 0.043470427836753756, -0.9476503459108423, 0.4437330072682833, 1.5864989045962217, 0.01054171868407297]",True,150,True,True,,,98757407
trajectory_14_trac_strict_5ms_r2,trajectory_14,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,near_singular,trac_strict_5ms,2,150,"[-2.327317529874332, 0.28843825003694556, 2.0855301983360475, -0.7889771403739102, -2.6817228062679397, 2.5559366733107627, -1.2744275290899756]",False,113,True,False,113,internal_nonconvergence+position_tolerance,223539102
trajectory_22_dls_strict_r0,trajectory_22,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,joint_limit_return,dls_strict,0,150,"[2.5953000000000004, -0.3393281371969309, 0.019766507731749983, -1.9773861498909304, -1.5773208606503901, 2.5071508027378084, -1.2995698575115116]",True,150,True,True,,,186956837
trajectory_16_trac_strict_20ms_r2,trajectory_16,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,near_singular,trac_strict_20ms,2,150,"[-0.8330069728077155, 0.9059204298240433, -1.2848682345049904, -0.942479272733609, 1.2252181668764945, 3.752499, -2.3388414437479788]",True,150,True,True,,,32370095
