robot,run_id,uid,family,method,repeat,complete,complete_within_20ms,total_latency_ns,source
panda,trajectory_01_trac_strict_20ms_r2,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_strict_20ms,2,True,True,37354950,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_strict_20ms_r2.jsonl.gz
panda,trajectory_01_trac_strict_5ms_r0,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_strict_5ms,0,True,True,33201121,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_strict_5ms_r0.jsonl.gz
panda,trajectory_01_trac_strict_5ms_r1,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_strict_5ms,1,True,True,36067328,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_strict_5ms_r1.jsonl.gz
panda,trajectory_01_trac_strict_5ms_r2,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_strict_5ms,2,True,True,31284124,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_strict_5ms_r2.jsonl.gz
panda,trajectory_01_trac_task_20ms_r0,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_task_20ms,0,True,True,32021317,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_task_20ms_r0.jsonl.gz
panda,trajectory_01_trac_task_20ms_r1,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_task_20ms,1,True,True,33821131,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_task_20ms_r1.jsonl.gz
panda,trajectory_01_trac_task_20ms_r2,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_task_20ms,2,True,True,35941414,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_task_20ms_r2.jsonl.gz
panda,trajectory_01_trac_task_5ms_r0,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_task_5ms,0,True,True,38356389,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_task_5ms_r0.jsonl.gz
panda,trajectory_01_trac_task_5ms_r1,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_task_5ms,1,True,True,26312233,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_task_5ms_r1.jsonl.gz
panda,trajectory_01_trac_task_5ms_r2,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,smooth,trac_task_5ms,2,True,True,35894151,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_01_trac_task_5ms_r2.jsonl.gz
panda,trajectory_02_dls_strict_r0,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,dls_strict,0,True,True,129945344,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_dls_strict_r0.jsonl.gz
panda,trajectory_02_dls_task_r0,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,dls_task,0,True,True,80659914,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_dls_task_r0.jsonl.gz
panda,trajectory_02_trac_strict_20ms_r0,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_strict_20ms,0,True,True,36414472,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_strict_20ms_r0.jsonl.gz
panda,trajectory_02_trac_strict_20ms_r1,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_strict_20ms,1,True,True,37874483,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_strict_20ms_r1.jsonl.gz
panda,trajectory_02_trac_strict_20ms_r2,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_strict_20ms,2,True,True,35234249,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_strict_20ms_r2.jsonl.gz
panda,trajectory_02_trac_strict_5ms_r0,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_strict_5ms,0,True,True,35032115,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_strict_5ms_r0.jsonl.gz
panda,trajectory_02_trac_strict_5ms_r1,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_strict_5ms,1,True,True,34712040,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_strict_5ms_r1.jsonl.gz
panda,trajectory_02_trac_strict_5ms_r2,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_strict_5ms,2,True,True,33284164,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_strict_5ms_r2.jsonl.gz
panda,trajectory_02_trac_task_20ms_r0,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_task_20ms,0,True,True,36010978,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_task_20ms_r0.jsonl.gz
panda,trajectory_02_trac_task_20ms_r1,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_task_20ms,1,True,True,32793726,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_task_20ms_r1.jsonl.gz
panda,trajectory_02_trac_task_20ms_r2,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_task_20ms,2,True,True,31551718,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_task_20ms_r2.jsonl.gz
panda,trajectory_02_trac_task_5ms_r0,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_task_5ms,0,True,True,33008502,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_task_5ms_r0.jsonl.gz
panda,trajectory_02_trac_task_5ms_r1,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_task_5ms,1,True,True,30824745,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_task_5ms_r1.jsonl.gz
panda,trajectory_02_trac_task_5ms_r2,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,smooth,trac_task_5ms,2,True,True,29951734,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_02_trac_task_5ms_r2.jsonl.gz
panda,trajectory_03_dls_strict_r0,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,dls_strict,0,True,True,146020475,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_dls_strict_r0.jsonl.gz
panda,trajectory_03_dls_task_r0,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,dls_task,0,True,True,93273054,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_dls_task_r0.jsonl.gz
panda,trajectory_03_trac_strict_20ms_r0,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_strict_20ms,0,True,True,33199824,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_strict_20ms_r0.jsonl.gz
panda,trajectory_03_trac_strict_20ms_r1,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_strict_20ms,1,True,True,35723520,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_strict_20ms_r1.jsonl.gz
panda,trajectory_03_trac_strict_20ms_r2,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_strict_20ms,2,True,True,35320316,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_strict_20ms_r2.jsonl.gz
panda,trajectory_03_trac_strict_5ms_r0,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trac_strict_5ms,0,True,True,27480346,outputs/continuation_mechanism_study/tolerance_matched_solver_comparison/online_runs/trajectory_03_trac_strict_5ms_r0.jsonl.gz
