robot,method,uid,family,success,time
panda,trac_task_20ms,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,1.0,33092078.666666668
panda,trac_task_20ms,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,1.0,31539787.333333332
panda,trac_task_20ms,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,high_curvature,1.0,31914607.0
panda,trac_task_20ms,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,high_curvature,1.0,33216879.333333332
panda,trac_task_20ms,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,high_curvature,1.0,35242121.666666664
panda,trac_task_20ms,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,high_curvature,1.0,31527121.333333332
panda,trac_task_20ms,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,high_curvature,1.0,33121298.333333332
panda,trac_task_20ms,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,1.0,32689617.666666668
panda,trac_task_20ms,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,1.0,32651303.666666668
panda,trac_task_20ms,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,high_curvature,1.0,28669102.333333332
