robot,scale,method,witness_feasible,family,calls,units,verified_success,internal_success,accepted_within_20ms,returned_within_5ms,returned_within_20ms,total_latency_ns,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_max_ms,internal_failure__task_reject,internal_failure__task_accept,internal_success__task_reject,internal_success__task_accept,accepted_position,accepted_orientation,all_returned_position,all_returned_orientation,joint_rejections,velocity_rejections,native_failure_task_accept,missed_calls,misses_per_sweep,any_repeat_missed_uids,all_repeats_missed_uids,false_acceptances
ur5e,1.0,dls_strict,True,local,1000,1000,1.0,0.914,1.0,0.893,1.0,1746635722,0.900405,7.974136649999999,8.31628526,1.746635722,16.584781,0,86,0,914,"{'p50': 6.593254339739956e-08, 'p95': 2.2664441586812074e-05, 'p99': 8.190734564210767e-05, 'mean': 4.327661361123834e-06, 'max': 0.00022365168405373358}","{'p50': 6.437412577067951e-08, 'p95': 2.2527245095308188e-05, 'p99': 0.00010136675910569815, 'mean': 4.929952766473211e-06, 'max': 0.00025758841535129237}","{'p50': 6.593254339739956e-08, 'p95': 2.2664441586812074e-05, 'p99': 8.190734564210767e-05, 'mean': 4.327661361123834e-06, 'max': 0.00022365168405373358}","{'p50': 6.437412577067951e-08, 'p95': 2.2527245095308188e-05, 'p99': 0.00010136675910569815, 'mean': 4.929952766473211e-06, 'max': 0.00025758841535129237}",0,0,86,0,0.0,0,0,0
ur5e,1.0,dls_strict,True,near_limit,500,500,1.0,0.744,0.998,0.706,0.998,1575558509,0.9499435,8.2133293,8.43131848,3.151117018,22.147569,0,128,0,372,"{'p50': 7.816502351303656e-07, 'p95': 6.789231292028968e-05, 'p99': 0.00014276011195296618, 'mean': 1.2835347997969262e-05, 'max': 0.0006873004895698624}","{'p50': 1.261427019014289e-06, 'p95': 8.98135581410585e-05, 'p99': 0.00021549806449946914, 'mean': 1.935742204023601e-05, 'max': 0.0015133150542956954}","{'p50': 7.816502351303656e-07, 'p95': 6.789231292028968e-05, 'p99': 0.00014276011195296618, 'mean': 1.2835347997969262e-05, 'max': 0.0006873004895698624}","{'p50': 1.261427019014289e-06, 'p95': 8.98135581410585e-05, 'p99': 0.00021549806449946914, 'mean': 1.935742204023601e-05, 'max': 0.0015133150542956954}",0,0,128,0,0.0,0,0,0
ur5e,1.0,dls_strict,True,near_singular,500,500,1.0,0.492,1.0,0.474,1.0,2472789329,5.7057705,8.256329449999999,9.14103271,4.9455786580000005,12.096488,0,254,0,246,"{'p50': 9.338054156375725e-06, 'p95': 6.69229541358603e-05, 'p99': 9.53272572737408e-05, 'mean': 1.8381755840466806e-05, 'max': 0.00017586046821506144}","{'p50': 8.2575726011755e-06, 'p95': 7.133236538571265e-05, 'p99': 0.00019070594899886568, 'mean': 2.0354396387895786e-05, 'max': 0.00031973586170127156}","{'p50': 9.338054156375725e-06, 'p95': 6.69229541358603e-05, 'p99': 9.53272572737408e-05, 'mean': 1.8381755840466806e-05, 'max': 0.00017586046821506144}","{'p50': 8.2575726011755e-06, 'p95': 7.133236538571265e-05, 'p99': 0.00019070594899886568, 'mean': 2.0354396387895786e-05, 'max': 0.00031973586170127156}",0,0,254,0,0.0,0,0,0
ur5e,1.0,trac_task_5ms,True,hard_feasible,1500,500,1.0,1.0,1.0,1.0,1.0,320439804,0.1966485,0.31818745,0.38461778999999996,0.21362653599999998,0.525614,0,0,0,1500,"{'p50': 1.2375870575377713e-05, 'p95': 0.0005219277654182441, 'p99': 0.0007018953804282439, 'mean': 7.306598305333813e-05, 'max': 0.0009641302378782333}","{'p50': 1.456849745223249e-05, 'p95': 0.0018334430878899212, 'p99': 0.003716724623881391, 'mean': 0.00024501032414635476, 'max': 0.007400378836654432}","{'p50': 1.2375870575377713e-05, 'p95': 0.0005219277654182441, 'p99': 0.0007018953804282439, 'mean': 7.306598305333813e-05, 'max': 0.0009641302378782333}","{'p50': 1.456849745223249e-05, 'p95': 0.0018334430878899212, 'p99': 0.003716724623881391, 'mean': 0.00024501032414635476, 'max': 0.007400378836654432}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_task_5ms,True,local,3000,1000,1.0,1.0,1.0,1.0,1.0,609806333,0.187723,0.30624885,0.3841943299999998,0.20326877766666668,0.542444,0,0,0,3000,"{'p50': 7.729184831564447e-05, 'p95': 0.00047824901015183053, 'p99': 0.0006781330468384251, 'mean': 0.0001374205347706252, 'max': 0.000883231153835955}","{'p50': 0.00012546670619936946, 'p95': 0.0008322752366491485, 'p99': 0.003110653879879893, 'mean': 0.0002568799885916273, 'max': 0.006495593125620906}","{'p50': 7.729184831564447e-05, 'p95': 0.00047824901015183053, 'p99': 0.0006781330468384251, 'mean': 0.0001374205347706252, 'max': 0.000883231153835955}","{'p50': 0.00012546670619936946, 'p95': 0.0008322752366491485, 'p99': 0.003110653879879893, 'mean': 0.0002568799885916273, 'max': 0.006495593125620906}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_task_5ms,True,near_limit,1500,500,1.0,1.0,1.0,1.0,1.0,311690186,0.1881085,0.3025518,0.4453019,0.20779345733333332,2.820947,0,0,0,1500,"{'p50': 8.281499681866221e-05, 'p95': 0.0005122559840674253, 'p99': 0.0006836424765945411, 'mean': 0.00014755152806617973, 'max': 0.0009409208830599415}","{'p50': 0.00011647082731837632, 'p95': 0.0008999734204915598, 'p99': 0.004501984095164458, 'mean': 0.0003033352390667862, 'max': 0.00807682172902174}","{'p50': 8.281499681866221e-05, 'p95': 0.0005122559840674253, 'p99': 0.0006836424765945411, 'mean': 0.00014755152806617973, 'max': 0.0009409208830599415}","{'p50': 0.00011647082731837632, 'p95': 0.0008999734204915598, 'p99': 0.004501984095164458, 'mean': 0.0003033352390667862, 'max': 0.00807682172902174}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_task_5ms,True,near_singular,1500,500,1.0,1.0,1.0,1.0,1.0,327609458,0.1961505,0.32205425,0.43960981000000005,0.21840630533333336,3.249463,0,0,0,1500,"{'p50': 0.00011698548526493669, 'p95': 0.0005237117984164425, 'p99': 0.0007339174408151514, 'mean': 0.00017104303911766864, 'max': 0.0008593416709352049}","{'p50': 0.00010150968173082761, 'p95': 0.003372368864343591, 'p99': 0.005452743715742719, 'mean': 0.00053336102692434, 'max': 0.007780150611846778}","{'p50': 0.00011698548526493669, 'p95': 0.0005237117984164425, 'p99': 0.0007339174408151514, 'mean': 0.00017104303911766864, 'max': 0.0008593416709352049}","{'p50': 0.00010150968173082761, 'p95': 0.003372368864343591, 'p99': 0.005452743715742719, 'mean': 0.00053336102692434, 'max': 0.007780150611846778}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_strict_5ms,True,hard_feasible,1500,500,1.0,1.0,1.0,1.0,1.0,328393725,0.2035415,0.3206327,0.38379011,0.21892915000000002,0.537236,0,0,0,1500,"{'p50': 2.2979476001188321e-07, 'p95': 8.183606425485292e-06, 'p99': 1.2049730924057674e-05, 'mean': 1.9075865072283707e-06, 'max': 1.307275391320438e-05}","{'p50': 1.1949518683294106e-07, 'p95': 9.564103359903307e-06, 'p99': 1.1061916874811063e-05, 'mean': 1.979582464010618e-06, 'max': 1.2658810238970426e-05}","{'p50': 2.2979476001188321e-07, 'p95': 8.183606425485292e-06, 'p99': 1.2049730924057674e-05, 'mean': 1.9075865072283707e-06, 'max': 1.307275391320438e-05}","{'p50': 1.1949518683294106e-07, 'p95': 9.564103359903307e-06, 'p99': 1.1061916874811063e-05, 'mean': 1.979582464010618e-06, 'max': 1.2658810238970426e-05}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_strict_5ms,True,local,3000,1000,1.0,1.0,1.0,1.0,1.0,634239441,0.19630150000000002,0.31254639999999995,0.3841062999999986,0.21141314699999997,0.708373,0,0,0,3000,"{'p50': 3.769587695563865e-08, 'p95': 3.9513463990943265e-06, 'p99': 8.076159689007562e-06, 'mean': 6.13380606860338e-07, 'max': 1.4065823340832071e-05}","{'p50': 2.718228245940643e-08, 'p95': 3.1609643797812604e-06, 'p99': 8.173717532949342e-06, 'mean': 4.948063698875158e-07, 'max': 1.1787042242416217e-05}","{'p50': 3.769587695563865e-08, 'p95': 3.9513463990943265e-06, 'p99': 8.076159689007562e-06, 'mean': 6.13380606860338e-07, 'max': 1.4065823340832071e-05}","{'p50': 2.718228245940643e-08, 'p95': 3.1609643797812604e-06, 'p99': 8.173717532949342e-06, 'mean': 4.948063698875158e-07, 'max': 1.1787042242416217e-05}",0,0,0,0,0.0,0,0,0
ur5e,1.0,trac_strict_5ms,True,near_limit,1500,500,1.0,1.0,1.0,1.0,1.0,318289902,0.1967285,0.30937675,0.3998752599999999,0.212193268,1.120675,0,0,0,1500,"{'p50': 6.649464072329589e-08, 'p95': 6.85138126338313e-06, 'p99': 1.1399265435684638e-05, 'mean': 9.59442131534277e-07, 'max': 1.235122591295707e-05}","{'p50': 4.189937898147094e-08, 'p95': 3.3658358355072013e-06, 'p99': 9.485413053441148e-06, 'mean': 6.178665689671485e-07, 'max': 1.2340072380932172e-05}","{'p50': 6.649464072329589e-08, 'p95': 6.85138126338313e-06, 'p99': 1.1399265435684638e-05, 'mean': 9.59442131534277e-07, 'max': 1.235122591295707e-05}","{'p50': 4.189937898147094e-08, 'p95': 3.3658358355072013e-06, 'p99': 9.485413053441148e-06, 'mean': 6.178665689671485e-07, 'max': 1.2340072380932172e-05}",0,0,0,0,0.0,0,0,0
