robot,scale,method,witness_feasible,uid,family,success,time
panda,1.0,trac_position_5ms,True,bebd985833dcf88429eef89d42b848ecba16c64e94293f7df43185d1cfe2860d,hard_feasible,1.0,199485.0
panda,1.0,trac_position_5ms,True,ab93df93e9353ce14b727bac329e955fb63ae5eaf216970f627e72dce3579016,near_singular,1.0,212460.0
panda,1.0,trac_position_5ms,True,1eeccc986a127997401a00865ce8686a17c89f2af3676a761b8ecc4e6f2ffdd5,hard_feasible,1.0,206521.66666666666
panda,1.0,trac_position_5ms,True,1c364867b6897f0369f916baf489c4639af72248de9ae577b4be14b7f9d09979,near_limit,1.0,217201.33333333334
panda,1.0,trac_position_5ms,True,b627191601b92116b37d33a8ade55383167c2727ace1da9aeeeb1daef1fc8680,near_singular,1.0,207134.66666666666
panda,1.0,trac_position_5ms,True,c4f7e8acafad92165c1666000fde42ffa25c852578f62b13e5be61d1eab0e8aa,local,1.0,197648.33333333334
panda,1.0,trac_position_5ms,True,ac6001f414383d634bc049a11e55cbeedb0bf66db32cfc6dc11a53c3d5d2cfbf,local,1.0,202971.66666666666
panda,1.0,trac_position_5ms,True,82867ae9684b4146b05803cb85adf578ba407cbdb56c5e7b2d6f50ccca9df5b7,near_singular,1.0,220886.66666666666
panda,1.0,trac_position_5ms,True,ef9c6d009550e870ca43232d5a2e9623744dbc563bee3fc7495b5e4c761b92ac,near_limit,1.0,235360.66666666666
panda,1.0,trac_position_5ms,True,4e8914d2764b8a2be55ab54463faf70f63862332db8af05af8d0cf1afa9c2ba1,local,1.0,197342.66666666666
panda,1.0,trac_position_5ms,True,a0fa52989293b85e0440b29488ca809fe01fc9ef86aa36840b27f17d97736816,local,1.0,194397.33333333334
panda,1.0,trac_position_5ms,True,fafbe2a90e12d328cb3204f536108c235ed096133f2846f542932b1de9bc29ae,near_limit,1.0,203695.66666666666
panda,1.0,trac_position_5ms,True,49883f69109b41bc2fbadbe29af3fb3d79a8de104a9240d4fce8cf09b88be3e3,hard_feasible,1.0,247571.33333333334
panda,1.0,trac_position_5ms,True,da2242cd4f8d20e60876ec1d72056fb6bc83fd0f6f6dc47ae2201f9f03c84553,near_singular,1.0,355073.0
panda,1.0,trac_position_5ms,True,64b1623ee542ee3a84d36c75a64f5664701707a294ec520957b6e328d362050b,hard_feasible,1.0,228880.66666666666
panda,1.0,trac_position_5ms,True,2a62cf7ec9f7ec2cef4e3e104bd35d00136a89f37f62348ddd8c382178805761,near_limit,1.0,203493.0
panda,1.0,trac_position_5ms,True,d6001f35fa9461f0561a24282cb5d972927c74a2906699558ce2bc6fefb16dd1,near_limit,1.0,203768.66666666666
panda,1.0,trac_position_5ms,True,9a0edb022536bd5da5357d9e7edfa01b80f55acf99005c4577d763e9de50fa8f,near_limit,1.0,194913.66666666666
panda,1.0,trac_position_5ms,True,0987400150f7c4b9d8a8a02ec1dcb73e9f84855f2779180a0d2219bf3c913e14,local,1.0,207334.66666666666
panda,1.0,trac_position_5ms,True,16ac1ff2b525e7e2db6d5c784b66ed5068d9be658f15a997a978eb3c1a5dd356,hard_feasible,1.0,205678.33333333334
panda,1.0,trac_position_5ms,True,3a0fa11b384dbca8dcbd5fd87fbb9660fe7e2a8aa0f66963799527bc4af2d6e4,local,1.0,291138.3333333333
panda,1.0,trac_position_5ms,True,f160552cbd4e330d73ed88f2a1497c73b81e0eea76e896c4859e7c6d171253d7,hard_feasible,1.0,277316.3333333333
panda,1.0,trac_position_5ms,True,73da9ac6d04812f8cc406f43e332fd9ffbe047b2f4b98e5250aa58099dc7d5e3,near_singular,1.0,283622.3333333333
panda,1.0,trac_position_5ms,True,ce0b5ba310c7184c5fbaf891c1aa141a68f62b10dd41e88e6a69302987243c22,near_singular,1.0,203561.33333333334
panda,1.0,trac_position_5ms,True,d9c15b1bb17aa5fa3e77945bb444bede6bffaf080320423df120b2c850da7087,local,1.0,299015.3333333333
panda,1.0,trac_position_5ms,True,acd79a896c176a56ad932fdbbaefcc79dc63117b0ced166a775c800d2c50d177,local,1.0,207389.33333333334
panda,1.0,trac_position_5ms,True,86ab4aa4e545de2af86f168930972b076aa8a7e4f9a172f171e2d8506444d041,near_singular,1.0,209013.0
panda,1.0,trac_position_5ms,True,d26f62406c7388ff5d359288f21695c22fade88881dbf69c319114e19c62d146,local,1.0,201741.33333333334
panda,1.0,trac_position_5ms,True,ffdea1578985f2bfaaf391844704f3ec46a27f6911d0bf0a32764b4d0d138dc8,near_singular,1.0,207101.33333333334
panda,1.0,trac_position_5ms,True,081287b47556f3f0705d7a8f83ad3b2ca76e6f8777eb6e68e7c4e08d675f3e97,near_singular,1.0,211342.33333333334
panda,1.0,trac_position_5ms,True,26f09d559f2085fc166ea8fbe8c5771eb411c81a619d6d1e3a36e49eac27255f,local,1.0,214818.33333333334
panda,1.0,trac_position_5ms,True,8e13f34248b46033df28c68741d9724c0afec3b961761e8b91f87b9377517620,local,1.0,216470.66666666666
panda,1.0,trac_position_5ms,True,692dd3d1cb2fc0038326d0fd6ede2f12cd7a1f4746ec37112f26cc4a61d110b3,local,1.0,256572.0
panda,1.0,trac_position_5ms,True,64f41230d08c1d4fe54631350ea11ef6e991d1a6e79e5eec1ae3d4c7506c7277,local,1.0,247046.33333333334
panda,1.0,trac_position_5ms,True,de6c54dd45e86336f7be3296e89db7a8412602528335c57337f00290b7dfd0c5,local,1.0,243079.66666666666
panda,1.0,trac_position_5ms,True,0d215c5d4f94c0d0f7b931d949879fd68fc265739a76a0f07b6ff778c33e4abc,local,1.0,196907.0
panda,1.0,trac_position_5ms,True,9345c93d5022c67461c3052463630806e2993f5e62108cb0b021ebdf2fb8ed39,local,1.0,231930.66666666666
panda,1.0,trac_position_5ms,True,ea85918faa3ee051b6128de6ed604da0c50efd89cabe5b92cb5871139960cd6b,hard_feasible,1.0,461683.3333333333
panda,1.0,trac_position_5ms,True,9faf97671e0509869c297eb01eb82bef53887a34cb4edd76fbd2ac5d0b666197,local,1.0,211456.33333333334
panda,1.0,trac_position_5ms,True,40864a1fecee6abc9234b2bbd79b56eed6b94f0b19043e5d55321516677b9a64,local,1.0,207806.33333333334
panda,1.0,trac_position_5ms,True,aa0934c1d1d4840f25cd8b6ac8be5f7c63e714fc3bca55ae7f53e855159fbdd1,near_singular,1.0,206503.0
panda,1.0,trac_position_5ms,True,b4cf04601856361ee7eefd35237d2ee1277aac801467c2476740bb21901658ff,near_singular,1.0,207886.0
panda,1.0,trac_position_5ms,True,57ffc613d6652fc492619642534abbf7441f5f2ae337df2fd434bf644ca6b8d6,local,1.0,204233.0
panda,1.0,trac_position_5ms,True,894aa41b2d5ac1a316985fce2d3f0b36af0f37276188c347d0753842749b9f2f,near_singular,1.0,240371.33333333334
panda,1.0,trac_position_5ms,True,96d8fd733a0f41890c21fbc6914099189d0aa8013852d66e3fe469d506dcce5d,near_singular,1.0,220852.66666666666
panda,1.0,trac_position_5ms,True,1bcbc20c8c895401ea00c8d1f1f9e58ecd168e7b84377b27279339a05c01d780,hard_feasible,1.0,315686.0
panda,1.0,trac_position_5ms,True,87fd82c07c37ce4a976bcc2fdc4c2c52e86fe2c057a60d5bbdb293a7a9c99a93,local,1.0,200573.33333333334
panda,1.0,trac_position_5ms,True,e059bc435e42c9ff0fb0370c1ac7814f9b0ee55bb89aa7dfb627b7f9af9e8b59,hard_feasible,1.0,228168.0
panda,1.0,trac_position_5ms,True,74bc6da9c96441378eb85a073ed8cfdb3ed4851e5caea87d8df18071b0d2d3cf,local,1.0,201978.66666666666
panda,1.0,trac_position_5ms,True,2bc3a750d54024a079add77c4eb1793ddfed35b0bdfdcf1356b7426ac3922ae9,local,1.0,218238.66666666666
panda,1.0,trac_position_5ms,True,c9485c13faa655ea43b4d2ca9d14ea36472a9275a8fbd0f7bc9e649ed870da5b,near_limit,1.0,1234054.3333333333
panda,1.0,trac_position_5ms,True,3e6be6b738d16d8be67f5adb6bcae7419d469a0f4f7ec180adeb3282d09fdcb6,local,1.0,211265.33333333334
panda,1.0,trac_position_5ms,True,8de838aca90c31fdb46593612700afc2bfbc45d1b97c194da31f4aba6d8c4a4f,near_limit,1.0,202047.66666666666
panda,1.0,trac_position_5ms,True,1b2e4b4ca0f02e4f0982d54686ade090839d1916abc188c089afdb6d97f64562,local,1.0,207103.33333333334
panda,1.0,trac_position_5ms,True,730939e7ad76a08992234c7840467338fb05d5cf1b76c6a467f16c26f6f316ce,near_singular,1.0,230221.33333333334
panda,1.0,trac_position_5ms,True,a995b1ca6abcec4fed0a15c0fe40836cb7bec65e8cee78db2ee8be16a492fd23,near_singular,1.0,218018.66666666666
panda,1.0,trac_position_5ms,True,cf684601501df49098e736fa867e4bd51938d9eebe7b03f2083df280c9d71b52,near_singular,1.0,271256.0
panda,1.0,trac_position_5ms,True,24844e57298211d1b23badf4681237bc64b6750d4cb49144e86e4d273834a25c,hard_feasible,1.0,239970.33333333334
panda,1.0,trac_position_5ms,True,4f25298159f7419d4baf4865ccfee5ec9590dd498e2e86026f6cacaa26f6527d,hard_feasible,1.0,206415.33333333334
panda,1.0,trac_position_5ms,True,9f3925a62d93840fe36fb65418b32b172305ce16dec57a444a5d54628ec98b5d,local,1.0,245995.0
panda,1.0,trac_position_5ms,True,fbefab24a2b983c6c7900626552259dd327c1a422cb3e8e1f6776a9ee8599c9c,hard_feasible,1.0,391553.3333333333
panda,1.0,trac_position_5ms,True,fd906f107ccd5e4342b2b8c289573d2a0d85408ca1ae82801f6b646df9bbe653,near_singular,1.0,254655.33333333334
panda,1.0,trac_position_5ms,True,371b261f18baffb5b41047e0b02cafd72d029d83fb0eaff00cf1e0b47111155b,near_limit,1.0,211535.33333333334
panda,1.0,trac_position_5ms,True,2db615b628d06e8effebe43c509b2f572c1a9076dbf63e212409d2360cbce3ec,local,1.0,199427.33333333334
panda,1.0,trac_position_5ms,True,3d91e6d28d01c535d6e98c6712a1462e3494724685f198922bb3d35b5d304644,local,1.0,192133.33333333334
panda,1.0,trac_position_5ms,True,60bedbcc4b5b3e48434761cb54edf779cf2ea4ed389380625353ba7b66231737,hard_feasible,1.0,220413.66666666666
