robot,scale,method,witness_feasible,uid,family,success,time
panda,0.5,trac_strict_5ms,True,2db4d4f77c0d7aab0c82a13055af135c012732fe1898bae7425ccaea328ce1fa,local,1.0,208414.66666666666
panda,0.5,trac_strict_5ms,True,1b4cfcad23cf151ce23d1906854abdc7e7063278b0fc1e16f6a163d1d4b29316,near_singular,1.0,244945.33333333334
panda,0.5,trac_strict_5ms,True,1ee0e6613d082452133e3e91ca5f2ab39f7c4b3e5420d779d13b74ec75d1634e,local,1.0,217603.66666666666
panda,0.5,trac_strict_5ms,True,1f1a1babb9fa5598251768ec1b85b9152b1b88a3ca72fc96d465c5d228dd9393,local,1.0,207310.33333333334
panda,0.5,trac_strict_5ms,True,17fe9378c6641f5f009448a2089324666fb75d1ce3ace5d3ec6cbc8e77a0bc69,local,1.0,197938.33333333334
panda,0.5,trac_strict_5ms,True,32fda9eacba31f51006f6f1ba0c8b9205a7dc9873a3ddb925a17ce9f59dce1d0,local,1.0,199730.33333333334
panda,0.5,trac_strict_5ms,True,16a03f9c8d8703ef0f638514a2dbcfdb6aea98325fd53fdac3f268f84aaa74cf,hard_feasible,1.0,210104.33333333334
panda,0.5,trac_strict_5ms,True,14db33e6183fbd1d6ea035e879c73c42b7c87e52ca1d83cfe74f11b32b658871,near_limit,1.0,209905.33333333334
panda,0.5,trac_strict_5ms,True,081287b47556f3f0705d7a8f83ad3b2ca76e6f8777eb6e68e7c4e08d675f3e97,near_singular,1.0,214942.33333333334
panda,0.5,trac_strict_5ms,True,064d2f4fdbd4c4d78f5fbc51152956af6dee1d837ba2a63f185e8c2e4acbc85f,local,1.0,196564.66666666666
panda,0.5,trac_strict_5ms,True,272bb1b4dffb1e2e822d6d4048eb11690a6a2aa25bea78875c5f23acda0e3a19,hard_feasible,1.0,227635.66666666666
panda,0.5,trac_strict_5ms,True,2d3364d9936c39d3ee57068993521544832337d85d0a619243cb914c8cd63e65,local,1.0,206639.33333333334
panda,0.5,trac_strict_5ms,True,1c7b40a55aa7af291e19566887498b2c796d13216e232ac3f515b2bc1ef88f38,near_singular,1.0,226788.0
panda,0.5,trac_strict_5ms,True,2669ea4e5f9ffa2df58d68c013b498f00276a77d25f9d2fbf26ed48e7e8e19dd,hard_feasible,1.0,369503.0
panda,0.5,trac_strict_5ms,True,29a9152d4f8361dc13939babb616970ca55df4807e8fdf57e323e6041e453c74,local,1.0,193016.33333333334
panda,0.5,trac_strict_5ms,True,0b0f887aaea8c242c742d228a2f0ed970202e2121c47507362575fb8856685b7,local,1.0,205491.0
panda,0.5,trac_strict_5ms,True,23c843c222bef452de045e888d69cea66cec84206c77b8d20ca577c55ff9ce18,hard_feasible,1.0,205562.33333333334
panda,0.5,trac_strict_5ms,True,178fe80fbae995abd0d90f6742e01427455175945921e4d187a36271740b5a03,near_singular,1.0,208659.33333333334
panda,0.5,trac_strict_5ms,True,034ca2b7d035f2f7cb46d06b23b1ff9678045d7e574e8f598ad2d3fab8debbc5,local,1.0,197599.33333333334
panda,0.5,trac_strict_5ms,True,011ffa99599e888fa327fb33403908fbceaa5ffadf389a6df30021c57cc01927,near_singular,1.0,224960.33333333334
