uid,site_id,frames,initial_q_max_absolute_difference,target_position_max_absolute_difference,target_rotation_max_absolute_difference
ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,150,0.0,2.220446049250313e-16,2.220446049250313e-16
a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,150,0.0,2.220446049250313e-16,2.220446049250313e-16
98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,150,0.0,2.220446049250313e-16,2.7755575615628914e-16
e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,150,0.0,2.220446049250313e-16,2.220446049250313e-16
ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,150,0.0,2.220446049250313e-16,2.220446049250313e-16
972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,150,0.0,2.220446049250313e-16,2.220446049250313e-16
0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,150,0.0,1.1102230246251565e-16,2.498001805406602e-16
a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,trajectory_08,150,0.0,2.220446049250313e-16,2.7755575615628914e-16
6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,150,0.0,2.220446049250313e-16,2.220446049250313e-16
525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,trajectory_10,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,trajectory_11,150,0.0,4.440892098500626e-16,1.1102230246251565e-16
ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,150,0.0,4.440892098500626e-16,3.3306690738754696e-16
49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,150,0.0,2.220446049250313e-16,2.7755575615628914e-16
4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,150,0.0,4.440892098500626e-16,3.3306690738754696e-16
c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,trajectory_18,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,trajectory_19,150,0.0,2.220446049250313e-16,2.220446049250313e-16
5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,150,0.0,2.220446049250313e-16,2.220446049250313e-16
4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,trajectory_21,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,trajectory_22,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,trajectory_23,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,150,0.0,2.220446049250313e-16,2.220446049250313e-16
6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,trajectory_25,150,0.0,2.220446049250313e-16,3.885780586188048e-16
b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,150,0.0,1.1102230246251565e-16,2.7755575615628914e-16
62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,150,0.0,2.220446049250313e-16,2.220446049250313e-16
41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,150,0.0,2.220446049250313e-16,2.220446049250313e-16
f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,trajectory_30,150,0.0,3.3306690738754696e-16,2.220446049250313e-16
b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,trajectory_31,150,0.0,2.220446049250313e-16,2.498001805406602e-16
f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,trajectory_32,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,trajectory_33,150,0.0,2.220446049250313e-16,3.3306690738754696e-16
