uid,episode_uid,frame,method,repeat,accepted,latency_ns,reason,empty_dynamic_box,witness,line
16fa0df664f1c21540d37993ef8626996f4e2ce5c86f58a1f8f180f8b981fca6,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,508,gn,2,False,8175477,position_tolerance+orientation_tolerance,False,False,173
16fa0df664f1c21540d37993ef8626996f4e2ce5c86f58a1f8f180f8b981fca6,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,508,clarabel,1,False,14314401,position_tolerance+orientation_tolerance,False,False,174
16fa0df664f1c21540d37993ef8626996f4e2ce5c86f58a1f8f180f8b981fca6,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,508,direct_sqp,2,False,20173826,position_tolerance+orientation_tolerance,False,False,175
16fa0df664f1c21540d37993ef8626996f4e2ce5c86f58a1f8f180f8b981fca6,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,508,relative,2,False,13075191,position_tolerance+orientation_tolerance,False,False,176
16fa0df664f1c21540d37993ef8626996f4e2ce5c86f58a1f8f180f8b981fca6,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,508,fixed_qp2,0,False,12568132,position_tolerance+orientation_tolerance,False,False,177
16fa0df664f1c21540d37993ef8626996f4e2ce5c86f58a1f8f180f8b981fca6,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,508,clarabel,0,False,14434917,position_tolerance+orientation_tolerance,False,False,178
16fa0df664f1c21540d37993ef8626996f4e2ce5c86f58a1f8f180f8b981fca6,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,508,fixed_qp2,1,False,12582781,position_tolerance+orientation_tolerance,False,False,179
16fa0df664f1c21540d37993ef8626996f4e2ce5c86f58a1f8f180f8b981fca6,36907fcd85c3ea5210aecb4875ca49df775bae853acf28c83e983a0829e09017,508,clarabel,2,False,14509420,position_tolerance+orientation_tolerance,False,False,180
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,fixed_qp2,1,False,9929122,position_tolerance+orientation_tolerance,False,False,226
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,relative,2,False,11013466,position_tolerance+orientation_tolerance,False,False,227
da2e72b784fdbb8997d694abba8dd3841765b24db4f8f8ad7d0e4d9851adc05b,24bdc2307075f3882937ee61e53c9d591f228dec69d95aacae52f01d9adc7d55,719,clarabel,2,False,13682308,position_tolerance+orientation_tolerance,False,False,228
