uid,method,robot,anchor_uid,anchor_family,displacement,alpha,accepted,timely,latency_ns,success_by_repeat,condition
0382995a3f9a3695de20665a412993e9fb6f314576aff3bb1d79165b2450984e,direct_sqp,panda,4aa2a8b4c68ead365259663eee4d990ac53ebf8fa8e5c922056156e880f2567d,near_singular,regular,0.0,1.0,1.0,1030650.6666666666,"[true,true,true]",nominal
0382995a3f9a3695de20665a412993e9fb6f314576aff3bb1d79165b2450984e,eta010,panda,4aa2a8b4c68ead365259663eee4d990ac53ebf8fa8e5c922056156e880f2567d,near_singular,regular,0.0,1.0,1.0,291095.6666666667,"[true,true,true]",nominal
0382995a3f9a3695de20665a412993e9fb6f314576aff3bb1d79165b2450984e,eta050,panda,4aa2a8b4c68ead365259663eee4d990ac53ebf8fa8e5c922056156e880f2567d,near_singular,regular,0.0,1.0,1.0,287621.6666666667,"[true,true,true]",nominal
0382995a3f9a3695de20665a412993e9fb6f314576aff3bb1d79165b2450984e,gn,panda,4aa2a8b4c68ead365259663eee4d990ac53ebf8fa8e5c922056156e880f2567d,near_singular,regular,0.0,1.0,1.0,304634.0,"[true,true,true]",nominal
0382995a3f9a3695de20665a412993e9fb6f314576aff3bb1d79165b2450984e,relative,panda,4aa2a8b4c68ead365259663eee4d990ac53ebf8fa8e5c922056156e880f2567d,near_singular,regular,0.0,1.0,1.0,282278.6666666667,"[true,true,true]",nominal
04024e96d5b9d96f8f3c95e76b469c74fa8ee8f083fe85abd57d4406ff597e01,direct_sqp,panda,1903787ea4769815dbe05d5e7619885fab720230b509e61fab21d008b0f11a17,ordinary,regular,0.5,1.0,1.0,2891675.3333333335,"[true,true,true]",nominal
04024e96d5b9d96f8f3c95e76b469c74fa8ee8f083fe85abd57d4406ff597e01,eta010,panda,1903787ea4769815dbe05d5e7619885fab720230b509e61fab21d008b0f11a17,ordinary,regular,0.5,1.0,1.0,290774.3333333333,"[true,true,true]",nominal
04024e96d5b9d96f8f3c95e76b469c74fa8ee8f083fe85abd57d4406ff597e01,eta050,panda,1903787ea4769815dbe05d5e7619885fab720230b509e61fab21d008b0f11a17,ordinary,regular,0.5,1.0,1.0,277976.6666666667,"[true,true,true]",nominal
04024e96d5b9d96f8f3c95e76b469c74fa8ee8f083fe85abd57d4406ff597e01,gn,panda,1903787ea4769815dbe05d5e7619885fab720230b509e61fab21d008b0f11a17,ordinary,regular,0.5,1.0,1.0,316696.6666666667,"[true,true,true]",nominal
04024e96d5b9d96f8f3c95e76b469c74fa8ee8f083fe85abd57d4406ff597e01,relative,panda,1903787ea4769815dbe05d5e7619885fab720230b509e61fab21d008b0f11a17,ordinary,regular,0.5,1.0,1.0,306747.3333333333,"[true,true,true]",nominal
042e8b90780625c0bc3142365275047dc08b813287291dbb3dc158878da30a3b,direct_sqp,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.0,1.0,1.0,1689555.0,"[true,true,true]",nominal
042e8b90780625c0bc3142365275047dc08b813287291dbb3dc158878da30a3b,eta010,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.0,1.0,1.0,288091.3333333333,"[true,true,true]",nominal
042e8b90780625c0bc3142365275047dc08b813287291dbb3dc158878da30a3b,eta050,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.0,1.0,1.0,290394.6666666667,"[true,true,true]",nominal
042e8b90780625c0bc3142365275047dc08b813287291dbb3dc158878da30a3b,gn,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.0,1.0,1.0,303261.0,"[true,true,true]",nominal
042e8b90780625c0bc3142365275047dc08b813287291dbb3dc158878da30a3b,relative,panda,d320733af1cea108106e6af92c1f9a938adca5d8a95675fb0b3780c450b0b9b7,near_singular,regular,0.0,1.0,1.0,280431.6666666667,"[true,true,true]",nominal
048e1c70a0eaa78ac92fc5570276e852b5a0b97174d65dece8d746f0bc6fdb20,direct_sqp,panda,a672ee9075f1505d4ccc94ed0ef20b011c4ff57a3c33bc54b24026d637fd8311,ordinary,multijoint_boundary,0.5,1.0,1.0,2412210.0,"[true,true,true]",nominal
048e1c70a0eaa78ac92fc5570276e852b5a0b97174d65dece8d746f0bc6fdb20,eta010,panda,a672ee9075f1505d4ccc94ed0ef20b011c4ff57a3c33bc54b24026d637fd8311,ordinary,multijoint_boundary,0.5,1.0,1.0,365904.0,"[true,true,true]",nominal
048e1c70a0eaa78ac92fc5570276e852b5a0b97174d65dece8d746f0bc6fdb20,eta050,panda,a672ee9075f1505d4ccc94ed0ef20b011c4ff57a3c33bc54b24026d637fd8311,ordinary,multijoint_boundary,0.5,1.0,1.0,370971.6666666667,"[true,true,true]",nominal
048e1c70a0eaa78ac92fc5570276e852b5a0b97174d65dece8d746f0bc6fdb20,gn,panda,a672ee9075f1505d4ccc94ed0ef20b011c4ff57a3c33bc54b24026d637fd8311,ordinary,multijoint_boundary,0.5,1.0,1.0,393190.3333333333,"[true,true,true]",nominal
048e1c70a0eaa78ac92fc5570276e852b5a0b97174d65dece8d746f0bc6fdb20,relative,panda,a672ee9075f1505d4ccc94ed0ef20b011c4ff57a3c33bc54b24026d637fd8311,ordinary,multijoint_boundary,0.5,1.0,1.0,378613.3333333333,"[true,true,true]",nominal
04f0a899698d2e5bb348f4331f214ab9ac77ea530f18a2ea48afd2816a4d6cc6,direct_sqp,panda,c2d3178e8eafcb85f18544564ea1d94ef444b5c507deac247ac96184273ed1c3,near_limit,multijoint_boundary,0.5,1.0,1.0,2092101.3333333333,"[true,true,true]",nominal
04f0a899698d2e5bb348f4331f214ab9ac77ea530f18a2ea48afd2816a4d6cc6,eta010,panda,c2d3178e8eafcb85f18544564ea1d94ef444b5c507deac247ac96184273ed1c3,near_limit,multijoint_boundary,0.5,1.0,1.0,617765.3333333334,"[true,true,true]",nominal
04f0a899698d2e5bb348f4331f214ab9ac77ea530f18a2ea48afd2816a4d6cc6,eta050,panda,c2d3178e8eafcb85f18544564ea1d94ef444b5c507deac247ac96184273ed1c3,near_limit,multijoint_boundary,0.5,1.0,1.0,595947.0,"[true,true,true]",nominal
04f0a899698d2e5bb348f4331f214ab9ac77ea530f18a2ea48afd2816a4d6cc6,gn,panda,c2d3178e8eafcb85f18544564ea1d94ef444b5c507deac247ac96184273ed1c3,near_limit,multijoint_boundary,0.5,1.0,1.0,584942.3333333334,"[true,true,true]",nominal
04f0a899698d2e5bb348f4331f214ab9ac77ea530f18a2ea48afd2816a4d6cc6,relative,panda,c2d3178e8eafcb85f18544564ea1d94ef444b5c507deac247ac96184273ed1c3,near_limit,multijoint_boundary,0.5,1.0,1.0,593834.3333333334,"[true,true,true]",nominal
0553b7be026918ed381e8ca043b37e837f9a2125c05cf7188972f4eabe9aaee4,direct_sqp,panda,504f14d827f5f16ad86855827f10a60f9c274bd3189c19619ad0917a0b8ef915,ordinary,multijoint_boundary,0.95,1.0,1.0,2687439.3333333335,"[true,true,true]",nominal
0553b7be026918ed381e8ca043b37e837f9a2125c05cf7188972f4eabe9aaee4,eta010,panda,504f14d827f5f16ad86855827f10a60f9c274bd3189c19619ad0917a0b8ef915,ordinary,multijoint_boundary,0.95,1.0,1.0,495265.0,"[true,true,true]",nominal
