group,method,queries,repeats,success_by_repeat,within20_by_repeat,verified_success,within20_success,mean_ms,p50_ms,p95_ms,p99_ms,total_ms_per_repeat,late_calls,witness_queries,witness_success_by_repeat,witness_confirmed_missed_uids,accepted_position_p50_p95_max_m,accepted_orientation_p50_p95_max_rad,edge_fraction,command_step_utilization_p50_p95_max,mean_local_qps,first_half_accepted_fraction,no_qp_fraction,continued_after_first_fraction,extra_weighted_qp_fraction,relative_stop_fraction,mean_iterations,failure_counts,native_status_counts
witness_confirmed,relative,902,3,"[902,902,902]","[902,902,902]",1.0,1.0,0.20654614227642276,0.17412149999999998,0.30070625,0.33916984999999905,186.30462033333333,0,902,"[902,902,902]",[],"[1.813188846804954e-08,0.00017175925257936292,0.0008578251976954581]","[1.6655576371657964e-08,0.0006265060356695821,0.008214436208849565]",0.0011086474501108647,"[0.0,0.2252663790277105,0.39600658161705526]",0.3325942350332594,0.3259423503325942,0.6707317073170732,0.0033259423503325942,0.0,0.0033259423503325942,1.0033259423503327,{},"{""native_task_candidate"":2706}"
witness_confirmed,gn,902,3,"[902,902,902]","[902,902,902]",1.0,1.0,0.2247861766444937,0.1887575,0.32542174999999995,0.3830655999999976,202.75713133333332,0,902,"[902,902,902]",[],"[1.813188846804954e-08,0.00017175925257936292,0.0008578251976954581]","[1.6655576371657964e-08,0.0006265060356695821,0.008214436208849565]",0.0011086474501108647,"[0.0,0.2252663790277105,0.39600658161705526]",,,,,,,1.3325942350332594,{},"{""task_candidate"":2706}"
witness_confirmed,fixed_qp2,902,3,"[902,902,902]","[902,902,902]",1.0,1.0,0.20596839541759057,0.1725795,0.29992625,0.3495389999999976,185.7834926666667,0,902,"[902,902,902]",[],"[1.813188846804954e-08,0.00017175925257936292,0.0008578251976954581]","[1.6655576371657964e-08,0.0006265060356695821,0.008214436208849565]",0.0011086474501108647,"[0.0,0.2252663790277105,0.39600636316093424]",0.33592017738359203,0.3259423503325942,,0.0033259423503325942,0.0033259423503325942,,1.0033259423503327,{},"{""native_task_candidate"":2706}"
witness_confirmed,clarabel,902,3,"[902,902,902]","[902,902,902]",1.0,1.0,0.20627816481892092,0.1729615,0.2988155,0.33326654999999994,186.06290466666667,0,902,"[902,902,902]",[],"[1.813188846804954e-08,0.00017175925257936292,0.0008578251976954581]","[1.6655576371657964e-08,0.0006265060356695821,0.008214436208849565]",0.0011086474501108647,"[0.0,0.2252663790277105,0.3960063404522885]",0.33592017738359203,0.3259423503325942,,0.0033259423503325942,,,1.0033259423503327,{},"{""native_task_candidate"":2706}"
witness_confirmed,direct_sqp,902,3,"[902,902,902]","[902,902,902]",1.0,1.0,0.8416377668144862,0.35219,2.228608,2.4562725,759.1572656666666,0,902,"[902,902,902]",[],"[1.813188846804954e-08,0.000999999978751188,0.000999999998914869]","[1.6655576371657964e-08,0.008726645922271476,0.008726646253738346]",0.3303769401330377,"[0.0,0.17696199387434547,0.3419742145705022]",,,,,,,4.2317073170731705,{},"{""task_accepted_early"":2706}"
logged_state_within_joint_range,relative,7086,3,"[5273,5273,5273]","[5273,5273,5273]",0.7441433813152696,0.7441433813152696,4.043678807037351,0.41039950000000003,20.1522506,20.20919272,28653.508026666666,1421,902,"[902,902,902]",[],"[9.273447406900746e-05,0.0008781728368756238,0.000999916224526641]","[0.0002616305625222398,0.0032696313661239977,0.008725860992406251]",0.0417219798975915,"[0.4368844816126202,0.9872365528439357,0.999999999999001]",23.993743531846835,0.3777871860005645,0.09229466553767993,0.5299181484617556,0.2547276319503246,0.5299181484617556,7.047605607300781,"{""position_tolerance+orientation_tolerance"":5415,""position_tolerance"":18,""orientation_tolerance"":6}","{""no_descent"":1111,""native_task_candidate"":15819,""iteration_limit"":1997,""stationary"":925,""deadline"":1406}"
logged_state_within_joint_range,gn,7086,3,"[5258,5258,5258]","[5258,5258,5258]",0.7420265311882586,0.7420265311882586,1.7863560655753128,0.403714,7.546047299999998,8.10457659,12658.119080666665,0,902,"[902,902,902]",[],"[9.12448057649234e-05,0.0008668173729981388,0.000999916224526641]","[0.0002599784385491945,0.003183618868612813,0.008604923798831607]",0.03917839482693039,"[0.4350549183904874,0.9828456400613489,0.999999999999001]",,,,,,,7.947502116850127,"{""position_tolerance+orientation_tolerance"":4773,""orientation_tolerance"":222,""position_tolerance"":489}","{""iteration_limit"":2547,""task_candidate"":15771,""no_descent"":2331,""stationary"":609}"
logged_state_within_joint_range,fixed_qp2,7086,3,"[5269,5269,5269]","[5269,5269,5269]",0.7435788879480666,0.7435788879480666,3.0590036508608525,0.516072,12.340494999999999,13.6046796,21676.099870000002,5,902,"[902,902,902]",[],"[9.209038720665107e-05,0.0008714500532538138,0.000999916224526641]","[0.0002618386956654459,0.00325404029730501,0.008723331594499397]",0.04080470677547922,"[0.4364391466134435,0.9861091423813788,0.999999999999001]",15.7050992567504,0.3777871860005645,,0.5299181484617556,0.5299181484617556,,8.268181390535329,"{""position_tolerance+orientation_tolerance"":5226,""position_tolerance"":198,""orientation_tolerance"":27}","{""iteration_limit"":4087,""native_task_candidate"":15807,""stationary"":423,""no_descent"":936,""deadline"":5}"
logged_state_within_joint_range,clarabel,7086,3,"[5274,5274,5274]","[5274,5274,5274]",0.7442845046570703,0.7442845046570703,3.7056278597704395,0.60641,14.757103649999998,17.70383257,26258.079014333332,12,902,"[902,902,902]",[],"[9.252647665866485e-05,0.0008788021150259317,0.000999916224526641]","[0.00026241335817485666,0.003283258143854112,0.00872426166483323]",0.041145240803943876,"[0.4369347844149247,0.9874181170152087,0.999999999999001]",14.606642205287422,0.3777871860005645,,0.5299181484617556,,,7.719070467588672,"{""position_tolerance+orientation_tolerance"":5424,""position_tolerance"":9,""orientation_tolerance"":3}","{""no_descent"":2469,""native_task_candidate"":15822,""iteration_limit"":2717,""stationary"":240,""deadline"":10}"
logged_state_within_joint_range,direct_sqp,7086,3,"[5277,5277,5277]","[5277,5277,5277]",0.7447078746824725,0.7447078746824725,6.270896041584346,2.870953,20.1645829,20.18534943,44435.56935066668,3087,902,"[902,902,902]",[],"[0.0009999999526380187,0.0009999999852133715,0.0009999999998701662]","[0.008726645836694304,0.00872664608057648,0.00872664625434955]",0.8762554481713094,"[0.38724254654054924,0.9417174678492319,0.999999999999001]",,,,,,,29.77820114780318,"{""position_tolerance+orientation_tolerance"":5418,""position_tolerance"":6,""orientation_tolerance"":3}","{""optimizer:Positive directional derivative for linesearch"":2036,""task_accepted_early"":15831,""deadline"":3054,""optimizer:Iteration limit reached"":331,""optimizer:Inequality constraints incompatible"":6}"
