robot,group,method,baseline,queries,anchors,success_difference,success_difference_ci,timely_difference,timely_difference_ci,latency_ratio,latency_ratio_ci,gained_query_units,lost_query_units,net_mean_success_count,stable_gains,stable_losses,interval,condition
panda,high_utilization/alpha=0.0,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9959755102700125,"[0.9833368361223269,1.0074495550413773]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.0,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0050750008890619,"[0.9921280632816508,1.0182566624831613]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.0,relative,gn,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9843852535337132,"[0.9617586127293347,1.0054112493271108]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.0,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1701557037395808,"[0.15572976894143578,0.1844319619874477]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.5,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0057227837252065,"[0.9969355300103366,1.0152477773005062]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.5,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0027636855203679,"[0.9911724305722547,1.0156140613599969]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.5,relative,gn,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9725516062571132,"[0.9534908187996274,0.9913880827099067]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.5,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.17151861791956152,"[0.15763610740806547,0.18556617048671695]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.95,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.993439026994743,"[0.9840170435573611,1.0025928065599035]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.95,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9935169688618505,"[0.9812494096570814,1.0063462929530336]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.95,relative,gn,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9745475933672754,"[0.9527217023908445,0.9947828189475213]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,high_utilization/alpha=0.95,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.17010204952570623,"[0.15794210047335663,0.18245539207656053]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.0,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9986307600412527,"[0.9887385070418448,1.008288432313101]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.0,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0036531085559834,"[0.9963391647365799,1.0110455007107373]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.0,relative,gn,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0061096945912191,"[0.99150291843485,1.0183674969673826]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.0,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.2118831435013219,"[0.19378963505478825,0.22947516712590124]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.5,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.001661944312138,"[0.9908826746944541,1.0126823713371014]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.5,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0001988505909796,"[0.9877211795072379,1.012327536896171]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.5,relative,gn,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0025852056734208,"[0.9847215506682429,1.018970627242947]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.5,relative,direct_sqp,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.19998545896978903,"[0.18495885456527664,0.21484433363358657]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.95,relative,eta010,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0112583919969214,"[1.000892461781415,1.021873845973716]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
panda,multijoint_boundary/alpha=0.95,relative,eta050,30,30,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0044317041841888,"[0.9962491799072697,1.0122442228422852]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%,nominal
