group,method,queries,repeats,success_by_repeat,within20_by_repeat,verified_success,within20_success,mean_ms,p50_ms,p95_ms,p99_ms,total_ms_per_repeat,late_calls,witness_queries,witness_success_by_repeat,witness_confirmed_missed_uids,accepted_position_p50_p95_max_m,accepted_orientation_p50_p95_max_rad,edge_fraction,command_step_utilization_p50_p95_max,mean_local_qps,first_half_accepted_fraction,no_qp_fraction,continued_after_first_fraction,extra_weighted_qp_fraction,relative_stop_fraction,mean_iterations,failure_counts,native_status_counts,robot,condition
ordinary/multijoint_boundary/alpha=0.5,relative,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.4711274999999999,0.5091625,0.5515473999999999,0.55747568,4.711275,0,10,"[10,10,10]",[],"[0.000234563334296316,0.000785527540407833,0.000785527540407833]","[0.0031842362041214463,0.0067435434954717976,0.0067435434954717976]",0.0,"[0.9999999999990031,0.9999999999990037,0.9999999999990037]",1.7,0.3,0.0,0.7,0.0,0.7,1.7,{},"{""native_task_candidate"":30}",panda,nominal
ordinary/multijoint_boundary/alpha=0.5,eta010,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.46700996666666666,0.5103035,0.54363285,0.5576598500000001,4.670099666666666,0,10,"[10,10,10]",[],"[0.000234563334296316,0.000785527540407833,0.000785527540407833]","[0.0031842362041214463,0.0067435434954717976,0.0067435434954717976]",0.0,"[0.9999999999990031,0.9999999999990037,0.9999999999990037]",1.7,0.3,,0.7,0.0,0.7,1.7,{},"{""native_task_candidate"":30}",panda,nominal
ordinary/multijoint_boundary/alpha=0.5,eta050,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.46063060000000006,0.49837600000000004,0.5293401,0.53379941,4.606306000000001,0,10,"[10,10,10]",[],"[0.000234563334296316,0.000785527540407833,0.000785527540407833]","[0.0031842362041214463,0.0067435434954717976,0.0067435434954717976]",0.0,"[0.9999999999990031,0.9999999999990037,0.9999999999990037]",1.7,0.3,,0.7,0.0,0.7,1.7,{},"{""native_task_candidate"":30}",panda,nominal
ordinary/multijoint_boundary/alpha=0.5,gn,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.4682759333333333,0.49291399999999996,0.5366594,0.5451652100000001,4.682759333333332,0,10,"[10,10,10]",[],"[0.000234563334296316,0.000785527540407833,0.000785527540407833]","[0.0031842362041214463,0.0067435434954717976,0.0067435434954717976]",0.0,"[0.9999999999990031,0.9999999999990037,0.9999999999990037]",,,,,,,2.7,{},"{""task_candidate"":30}",panda,nominal
ordinary/multijoint_boundary/alpha=0.5,direct_sqp,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,2.4671569,2.468904,2.7603625,2.76765697,24.671569,0,10,"[10,10,10]",[],"[0.000999999965051177,0.000999999989237632,0.000999999989237632]","[0.00872664587129245,0.008726646038598643,0.008726646038598643]",1.0,"[0.9999999999990008,0.9999999999990037,0.9999999999990037]",,,,,,,18.0,{},"{""task_accepted_early"":30}",panda,nominal
ordinary/multijoint_boundary/alpha=0.95,relative,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.5297067666666666,0.5191045000000001,0.8129381,0.8289987000000001,5.297067666666666,0,10,"[10,10,10]",[],"[0.00033296371874105433,0.0007829373109867817,0.0007829373109867817]","[0.006006988876579243,0.008283850278359355,0.008283850278359355]",0.2,"[0.9999999999990026,0.9999999999990037,0.9999999999990037]",2.1,0.1,0.0,0.9,0.1,0.9,1.9,{},"{""native_task_candidate"":30}",panda,nominal
ordinary/multijoint_boundary/alpha=0.95,eta010,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.5247357,0.5143154999999999,0.81671905,0.8220798300000001,5.247357,0,10,"[10,10,10]",[],"[0.00033296371874105433,0.0007829373109867817,0.0007829373109867817]","[0.006006988876579243,0.008283850278359355,0.008283850278359355]",0.2,"[0.9999999999990026,0.9999999999990037,0.9999999999990037]",2.1,0.1,,0.9,0.1,0.9,1.9,{},"{""native_task_candidate"":30}",panda,nominal
ordinary/multijoint_boundary/alpha=0.95,eta050,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.5219713666666667,0.5068330000000001,0.8008504499999999,0.81798784,5.219713666666666,0,10,"[10,10,10]",[],"[0.00033296371874105433,0.0007829373109867817,0.0007829373109867817]","[0.006006988876579243,0.008283850278359355,0.008283850278359355]",0.2,"[0.9999999999990026,0.9999999999990037,0.9999999999990037]",2.1,0.1,,0.9,0.1,0.9,1.9,{},"{""native_task_candidate"":30}",panda,nominal
ordinary/multijoint_boundary/alpha=0.95,gn,10,3,"[9,9,9]","[9,9,9]",0.9,0.9,0.8298398333333333,0.4963965,3.92100055,3.95090885,8.298398333333333,0,10,"[9,9,9]","[""e510005c9092f6216e924aa90a3e64c697cdd0763b835bc622a30d119b63c10f""]","[0.0002493307977230866,0.0005796060468360203,0.0005796060468360203]","[0.005042810977742492,0.008069836667510932,0.008069836667510932]",0.1111111111111111,"[0.9999999999990026,0.9999999999990037,0.9999999999990037]",,,,,,,4.0,"{""orientation_tolerance"":3}","{""task_candidate"":27,""no_descent"":3}",panda,nominal
ordinary/multijoint_boundary/alpha=0.95,direct_sqp,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,2.4985077,2.4609025,2.72882435,2.7377043600000004,24.985077000000004,0,10,"[10,10,10]",[],"[0.0009999999588845678,0.0009999999949383835,0.0009999999949383835]","[0.008726645851307835,0.008726646254519592,0.008726646254519592]",1.0,"[0.9999999999990005,0.9999999999990037,0.9999999999990037]",,,,,,,18.4,{},"{""task_accepted_early"":30}",panda,nominal
near_singular/regular/alpha=0.0,relative,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.28907793333333337,0.285265,0.32057135,0.33073097,2.890779333333334,0,10,"[10,10,10]",[],"[5.4019404449473606e-05,0.00017709681335313534,0.00017709681335313534]","[0.00013953715257432046,0.0005784677368464176,0.0005784677368464176]",0.0,"[0.2485231211150894,0.3179023341752643,0.3179023341752643]",1.0,1.0,0.0,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":30}",panda,nominal
near_singular/regular/alpha=0.0,eta010,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.2940950333333333,0.28336700000000004,0.32303485,0.37739990000000007,2.9409503333333333,0,10,"[10,10,10]",[],"[5.4019404449473606e-05,0.00017709681335313534,0.00017709681335313534]","[0.00013953715257432046,0.0005784677368464176,0.0005784677368464176]",0.0,"[0.2485231211150894,0.3179023341752643,0.3179023341752643]",1.0,1.0,,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":30}",panda,nominal
near_singular/regular/alpha=0.0,eta050,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.28371563333333333,0.281671,0.31135535,0.3132729,2.837156333333333,0,10,"[10,10,10]",[],"[5.4019404449473606e-05,0.00017709681335313534,0.00017709681335313534]","[0.00013953715257432046,0.0005784677368464176,0.0005784677368464176]",0.0,"[0.2485231211150894,0.3179023341752643,0.3179023341752643]",1.0,1.0,,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":30}",panda,nominal
near_singular/regular/alpha=0.0,gn,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.3115170666666666,0.3088385,0.3291393,0.33973014,3.1151706666666663,0,10,"[10,10,10]",[],"[5.4019404449473606e-05,0.00017709681335313534,0.00017709681335313534]","[0.00013953715257432046,0.0005784677368464176,0.0005784677368464176]",0.0,"[0.2485231211150894,0.3179023341752643,0.3179023341752643]",,,,,,,2.0,{},"{""task_candidate"":30}",panda,nominal
near_singular/regular/alpha=0.0,direct_sqp,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,1.2751412333333332,1.1969195,1.68384615,1.70236796,12.751412333333333,0,10,"[10,10,10]",[],"[0.0009999999564825508,0.0009999999785505502,0.0009999999785505502]","[0.00872664584987902,0.008726645991784299,0.008726645991784299]",1.0,"[0.09552419527347546,0.24848820502138808,0.24848820502138808]",,,,,,,8.2,{},"{""task_accepted_early"":30}",panda,nominal
near_singular/regular/alpha=0.5,relative,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.29428660000000006,0.297046,0.3216236,0.32590653,2.9428660000000004,0,10,"[10,10,10]",[],"[0.0002488420507625154,0.0009540554271214108,0.0009540554271214108]","[0.0012417453665073933,0.003045328946554761,0.003045328946554761]",0.1,"[0.8706859970982904,0.9999999999990011,0.9999999999990011]",1.0,1.0,0.0,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":30}",panda,nominal
near_singular/regular/alpha=0.5,eta010,10,3,"[10,10,10]","[10,10,10]",1.0,1.0,0.29512673333333334,0.2946535,0.32016445,0.32710328,2.9512673333333335,0,10,"[10,10,10]",[],"[0.0002488420507625154,0.0009540554271214108,0.0009540554271214108]","[0.0012417453665073933,0.003045328946554761,0.003045328946554761]",0.1,"[0.8706859970982904,0.9999999999990011,0.9999999999990011]",1.0,1.0,,0.0,0.0,0.0,1.0,{},"{""native_task_candidate"":30}",panda,nominal
