robot,trajectory_uid,family,group,frames,hard_complete,hard_total_latency_ns,hard_total_fev,hard_reject_count,hard_defer_count,hard_fallback_count,hard_first_failure_frame,hard_first_failure_reason,cghik_complete,cghik_total_latency_ns,cghik_total_fev,cghik_reject_count,cghik_defer_count,cghik_fallback_count,cghik_first_failure_frame,cghik_first_failure_reason,saved_latency_ns
panda,544eeca8e038547972080dfdc537335e2c85994ae948b35a1c679f7b7979771b,regular_near_singular_regular,neither_complete,150,False,6416989366,14175,0,0,61,89,all_cascade_stages_failed,False,1066623727,1663,53,3,8,89,all_cascade_stages_failed,5350365639
panda,5d2e1c069f231273d706677a33932bd7d02cdfdde89ac2e584236b5e56d8aa1b,regular_near_singular_regular,neither_complete,150,False,8050389801,9691,0,0,23,63,all_cascade_stages_failed,False,8138852821,9668,0,0,23,63,all_cascade_stages_failed,-88463020
panda,5dc527062f490951dde39d56bb3878c9af21b3b2e2eefc5f632360c89d2bffa0,slow_high_curvature_high_speed_slow,neither_complete,150,False,14860295067,23855,0,0,106,44,all_cascade_stages_failed,False,10614723815,17037,25,19,81,45,all_cascade_stages_failed,4245571252
panda,5f59426d613436e198261b86fb69e94f7ab021e9f3339eb5c907391bd0d5875e,slow_high_curvature_high_speed_slow,neither_complete,150,False,9341643479,18625,0,0,104,48,all_cascade_stages_failed,False,3454166902,6276,68,19,36,48,all_cascade_stages_failed,5887476577
panda,5f676e5a1212cddec7e46b691e415aa07af6497378a6cee6e0f0ce78b8ca8254,regular_near_singular_regular,both_complete,150,True,258713831,378,0,0,0,,,True,280604593,350,0,0,0,,,-21890762
panda,62844ad52dd2ae6eb836c551b50d5311368a3367b949508f15dbea513b6a545a,slow_high_curvature_high_speed_slow,neither_complete,150,False,15011440330,23768,0,0,106,44,all_cascade_stages_failed,False,9478133155,14853,43,51,63,44,all_cascade_stages_failed,5533307175
panda,634f1eb6ecb451c69fb65c7755caf0a9e24435a53abb1adde5bd8b8b3b23b59d,slow_high_curvature_high_speed_slow,neither_complete,150,False,10538822438,17408,0,0,85,65,all_cascade_stages_failed,False,2726655975,4844,60,23,25,65,all_cascade_stages_failed,7812166463
panda,69a0ac329e376c3524db7219af47a874be6ce628f9102ac8f96b9599aa93a721,slow_high_curvature_high_speed_slow,neither_complete,150,False,8615365946,17971,0,0,105,45,all_cascade_stages_failed,False,4453621728,8489,60,38,45,45,all_cascade_stages_failed,4161744218
panda,69a24bbf4d0e07f2687e8eac08e774a78e0553a93d56f523fa9c66b0e4eee108,smooth_fast_orientation_smooth,both_complete,150,True,256569095,440,0,0,0,,,True,287819110,446,0,0,0,,,-31250015
panda,6b25e9d7c0f303cde20595717aaa5d4d903b582400b09c4aeaad2d56fe704d34,slow_high_curvature_high_speed_slow,neither_complete,150,False,11801916676,21317,0,0,103,48,all_cascade_stages_failed,False,4059007308,5668,80,15,23,48,all_cascade_stages_failed,7742909368
panda,707a2f5143d42c2d3ce8840cd491699893617a5ec9ecb03e210180c291c3fedc,central_joint_limit_skim_return,both_complete,150,True,261346258,368,0,0,0,,,True,297035207,380,0,0,0,,,-35688949
panda,757ea66c5b723017e186e1f84e47a632c04669d669f6ce23eb803afbc88fea65,smooth_fast_orientation_smooth,neither_complete,150,False,5003841432,10354,0,0,67,84,all_cascade_stages_failed,False,5063936253,10431,0,9,67,84,all_cascade_stages_failed,-60094821
panda,7c1825b1ad4a6ba7327d1491ddef7a9ae1de0e2ec6f907f88580bfa1ac9598de,slow_high_curvature_high_speed_slow,neither_complete,150,False,36822736356,42775,0,0,105,45,all_cascade_stages_failed,False,20287641002,23470,48,28,57,45,all_cascade_stages_failed,16535095354
panda,7decddd54cd433a536a6cce2b1191d454f322d347c5c0c6d4b9036f2e26bd0b0,regular_near_singular_regular,both_complete,150,True,231834852,372,0,0,0,,,True,258083966,342,0,0,0,,,-26249114
panda,85fc21d2a9583bfad2c8b0915ed9e5b91acdcb123ce47d80f269b2979d2956f6,slow_high_curvature_high_speed_slow,neither_complete,150,False,10319970498,19008,0,0,109,41,all_cascade_stages_failed,False,5152204935,9659,54,32,55,41,all_cascade_stages_failed,5167765563
panda,86f578cdf50bc675ad41e1791dca277b021bd75028b62da7acca1981b6ab04bf,central_joint_limit_skim_return,both_complete,150,True,239332061,406,0,0,0,,,True,263420768,378,0,0,0,,,-24088707
panda,889cac02e7ff297013e792520ac1ee1e4e9d04190fe1610dc38fade57e955adb,regular_near_singular_regular,neither_complete,150,False,4795898858,6544,0,0,23,63,all_cascade_stages_failed,False,4849169784,6588,0,0,23,63,all_cascade_stages_failed,-53270926
panda,895fd97fe7f9a46ed63c5c76290570ea253b1033192b4f593821711befb09626,regular_near_singular_regular,neither_complete,150,False,7753128397,16010,0,0,60,90,all_cascade_stages_failed,False,919875856,1480,54,3,7,89,all_cascade_stages_failed,6833252541
panda,89909d5fb6290b56dd48e29f31747018bf4a5b8b2f0398f4b928ee7392971907,regular_near_singular_regular,both_complete,150,True,228567656,338,0,0,0,,,True,259763606,346,0,0,0,,,-31195950
panda,8c2ace93e4467d4c84bc6888b72d1fc39bc33511f01a9f435295c2bed80cf5c6,smooth_fast_orientation_smooth,both_complete,150,True,258543072,436,0,0,0,,,True,294535437,448,0,0,0,,,-35992365
panda,8cfc1b0222a7918c80b9d845cd6eb2f0ca823895afe39ebd32595bdfdadb9f5f,regular_near_singular_regular,both_complete,150,True,237625829,398,0,0,0,,,True,260150421,358,0,0,0,,,-22524592
panda,956f42c9db82ddc2f49190619eb1c2030d15abd7fb3bad6be0451300b21ce307,central_joint_limit_skim_return,both_complete,150,True,265780512,372,0,0,0,,,True,295280062,366,0,0,0,,,-29499550
panda,9660b4cff2e30153fec7134fb7d2109854999c0ba6be337c744972960711c9b5,smooth_fast_orientation_smooth,both_complete,150,True,246031134,438,0,0,0,,,True,274110129,432,0,0,0,,,-28078995
panda,a091b65783ee2cebf6a448786f9ce611db9140df6cc62066864f923a8e887d09,smooth_fast_orientation_smooth,both_complete,150,True,246864894,448,0,0,0,,,True,276175807,448,0,0,0,,,-29310913
panda,a475b5a44fc90ffa22142c98b799d655567f79f44c0899aa2bf8ac799d0df123,regular_near_singular_regular,both_complete,150,True,231932956,368,0,0,0,,,True,257986749,348,0,0,0,,,-26053793
panda,a4af1d5e086481cbee929c068e9208ffbfd2690500b80029f915db9c20cbc32b,central_joint_limit_skim_return,both_complete,150,True,236004874,368,0,0,0,,,True,267805561,378,0,0,0,,,-31800687
panda,a5385987a10084550c7a1801b42d769f6f5e724cc859b8d63b12ee0319be919f,smooth_fast_orientation_smooth,both_complete,150,True,268146297,448,0,0,0,,,True,299836171,448,0,0,0,,,-31689874
panda,a62ea32b8d7e9bc570b1992cce51d7bf1c4d2aa435513fecc09a997f8f05eedb,smooth_fast_orientation_smooth,neither_complete,150,False,7911446004,14837,0,0,83,67,all_cascade_stages_failed,False,1731274004,2723,70,7,13,67,all_cascade_stages_failed,6180172000
panda,aa505275e5e9c9017a3ddde007bef4848e449fc3bd1d0ef5c5128226e76872ba,smooth_fast_orientation_smooth,both_complete,150,True,245941692,448,0,0,0,,,True,276001361,448,0,0,0,,,-30059669
