robot,method,uid,family,latency,latency_samples_ns,success,fev,deadline,all_success
panda,trac_ik_5ms,be8bd35db82ded03cf72d10f6e93aaaaee63612a1f04ec422e38db9f73ff149f,local,284932.6666666667,"[393702, 244008, 217088]",1.0,,1.0,True
panda,trac_ik_5ms,beae676a77fbeb0a12ee8394f5f829a46ddf0ca1513d797d5fdf2a44821d0cc6,constructed_inexecutable,5153699.333333333,"[5165646, 5170600, 5124852]",0.0,,0.0,False
panda,trac_ik_5ms,bebd985833dcf88429eef89d42b848ecba16c64e94293f7df43185d1cfe2860d,hard_feasible,215774.33333333334,"[188823, 226324, 232176]",1.0,,1.0,True
panda,trac_ik_5ms,bee7437ab79c71257b6d9b19764756775322d14b3177c5e0198bf651b2698d95,near_singular,288002.0,"[326674, 332738, 204594]",1.0,,1.0,True
panda,trac_ik_5ms,beedfde3de9a012edf7012c82774cf218531fe15854645df99852fc17ae155ea,local,211210.0,"[199289, 208566, 225775]",1.0,,1.0,True
panda,trac_ik_5ms,befef51d173240a9a59ce8844950aef933848eed088c16e40f9896b420f43df3,near_singular,235546.0,"[208416, 279730, 218492]",1.0,,1.0,True
panda,trac_ik_5ms,bf3816195d30ccc5bb5c4f82e439f69e14a8098ff4fb25f12a67e6a02fcf59fc,near_limit,228239.0,"[240914, 229268, 214535]",1.0,,1.0,True
panda,trac_ik_5ms,bf382acd5be51a548e74ff10967b59dc5fac73b9c6bd3f7486dccf9065a14b6e,near_limit,204183.0,"[194607, 200749, 217193]",1.0,,1.0,True
panda,trac_ik_5ms,bf4605f43f1b3dab26d54ecc9c369ee40f970214dca55077a98945dc1bc8f285,near_singular,238400.33333333334,"[246501, 212198, 256502]",1.0,,1.0,True
panda,trac_ik_5ms,bf4e8374f1b1548dd84fec10ad7cf8c43bdc0473dd8e0b825a478bd76a01d68f,local,184547.33333333334,"[194272, 183865, 175505]",1.0,,1.0,True
panda,trac_ik_5ms,bf4f43522a1cb2a86b56380c83197832eac71320ed30464a07fc18dac5f52fb9,constructed_inexecutable,5169858.666666667,"[5203116, 5165526, 5140934]",0.0,,0.0,False
panda,trac_ik_5ms,bf520575e8844cd20d5d78e901829a245bb695f5874d5d7fd63915e9dd687725,constructed_inexecutable,5176337.333333333,"[5162239, 5226169, 5140604]",0.0,,0.0,False
panda,trac_ik_5ms,bf74f895c09e976139518b36bbe6c5c80a6e707a24868083dcb83dfe950cd592,near_singular,263449.0,"[260268, 282086, 247993]",1.0,,1.0,True
