robot,method,uid,family,complete,deadline_complete,first_failure_frame,first_failure_reason,total_fev,calls,verified_success_rate,accepted_within_20ms_rate,accepted_contract_violations,total_latency_ns,p50_ms,p95_ms,p99_ms,mean_fev,reject_count,defer_count,fallback_count,fallback_rate,route_counts,accepted_position_error_median,accepted_position_error_max,accepted_orientation_error_median,accepted_orientation_error_max,accepted_max_joint_step_median,accepted_max_joint_step_max,accepted_max_velocity_utilization_median,accepted_max_velocity_utilization_max
panda,full_cghik,d13cc08f12e083b576378a71eba2a5f5856319a74339c4d99b24a4e6647cfc6e,near_singular,False,False,84,all_cascade_stages_failed;,22037,150,0.56,0.5533333333333333,0,11996015550,2.196339,220.33248855,227.97724606999998,146.91333333333333,0,28,67,0.44666666666666666,"{""easy"": 88, ""hard"": 34, ""defer"": 28}",0.00018153261087709618,0.0009959552353836399,0.00040562386497133905,0.002215627972369287,0.004099785241141074,0.005296343346388177,0.07853994714829644,0.1014625162143329
panda,full_cghik,da20b2b25ac9a389be9295f63dcfa8c444c94113e0558be150872f4c43627277,near_singular,True,True,,,320,150,1.0,1.0,0,265675677,1.8544874999999998,2.162104299999999,2.5210185,2.1333333333333333,0,0,0,0.0,"{""easy"": 150}",0.00012988283124486312,0.000998940886582193,0.0006804621054796174,0.008676025839539631,0.0038881831078860785,0.008343963571815216,0.07448626643459921,0.18794713664633403
panda,full_cghik,db1a5c4a0d98ad7288728c34f5d39dc948e7bd7bad6b2da639465670b982818f,smooth,True,True,,,450,150,1.0,1.0,0,284486615,1.8671289999999998,2.0312254,2.5153195699999995,3.0,0,0,0,0.0,"{""easy"": 150}",3.811143681540737e-05,6.891492575338648e-05,7.597307191485554e-05,0.00014120665781942486,0.012443361210634385,0.015644325852885332,0.24454980254306272,0.3596396747789732
panda,full_cghik,e9de7aaa53eb993d3857d6e821968329e56139b031824d10b5eaa66f039f36da,joint_limit_return,True,True,,,444,150,1.0,1.0,0,287951689,1.8740454999999998,2.2564641999999995,2.49367015,2.96,0,0,0,0.0,"{""easy"": 150}",4.065485623189331e-05,0.000994292365636,3.285666139518345e-05,0.008386168777480895,0.008782329497137087,0.01632467382675795,0.19640515068058145,0.3127332150719914
panda,full_cghik,f69a8f1f6eef07cefc66000053424135c5ec7250cc78d7cb2319c6615f8a8060,near_singular,False,False,96,all_cascade_stages_failed;,7549,150,0.64,0.6333333333333333,0,5569744078,1.8682755,236.1695868499999,336.15545677999995,50.32666666666667,31,8,24,0.16,"{""easy"": 98, ""hard"": 13, ""defer"": 8, ""reject"": 31}",2.4480877174703823e-05,0.0009829120866916383,2.392770046613814e-05,0.001602346009234885,0.005928138691407375,0.018274758544045477,0.13627905037718105,0.42010939181713747
panda,full_cghik,ff235ebe880a8fd2a8a604c2dd4d00beac26fbe8177e4a1e1072cf77a2dd823e,high_curvature,True,True,,,450,150,1.0,1.0,0,294184800,1.8854825,2.25415385,2.62460112,3.0,0,0,0,0.0,"{""easy"": 136, ""hard"": 14}",9.91821738263631e-05,0.00033301361522255525,0.00011113016462303566,0.0005254105322378136,0.01598984367812517,0.03429136519547993,0.36368369778827137,0.7883072458731019
panda,routing_only,015b2a9550b915f50de67866affc641a8c02febdba83c4bc0843b14065dd6cdb,high_curvature,True,True,,,450,150,1.0,1.0,0,293304152,1.898993,2.249584449999998,2.5640354799999985,3.0,0,0,0,0.0,"{""hard"": 14, ""easy"": 136}",6.0818202199913666e-05,0.0002575989072616109,0.0001414834919809576,0.0004087433797148677,0.01615467911370111,0.03728606321540129,0.3327097052812187,0.7142923987624769
panda,routing_only,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,near_singular,False,False,120,all_cascade_stages_failed;,2786,150,0.9733333333333334,0.9533333333333334,0,1926547492,1.8780325,3.5833969499999663,336.6941165499996,18.573333333333334,0,0,7,0.04666666666666667,"{""easy"": 150}",3.740779129881606e-05,0.0009994597961573335,3.7359397938895885e-05,0.0014287766899149397,0.0048324552073633065,0.043211664666475746,0.09346689994294893,0.9933716015281782
panda,routing_only,100ac373815a5ca7879f62db521685ee32699dd030cce5388785892a86b10ebd,joint_limit_return,True,True,,,450,150,1.0,1.0,0,286048293,1.8833615,2.0670056499999996,2.2116761799999995,3.0,0,0,0,0.0,"{""easy"": 150}",6.573002614434145e-05,0.00023265728717745878,7.545104581998269e-05,0.0002331735106706988,0.011145634622357625,0.017950058285542525,0.25293859535159957,0.4126450180584489
panda,routing_only,22d36ab68a9556613bd7f83e220ecafe8f866f42964bdb6c698c8b6c6ee1c2e8,high_curvature,True,True,,,450,150,1.0,1.0,0,288472197,1.8756315,2.150281349999998,2.4879286599999997,3.0,0,0,0,0.0,"{""hard"": 145, ""easy"": 4, ""medium"": 1}",5.8295092001196724e-05,0.0003067934860031023,7.768462266474183e-05,0.00028033567671533675,0.012548704779026143,0.022082068672894306,0.28086996129332326,0.46976291579079127
