robot,uid,family,selection_fold,preferred_entry,preference_stable,heldout_selected_mean_ms,heldout_selected_p95_ms,heldout_selected_success,heldout_hard_mean_ms,heldout_hard_p95_ms,heldout_hard_success,full_measurement_entry_p95_range_ms,full_measurement_entry_mean_range_ms,within_entry_median_absolute_deviation_ms
panda,0535f3141fbafe2e1f6cf505ba39e8fdf7bdefff831714b7ec12da6a9129d275,hard_feasible,1,forced_hard,True,2.006736,2.404813,1.0,2.006736,2.404813,1.0,1.0657039000000004,1.1272549,0.08356799999999986
panda,058435719bae7d78972b1d5480e3a7d0f66cf6a42f21157a3cf036aba03d9d8e,local,0,forced_easy,True,1.4368894,1.5310152,1.0,1.5733836,2.0759586,1.0,0.49771075,0.10370020000000024,0.01849774999999987
panda,058435719bae7d78972b1d5480e3a7d0f66cf6a42f21157a3cf036aba03d9d8e,local,1,forced_easy,True,1.4296102,1.5985318,1.0,1.4859806,1.766382,1.0,0.49771075,0.10370020000000024,0.01849774999999987
panda,0643c131dbb2d5f6b936a705b858f4bde520e268e8a5fcefd6f80e0470b6a1ec,near_limit,0,forced_hard,False,1.5840994,2.0569661999999997,1.0,1.5840994,2.0569661999999997,1.0,0.18413614999999983,0.07289550000000045,0.09866500000000022
panda,0643c131dbb2d5f6b936a705b858f4bde520e268e8a5fcefd6f80e0470b6a1ec,near_limit,1,forced_easy,False,1.7662717999999997,2.1256855999999997,1.0,1.4882031999999998,1.6729441999999999,1.0,0.18413614999999983,0.07289550000000045,0.09866500000000022
panda,07f6d33f3baa4f168189ffeff38d849590fcc78af814b3fcf52a1cd46c65b43a,near_singular,0,forced_medium,False,1.5390679999999999,1.9907444,1.0,1.4932508,1.6962808,1.0,0.5898830999999993,0.1626778000000002,0.025520499999999946
panda,07f6d33f3baa4f168189ffeff38d849590fcc78af814b3fcf52a1cd46c65b43a,near_singular,1,forced_hard,False,1.4855956,1.7812194,1.0,1.4855956,1.7812194,1.0,0.5898830999999993,0.1626778000000002,0.025520499999999946
panda,080ebac65c14a7d5eb16eac35bad0c44bcf4413ff9d61247331ad6e03d506da2,hard_feasible,0,no_successful_entry,True,,,,221.9866186,222.7031166,0.0,1.391477750000007,0.20199479999999426,0.5268442499999964
panda,080ebac65c14a7d5eb16eac35bad0c44bcf4413ff9d61247331ad6e03d506da2,hard_feasible,1,no_successful_entry,True,,,,222.23186499999997,224.2547312,0.0,1.391477750000007,0.20199479999999426,0.5268442499999964
panda,0846b2d1c62289852772d2824d1f4706c8d4cce327d8a07db064d0543ac467f5,local,0,forced_medium,False,1.4918217999999999,1.5999006,1.0,1.4105402000000002,1.4914828,1.0,0.19637249999999984,0.017504299999999917,0.041715999999999864
panda,0846b2d1c62289852772d2824d1f4706c8d4cce327d8a07db064d0543ac467f5,local,1,forced_hard,False,1.5096602000000001,1.8483736,1.0,1.5096602000000001,1.8483736,1.0,0.19637249999999984,0.017504299999999917,0.041715999999999864
panda,08c1c78cdb025737727905c3380069615acb7998e59b27f2d7b91ad5bfb1d850,near_limit,0,forced_hard,False,1.527868,1.6887416,1.0,1.527868,1.6887416,1.0,0.32410819999999996,0.07977129999999999,0.07305725000000007
panda,08c1c78cdb025737727905c3380069615acb7998e59b27f2d7b91ad5bfb1d850,near_limit,1,forced_medium,False,1.5857126,1.7432636000000001,1.0,1.4426868,1.5732747999999999,1.0,0.32410819999999996,0.07977129999999999,0.07305725000000007
panda,08c6093a66fc4fedc5fa672bac888fc7b287e934a3592a781bd662044759a5e4,local,0,forced_medium,False,1.4979582,1.824547,1.0,1.49205,1.7370789999999998,1.0,0.14263234999999996,0.030082000000000164,0.011570500000000039
panda,08c6093a66fc4fedc5fa672bac888fc7b287e934a3592a781bd662044759a5e4,local,1,forced_easy,False,1.5720876,1.969252,1.0,1.459829,1.684734,1.0,0.14263234999999996,0.030082000000000164,0.011570500000000039
panda,092502b148d0c8e27d24ccd5f5b37619dde44bda7e63eb7aaf45a0ca5727b2a4,local,0,forced_hard,False,1.5097594,1.8095808,1.0,1.5097594,1.8095808,1.0,0.44901854999999946,0.0733862999999999,0.025651749999999862
panda,092502b148d0c8e27d24ccd5f5b37619dde44bda7e63eb7aaf45a0ca5727b2a4,local,1,forced_medium,False,1.4921204,1.5214788,1.0,1.3682488000000002,1.3779908,1.0,0.44901854999999946,0.0733862999999999,0.025651749999999862
panda,09269c53803294b626ac80c754ff696afaa28f9236ce8541170eb9a78f646e46,local,0,forced_hard,False,1.5337291999999998,1.9499307999999997,1.0,1.5337291999999998,1.9499307999999997,1.0,0.23590350000000027,0.11571649999999978,0.06826549999999998
