robot,subset,method,query_count,calls,verified_success_rate,accepted_within_20ms_rate,accepted_contract_violations,total_latency_ns,p50_ms,p95_ms,p99_ms,mean_fev,reject_count,defer_count,fallback_count,fallback_rate,route_counts,accepted_position_error_median,accepted_position_error_max,accepted_orientation_error_median,accepted_orientation_error_max,accepted_max_joint_step_median,accepted_max_joint_step_max,accepted_max_velocity_utilization_median,accepted_max_velocity_utilization_max,witness_false_reject_rate,all_repeats_success_query_count
ur5e,hard_feasible,reject_only_hard,500,1500,1.0,1.0,0,3596166211,2.081805,3.7375255999999983,8.344925309999999,5.218,0,0,66,0.044,"{""hard"": 1500}",1.8445005395102324e-05,0.000999554396634228,1.758847071391438e-05,0.007522974292617206,0.05366278332422891,0.06263394359136232,0.8540697226120362,0.9968501727904252,0.0,500
ur5e,hard_feasible,routing_only,500,1500,1.0,1.0,0,3586622777,2.08974,3.7176509999999983,8.061121869999997,5.218,0,0,66,0.044,"{""hard"": 1500}",1.8445005395102324e-05,0.000999554396634228,1.758847071391438e-05,0.007522974292617206,0.05366278332422891,0.06263394359136232,0.8540697226120362,0.9968501727904252,0.0,500
ur5e,hard_feasible,trac_ik_100ms,500,1500,1.0,1.0,0,354738759,0.22009050000000002,0.3487754,0.40922985999999995,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",2.1321191321336436e-07,1.307275391320438e-05,1.0062502279983727e-07,1.2658810239162135e-05,0.05304741577831118,0.06253551661914658,0.8442758439369227,0.9952836588742549,0.0,500
ur5e,hard_feasible,trac_ik_20ms,500,1500,1.0,1.0,0,355183813,0.21903899999999998,0.3479740499999999,0.42173984,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",2.1321191321336436e-07,1.307275391320438e-05,1.0062502279983727e-07,1.2658810239162135e-05,0.05304741577831118,0.06253551661914658,0.8442758439369227,0.9952836588742549,0.0,500
ur5e,hard_feasible,trac_ik_400ms,500,1500,1.0,1.0,0,354285590,0.21902349999999998,0.35544419999999993,0.42318374,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",2.2979476001188321e-07,1.307275391320438e-05,1.1949518688042189e-07,1.2658810239162135e-05,0.05304741577831118,0.06253551661914658,0.8442758439369227,0.9952836588742549,0.0,500
ur5e,hard_feasible,trac_ik_5ms,500,1500,1.0,1.0,0,353999875,0.21960400000000002,0.35119815,0.42788452,,0,0,0,0.0,"{""trac_ik_speed"": 1500}",2.1321191321336436e-07,1.307275391320438e-05,1.0062502279983727e-07,1.2658810239162135e-05,0.05304741577831118,0.06253551661914658,0.8442758439369227,0.9952836588742549,0.0,500
ur5e,local,always_hard,1000,3000,1.0,1.0,0,4272260445,1.3314995,1.8624598499999994,2.8622260599999945,3.002,0,0,0,0.0,"{""hard"": 3000}",8.192204584385031e-05,0.000990114675701358,0.00014064067906447382,0.008316761679999956,0.0181606826569502,0.05863964251341347,0.28903624147768797,0.9332788967151406,0.0,1000
ur5e,local,full_cghik,1000,3000,1.0,1.0,0,5608147833,1.7748615,2.3375288,3.158784149999998,3.008,0,0,0,0.0,"{""hard"": 1674, ""easy"": 1323, ""medium"": 3}",8.415109784201897e-05,0.000990114675701358,0.00014182975563138223,0.008316761679999956,0.018159985078552765,0.05863964251341347,0.28902513917267336,0.9332788967151406,0.0,1000
ur5e,local,geometry_threshold,1000,3000,1.0,1.0,0,5593690228,1.7713839999999998,2.2937798499999986,3.1468533699999957,3.012,0,0,0,0.0,"{""hard"": 2292, ""easy"": 708}",8.005204306146257e-05,0.0009859707104851617,0.00013776897818686964,0.0061439637428280895,0.0181606826569502,0.05863964251341347,0.28903624147768797,0.9332788967151406,0.0,1000
ur5e,local,p50_selection,1000,3000,1.0,1.0,0,5601028581,1.7766125,2.2950580499999997,3.275409049999997,3.028,0,0,0,0.0,"{""easy"": 2784, ""hard"": 216}",8.425809390531074e-05,0.0009859707104851617,0.00014409128780005365,0.0061439637428280895,0.018158271117317604,0.05863964251341347,0.28899786063238897,0.9332788967151406,0.0,1000
