robot,workload,uid,family,frame,repeat,same_complete_query,routing_only_accepted,same_query_verified_rescue,original_point_witness,full_latency_ns,routing_only_latency_ns
panda,points,7aa3171602af806af7f460624135cf25e615d1f28aded5889ae45844b9f4bf84,constructed_inexecutable,0,0,True,False,False,False,1386996,297106669
panda,points,7aa3171602af806af7f460624135cf25e615d1f28aded5889ae45844b9f4bf84,constructed_inexecutable,0,1,True,False,False,False,1589300,296094689
panda,points,7aa3171602af806af7f460624135cf25e615d1f28aded5889ae45844b9f4bf84,constructed_inexecutable,0,2,True,False,False,False,1480480,295226608
panda,points,aa10abd4bd070817c1ced46fb35814e5a7166859782ecbd9e6bf846b38f27928,constructed_inexecutable,0,0,True,False,False,False,1908384,293236019
panda,points,aa10abd4bd070817c1ced46fb35814e5a7166859782ecbd9e6bf846b38f27928,constructed_inexecutable,0,1,True,False,False,False,1367251,291521992
panda,points,aa10abd4bd070817c1ced46fb35814e5a7166859782ecbd9e6bf846b38f27928,constructed_inexecutable,0,2,True,False,False,False,1469077,288155519
panda,points,7726a2bf817fb5d38c22f6c2309dd480f057ab107a3227916b02b3ffb4cf7db8,constructed_inexecutable,0,0,True,False,False,False,1854637,291512046
panda,points,7726a2bf817fb5d38c22f6c2309dd480f057ab107a3227916b02b3ffb4cf7db8,constructed_inexecutable,0,1,True,False,False,False,3078613,294410283
panda,points,7726a2bf817fb5d38c22f6c2309dd480f057ab107a3227916b02b3ffb4cf7db8,constructed_inexecutable,0,2,True,False,False,False,1969838,287418474
panda,points,e002456af614022b7e170bf54700a2cd66c88cbde156975a6968a7912eedb26e,constructed_inexecutable,0,0,True,False,False,False,1652135,309607254
panda,points,e002456af614022b7e170bf54700a2cd66c88cbde156975a6968a7912eedb26e,constructed_inexecutable,0,1,True,False,False,False,1340940,311872925
panda,points,e002456af614022b7e170bf54700a2cd66c88cbde156975a6968a7912eedb26e,constructed_inexecutable,0,2,True,False,False,False,1575636,306434741
panda,points,e2e8c7ce3faaf63a69de44d04ca98ed27442427381595e8ac1e77eb38b16abf1,constructed_inexecutable,0,0,True,False,False,False,2195243,300519282
panda,points,e2e8c7ce3faaf63a69de44d04ca98ed27442427381595e8ac1e77eb38b16abf1,constructed_inexecutable,0,1,True,False,False,False,1536222,298236822
panda,points,e2e8c7ce3faaf63a69de44d04ca98ed27442427381595e8ac1e77eb38b16abf1,constructed_inexecutable,0,2,True,False,False,False,1802533,301362440
panda,points,8c11dc15f4107cb87a5afa895976911da300a9cb20b93004fc246f7e48b7c419,constructed_inexecutable,0,0,True,False,False,False,1372183,302426941
panda,points,8c11dc15f4107cb87a5afa895976911da300a9cb20b93004fc246f7e48b7c419,constructed_inexecutable,0,1,True,False,False,False,1441592,305283028
panda,points,8c11dc15f4107cb87a5afa895976911da300a9cb20b93004fc246f7e48b7c419,constructed_inexecutable,0,2,True,False,False,False,1601923,300692173
panda,points,a90f3806b80166aaf61d65c249e65083f96d8989994591ed09956b8a67b78845,constructed_inexecutable,0,0,True,False,False,False,1287927,298733939
panda,points,a90f3806b80166aaf61d65c249e65083f96d8989994591ed09956b8a67b78845,constructed_inexecutable,0,1,True,False,False,False,1632557,301637714
panda,points,a90f3806b80166aaf61d65c249e65083f96d8989994591ed09956b8a67b78845,constructed_inexecutable,0,2,True,False,False,False,1407661,299266439
panda,points,ca89e6793186eca87d8ec873b97f6af441354bccbaff4027b41d2db1e48af847,constructed_inexecutable,0,0,True,False,False,False,1547075,300145745
panda,points,ca89e6793186eca87d8ec873b97f6af441354bccbaff4027b41d2db1e48af847,constructed_inexecutable,0,1,True,False,False,False,1414191,300992763
panda,points,ca89e6793186eca87d8ec873b97f6af441354bccbaff4027b41d2db1e48af847,constructed_inexecutable,0,2,True,False,False,False,1490382,300419360
panda,points,d2a63671830c5a53ab6228bea4ccb85619127877e992f0b0c172843f5c4508a0,constructed_inexecutable,0,0,True,False,False,False,1946258,246533864
panda,points,d2a63671830c5a53ab6228bea4ccb85619127877e992f0b0c172843f5c4508a0,constructed_inexecutable,0,1,True,False,False,False,2711036,246488490
panda,points,d2a63671830c5a53ab6228bea4ccb85619127877e992f0b0c172843f5c4508a0,constructed_inexecutable,0,2,True,False,False,False,1969539,244991985
panda,points,e72e3c5108bf33f5efb40667f773b477e8d1bbcfd96b4090dd25c1134db11691,constructed_inexecutable,0,0,True,False,False,False,1505984,309287687
panda,points,e72e3c5108bf33f5efb40667f773b477e8d1bbcfd96b4090dd25c1134db11691,constructed_inexecutable,0,1,True,False,False,False,1469725,308122877
panda,points,e72e3c5108bf33f5efb40667f773b477e8d1bbcfd96b4090dd25c1134db11691,constructed_inexecutable,0,2,True,False,False,False,1358555,307399465
panda,points,03179bada3325a9311c78732a6fc7658be410beb3009700f470593485373c9dd,constructed_inexecutable,0,0,True,False,False,False,1883175,303103301
panda,points,03179bada3325a9311c78732a6fc7658be410beb3009700f470593485373c9dd,constructed_inexecutable,0,1,True,False,False,False,1908856,302329077
panda,points,03179bada3325a9311c78732a6fc7658be410beb3009700f470593485373c9dd,constructed_inexecutable,0,2,True,False,False,False,1936555,302256518
panda,points,04c2fdc881f15bdc375fc3ba24f9c613ab291fca7a34104e94657ac734d8cb85,constructed_inexecutable,0,0,True,False,False,False,1927711,315716169
panda,points,04c2fdc881f15bdc375fc3ba24f9c613ab291fca7a34104e94657ac734d8cb85,constructed_inexecutable,0,1,True,False,False,False,1986972,313614020
panda,points,04c2fdc881f15bdc375fc3ba24f9c613ab291fca7a34104e94657ac734d8cb85,constructed_inexecutable,0,2,True,False,False,False,1976341,315079370
panda,points,7bf052edd02b63eb29e13d4989bc83d011a053f9f0a4dd4c4e728c6d16fe18ac,constructed_inexecutable,0,0,True,False,False,False,1976299,297094292
panda,points,7bf052edd02b63eb29e13d4989bc83d011a053f9f0a4dd4c4e728c6d16fe18ac,constructed_inexecutable,0,1,True,False,False,False,2295129,292956479
panda,points,7bf052edd02b63eb29e13d4989bc83d011a053f9f0a4dd4c4e728c6d16fe18ac,constructed_inexecutable,0,2,True,False,False,False,2081245,292999137
panda,points,a18721fadb55b7994d430e12d3d7fd0e069fed91137685fe455f7c584dd5480e,constructed_inexecutable,0,0,True,False,False,False,1936728,294335756
panda,points,a18721fadb55b7994d430e12d3d7fd0e069fed91137685fe455f7c584dd5480e,constructed_inexecutable,0,1,True,False,False,False,1919495,292274767
panda,points,a18721fadb55b7994d430e12d3d7fd0e069fed91137685fe455f7c584dd5480e,constructed_inexecutable,0,2,True,False,False,False,2475612,292581574
panda,points,6b12b9c2d81c492b774006c2193b1ce5b4030e553c03829dec8d5a5f07787082,constructed_inexecutable,0,0,True,False,False,False,1663211,300137023
panda,points,6b12b9c2d81c492b774006c2193b1ce5b4030e553c03829dec8d5a5f07787082,constructed_inexecutable,0,1,True,False,False,False,2004601,306742745
panda,points,6b12b9c2d81c492b774006c2193b1ce5b4030e553c03829dec8d5a5f07787082,constructed_inexecutable,0,2,True,False,False,False,2062421,299322816
panda,points,91735ff657f92ce2abd727e6d749f99b3d9df221bad3b1753ac0eab59cd3d57f,constructed_inexecutable,0,0,True,False,False,False,1834411,298764932
panda,points,91735ff657f92ce2abd727e6d749f99b3d9df221bad3b1753ac0eab59cd3d57f,constructed_inexecutable,0,1,True,False,False,False,1857340,302446076
panda,points,91735ff657f92ce2abd727e6d749f99b3d9df221bad3b1753ac0eab59cd3d57f,constructed_inexecutable,0,2,True,False,False,False,1842887,300446835
panda,points,dbff1cfe6daa8bf63bb330d7771d01743345efb0fb830a490459fdef0d7d5dc7,constructed_inexecutable,0,0,True,False,False,False,1728150,301586415
panda,points,dbff1cfe6daa8bf63bb330d7771d01743345efb0fb830a490459fdef0d7d5dc7,constructed_inexecutable,0,1,True,False,False,False,1566370,297272234
panda,points,dbff1cfe6daa8bf63bb330d7771d01743345efb0fb830a490459fdef0d7d5dc7,constructed_inexecutable,0,2,True,False,False,False,1553250,300445933
panda,points,fcb73fec72c06804eba1373e8e4481f55ca1ae106f179162c560981c350cec3a,constructed_inexecutable,0,0,True,False,False,False,1291546,288903016
panda,points,fcb73fec72c06804eba1373e8e4481f55ca1ae106f179162c560981c350cec3a,constructed_inexecutable,0,1,True,False,False,False,1655759,287496714
panda,points,fcb73fec72c06804eba1373e8e4481f55ca1ae106f179162c560981c350cec3a,constructed_inexecutable,0,2,True,False,False,False,1467984,287994888
panda,points,42fdcd7a6feb1d734a42be76173f92f3fec3f087c4890efee394c5b7fed025f3,constructed_inexecutable,0,0,True,False,False,False,1421289,309844747
panda,points,42fdcd7a6feb1d734a42be76173f92f3fec3f087c4890efee394c5b7fed025f3,constructed_inexecutable,0,1,True,False,False,False,1389531,305548051
