robot,method,reference,family,trajectory_count,lost_uids,gained_uids,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high,completion_difference,completion_difference_ci_low,completion_difference_ci_high,fev_ratio,fev_ratio_ci_low,fev_ratio_ci_high
panda,full_cghik,trac_ik_5ms,high_curvature,10,[],[],7.875349789776116,7.702512191698609,8.068549747571389,0.0,0.0,0.0,,,
ur5e,full_cghik,always_hard,all,40,[],[],1.0671265610603282,0.9262284003094542,1.285900064351058,0.0,0.0,0.0,0.9061865724754198,0.7859359096927784,1.002104757748096
ur5e,full_cghik,always_hard,smooth,10,[],[],0.8524335282438581,0.6779421371723797,1.3249098453520285,0.0,0.0,0.0,0.7379756967183293,0.5927750410509032,1.0
ur5e,full_cghik,always_hard,near_singular,10,[],[],1.1400413071926068,1.0638299933110584,1.335837673847777,0.0,0.0,0.0,1.0008210180623973,0.999548522531032,1.0056312251736605
ur5e,full_cghik,always_hard,joint_limit_return,10,[],[],1.2141926938928784,1.1313039050951736,1.319428099717996,0.0,0.0,0.0,1.0042587170614852,1.0,1.0070890562693842
ur5e,full_cghik,always_hard,high_curvature,10,[],[],1.319874387943176,1.3102604029651947,1.3291206052101172,0.0,0.0,0.0,1.0,0.9986678360042074,1.0013345195729537
ur5e,routing_only,always_hard,all,40,[],[],1.1704863649052786,1.1156750852825283,1.2881898118713386,0.0,0.0,0.0,1.0124943986082189,1.0004551458667061,1.0235842978128586
ur5e,routing_only,always_hard,smooth,10,[],[],1.1177079283715121,1.0676754361172998,1.3250186061999438,0.0,0.0,0.0,1.031434184675835,1.0,1.0389701305278087
ur5e,routing_only,always_hard,near_singular,10,[],[],1.1411772045139144,1.065262001366255,1.3353682395895572,0.0,0.0,0.0,1.0008210180623973,0.999548522531032,1.0056312251736605
ur5e,routing_only,always_hard,joint_limit_return,10,[],[],1.2196024008063553,1.1361769759667137,1.3268527634159295,0.0,0.0,0.0,1.0042587170614852,1.0,1.0070890562693842
ur5e,routing_only,always_hard,high_curvature,10,[],[],1.3208125685637595,1.3124290220145725,1.3296296544306039,0.0,0.0,0.0,1.0,0.9986678360042074,1.0013345195729537
ur5e,full_cghik,routing_only,all,40,[],[],0.9116949953933767,0.807346939204297,0.9991184947859466,0.0,0.0,0.0,0.8950040353023874,0.7692611349188139,1.0
ur5e,full_cghik,routing_only,smooth,10,[],[],0.7626621468864806,0.6268810220759283,1.0022242433754718,0.0,0.0,0.0,0.7154850088183422,0.5715039577836412,1.0
ur5e,full_cghik,routing_only,near_singular,10,[],[],0.9990046266988033,0.9974411571803362,1.0013679741625383,0.0,0.0,0.0,1.0,1.0,1.0
ur5e,full_cghik,routing_only,joint_limit_return,10,[],[],0.9955643684286779,0.9926524463278669,0.9986237083535675,0.0,0.0,0.0,1.0,1.0,1.0
ur5e,full_cghik,routing_only,high_curvature,10,[],[],0.999289694357161,0.9938114181979877,1.0050975744423396,0.0,0.0,0.0,1.0,1.0,1.0
ur5e,full_cghik,trac_ik_5ms,all,40,"[""565ca2d11da9e478bf0a5fb8ea3def8782517e9cdbe5ac272bc2b53d30c9b9e5"", ""6d6460f826e39ee9ecd6de63b6337825c1f7b94e8503117de7d6ee6270ab29f7"", ""e261a0eb4483cd4c458ac888d348b3f26682b0f4b7fe2335b779a4457746f593""]",[],10.018786732327266,7.083124782236576,14.866092132205354,-0.075,-0.15,0.0,,,
ur5e,full_cghik,trac_ik_5ms,smooth,10,"[""565ca2d11da9e478bf0a5fb8ea3def8782517e9cdbe5ac272bc2b53d30c9b9e5"", ""6d6460f826e39ee9ecd6de63b6337825c1f7b94e8503117de7d6ee6270ab29f7""]",[],14.402744264909655,8.041958553677794,22.302232880467315,-0.2,-0.5,0.0,,,
ur5e,full_cghik,trac_ik_5ms,near_singular,10,"[""e261a0eb4483cd4c458ac888d348b3f26682b0f4b7fe2335b779a4457746f593""]",[],15.426078537292838,7.806635156430842,29.72773415470011,-0.1,-0.3,0.0,,,
ur5e,full_cghik,trac_ik_5ms,joint_limit_return,10,[],[],5.792842663982197,4.542817106322923,8.337936464704379,0.0,0.0,0.0,,,
ur5e,full_cghik,trac_ik_5ms,high_curvature,10,[],[],7.899782917010781,7.7879421073614745,8.018806334335558,0.0,0.0,0.0,,,
