robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,optimization_rate,command_change_rate,mean_intervention,all_nodes_verified_rate
panda,pink_qp,Pink QP-IK,all,40,3,"[37,37,37]",37.0,0.925,"[37,37,37]",0.925,0.9831666666666667,0.9831666666666667,1.0023245,1.0750548,1.4983687199999984,5586.569971666667,139.66424929166666,144.960531,153.59508035,0.0,0.0,0.00019646269395097397,0.0009854507257299875,0.0003938978506710354,0.008304875900969308,0.9999999999999997,4.204448743441598,0.08408897486883196,147.475,0,0.0,0.0,0.0,0.0
panda,tar_fixed,Same-core fixed compensation,all,40,3,"[37,36,37]",36.666666666666664,0.9166666666666666,"[36,34,36]",0.8833333333333334,0.9706111111111111,0.9703888888888889,4.346682,5.941137099999999,7.375533549999999,25571.494928333334,639.2873732083333,656.5033213333334,731.2734596333332,0.18683333333333335,0.7316111111111112,0.000528229980281104,0.000999781643736306,0.0018432070114726747,0.008169865079749766,0.9999999999999968,4.991617213321865,0.09983234426643732,145.58333333333334,0,0.9678333333333335,0.7837777777777778,0.011227546171937932,0.8032777777777779
panda,tar_free,TAR-IK free recourse,all,40,3,"[35,35,35]",35.0,0.875,"[33,34,34]",0.8416666666666666,0.9574444444444445,0.9572222222222223,4.4529535,7.055220149999999,7.575746079999987,26676.063168333334,666.9015792083334,670.444215,766.5182277166665,0.32650000000000007,0.5761666666666667,0.0009761656192555614,0.0009998789429241962,0.005694283660394448,0.008719443368220309,0.9999999999999981,5.520891665504132,0.11041783331008263,143.225,0,1.0,0.6304444444444444,0.02852087045313439,0.11077777777777774
panda,tar_nominal,Same-core nominal prediction,all,40,3,"[37,37,36]",36.666666666666664,0.9166666666666666,"[37,36,35]",0.9,0.9733333333333333,0.9732222222222222,1.7168295,2.484958899999998,6.2076745,11299.762717,282.49406792499997,271.52290466666665,412.86292619999983,0.05066666666666668,0.7806111111111113,0.0009635077507714083,0.0009999486732322818,0.003094281491687819,0.008299290088918568,0.9999999999999968,4.680289657303578,0.09360579314607156,145.56666666666666,0,0.9547222222222226,0.9224444444444446,0.028409768377125597,0.7483888888888889
panda,trac_task_20ms,TRAC-IK task 20 ms,all,40,3,"[37,37,38]",37.333333333333336,0.9333333333333333,"[36,37,38]",0.925,0.980388888888889,0.9803333333333332,0.1664085,0.2910433999999998,20.264413259999998,3528.099244333333,88.20248110833333,26.819506833333335,662.7306769833331,0.0,0.0,0.00039585276525628594,0.000952783623401273,0.0006712248162683425,0.008158949555772324,0.9999999999999968,4.19830286633487,0.08396605732669739,147.05833333333334,0,0.0,0.0,0.0,0.0
panda,trac_task_5ms,TRAC-IK task 5 ms,all,40,3,"[37,37,36]",36.666666666666664,0.9166666666666666,"[37,36,35]",0.9,0.9732222222222222,0.9731111111111111,0.166724,0.3139165999999999,5.238737979999999,1964.516102,49.11290255,26.7526545,189.24357484999993,0.0,0.0,0.000391721692301831,0.0009699419110723268,0.0006407619316837445,0.008059279240509998,0.9999999999999968,4.151163296754026,0.08302326593508053,145.98333333333332,0,0.0,0.0,0.0,0.0
ur5e,pink_qp,Pink QP-IK,all,40,3,"[38,38,38]",38.0,0.95,"[38,37,38]",0.9416666666666667,0.9876666666666668,0.9876111111111111,0.632509,0.6849905999999999,0.8761424099999978,3857.530041666667,96.43825104166667,95.58582433333333,99.27945801666665,0.0,0.0,0.0001299458951403319,0.0009991808999851898,0.0003204320227118717,0.005258969337769823,1.0,12.105647192445698,0.24211294384891394,146.25,0,0.0,0.0,0.0,0.0
ur5e,tar_fixed,Same-core fixed compensation,all,40,3,"[37,38,36]",37.0,0.925,"[37,37,35]",0.9083333333333334,0.9626666666666667,0.9625555555555555,4.102882,5.947877549999999,7.269466779999999,23364.370252666668,584.1092563166667,578.88391,711.3862213166666,0.42344444444444446,0.4808333333333333,0.0009686720621833154,0.000999727428418599,0.00644352562229559,0.008720548287938086,1.0,12.725427707700742,0.25450855415401485,144.4,0,0.9739444444444446,0.5392222222222222,0.023111976752236797,0.2141111111111111
ur5e,tar_free,TAR-IK free recourse,all,40,3,"[38,38,38]",38.0,0.95,"[38,37,35]",0.9166666666666666,0.9937777777777778,0.9935555555555555,4.1502425,5.32359855,7.013897509999997,24578.488026333333,614.4622006583334,620.0820115,670.9774539,0.21455555555555555,0.7133333333333334,0.0009789825580289726,0.000999972188935544,0.007587862162251866,0.008721920784034744,0.9999999999999998,12.12901527983246,0.2425803055966492,148.51666666666668,0,0.9999444444444445,0.7790555555555555,0.03553895996727029,0.15016666666666667
ur5e,tar_nominal,Same-core nominal prediction,all,40,3,"[39,37,38]",38.0,0.95,"[38,35,38]",0.925,0.9698333333333333,0.9696111111111111,1.6456935,1.9571184,6.192502289999999,10750.934998666666,268.77337496666667,252.47290900000002,342.9644203333332,0.04861111111111112,0.7544444444444446,0.000970529398193474,0.0009999869193931105,0.003717470699980921,0.008070256202147304,0.9999999999999976,11.714536625571506,0.23429073251143015,145.2,0,0.9536666666666668,0.9212222222222224,0.02669174419820072,0.6761111111111112
