robot,uid,method,family,group,correction_success,current_accepted,calls,total_reference_ns
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trac_task_20ms,smooth,mixed_inside,1.0,True,18,3387258
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trac_task_20ms,smooth,mixed_outside,1.0,True,18,3177984
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trac_task_20ms,smooth,nominal,1.0,True,3,540068
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trac_task_20ms,smooth,optimized_axis,1.0,True,36,7249969
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,pink_qp,smooth,actual_next,1.0,True,3,495808
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,pink_qp,smooth,mixed_inside,1.0,True,18,3512452
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,pink_qp,smooth,mixed_outside,1.0,True,18,3157285
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,pink_qp,smooth,nominal,1.0,True,3,632264
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,pink_qp,smooth,optimized_axis,1.0,True,36,8297106
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_nominal,smooth,actual_next,1.0,True,3,551575
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_nominal,smooth,mixed_inside,1.0,True,18,3482641
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_nominal,smooth,mixed_outside,1.0,True,18,3852750
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_nominal,smooth,nominal,1.0,True,3,564781
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_nominal,smooth,optimized_axis,1.0,True,36,6148157
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_fixed,smooth,actual_next,1.0,True,3,582774
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_fixed,smooth,mixed_inside,1.0,True,18,3237721
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_fixed,smooth,mixed_outside,1.0,True,18,3295866
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_fixed,smooth,nominal,1.0,True,3,707612
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_fixed,smooth,optimized_axis,1.0,True,36,6345153
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_free,smooth,actual_next,1.0,True,3,550229
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_free,smooth,mixed_inside,1.0,True,18,3120861
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_free,smooth,mixed_outside,1.0,True,18,3132255
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_free,smooth,nominal,1.0,True,3,628323
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,tar_free,smooth,optimized_axis,1.0,True,36,6456483
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_5ms,smooth,actual_next,1.0,True,3,812662
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_5ms,smooth,mixed_inside,1.0,True,18,4344956
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_5ms,smooth,mixed_outside,1.0,True,18,4410243
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_5ms,smooth,nominal,1.0,True,3,1795743
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_5ms,smooth,optimized_axis,1.0,True,36,8988177
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_20ms,smooth,actual_next,1.0,True,3,708215
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_20ms,smooth,mixed_inside,1.0,True,18,4903739
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_20ms,smooth,mixed_outside,1.0,True,18,4307171
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_20ms,smooth,nominal,1.0,True,3,737485
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trac_task_20ms,smooth,optimized_axis,1.0,True,36,8884855
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,pink_qp,smooth,actual_next,1.0,True,3,729243
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,pink_qp,smooth,mixed_inside,1.0,True,18,4310262
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,pink_qp,smooth,mixed_outside,1.0,True,18,5059753
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,pink_qp,smooth,nominal,1.0,True,3,839224
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,pink_qp,smooth,optimized_axis,1.0,True,36,57880051
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_nominal,smooth,actual_next,1.0,True,3,508568
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_nominal,smooth,mixed_inside,1.0,True,18,3339629
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_nominal,smooth,mixed_outside,1.0,True,18,3232856
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_nominal,smooth,nominal,1.0,True,3,595967
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_nominal,smooth,optimized_axis,1.0,True,36,6378004
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_fixed,smooth,actual_next,1.0,True,3,505423
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_fixed,smooth,mixed_inside,1.0,True,18,3247071
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_fixed,smooth,mixed_outside,1.0,True,18,3556858
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_fixed,smooth,nominal,1.0,True,3,628555
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_fixed,smooth,optimized_axis,1.0,True,36,6653264
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_free,smooth,actual_next,1.0,True,3,524888
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_free,smooth,mixed_inside,1.0,True,18,3165628
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_free,smooth,mixed_outside,1.0,True,18,3265242
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_free,smooth,nominal,1.0,True,3,620955
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,tar_free,smooth,optimized_axis,1.0,True,36,6690888
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_5ms,smooth,actual_next,1.0,True,3,558828
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_5ms,smooth,mixed_inside,1.0,True,18,3103415
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_5ms,smooth,mixed_outside,1.0,True,18,3482359
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_5ms,smooth,nominal,1.0,True,3,710179
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_5ms,smooth,optimized_axis,1.0,True,36,6516825
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_20ms,smooth,actual_next,1.0,True,3,499223
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_20ms,smooth,mixed_inside,1.0,True,18,3106522
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_20ms,smooth,mixed_outside,1.0,True,18,3157069
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_20ms,smooth,nominal,1.0,True,3,531422
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trac_task_20ms,smooth,optimized_axis,1.0,True,36,7845692
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,pink_qp,smooth,actual_next,1.0,True,3,516982
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,pink_qp,smooth,mixed_inside,1.0,True,18,3110047
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,pink_qp,smooth,mixed_outside,1.0,True,18,4514171
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,pink_qp,smooth,nominal,1.0,True,3,599654
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,pink_qp,smooth,optimized_axis,1.0,True,36,6425418
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_nominal,smooth,actual_next,1.0,True,3,537598
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_nominal,smooth,mixed_inside,1.0,True,18,3310626
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_nominal,smooth,mixed_outside,1.0,True,18,3322105
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_nominal,smooth,nominal,1.0,True,3,566645
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_nominal,smooth,optimized_axis,1.0,True,36,6254397
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_fixed,smooth,actual_next,1.0,True,3,537711
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_fixed,smooth,mixed_inside,1.0,True,18,3267182
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_fixed,smooth,mixed_outside,1.0,True,18,3578660
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_fixed,smooth,nominal,1.0,True,3,646370
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_fixed,smooth,optimized_axis,1.0,True,36,6485935
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_free,smooth,actual_next,1.0,True,3,515421
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_free,smooth,mixed_inside,1.0,True,18,3141830
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_free,smooth,mixed_outside,1.0,True,18,3180487
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_free,smooth,nominal,1.0,True,3,635650
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,tar_free,smooth,optimized_axis,1.0,True,36,6439412
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_5ms,smooth,actual_next,1.0,True,3,512380
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_5ms,smooth,mixed_inside,1.0,True,18,3777845
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_5ms,smooth,mixed_outside,1.0,True,18,3205973
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_5ms,smooth,nominal,1.0,True,3,596626
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_5ms,smooth,optimized_axis,1.0,True,36,6559152
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_20ms,smooth,actual_next,1.0,True,3,490301
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_20ms,smooth,mixed_inside,1.0,True,18,3428425
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_20ms,smooth,mixed_outside,1.0,True,18,3152564
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_20ms,smooth,nominal,1.0,True,3,543662
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trac_task_20ms,smooth,optimized_axis,1.0,True,36,6572310
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,pink_qp,smooth,actual_next,1.0,True,3,599599
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,pink_qp,smooth,mixed_inside,1.0,True,18,3152226
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,pink_qp,smooth,mixed_outside,1.0,True,18,4062965
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,pink_qp,smooth,nominal,1.0,True,3,895816
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,pink_qp,smooth,optimized_axis,1.0,True,36,6321285
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_nominal,smooth,actual_next,1.0,True,3,609225
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_nominal,smooth,mixed_inside,1.0,True,18,3422171
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_nominal,smooth,mixed_outside,1.0,True,18,3203042
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_nominal,smooth,nominal,1.0,True,3,608383
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_nominal,smooth,optimized_axis,1.0,True,36,6494128
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_fixed,smooth,actual_next,1.0,True,3,1874392
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_fixed,smooth,mixed_inside,1.0,True,18,3161049
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_fixed,smooth,mixed_outside,1.0,True,18,4531845
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_fixed,smooth,nominal,1.0,True,3,600574
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_fixed,smooth,optimized_axis,1.0,True,36,6636746
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_free,smooth,actual_next,1.0,True,3,545551
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_free,smooth,mixed_inside,1.0,True,18,3071077
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_free,smooth,mixed_outside,1.0,True,18,3425976
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_free,smooth,nominal,1.0,True,3,805551
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,tar_free,smooth,optimized_axis,1.0,True,36,6274153
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_5ms,smooth,actual_next,1.0,True,3,520911
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_5ms,smooth,mixed_inside,1.0,True,18,3075968
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_5ms,smooth,mixed_outside,1.0,True,18,3689500
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_5ms,smooth,nominal,1.0,True,3,686060
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_5ms,smooth,optimized_axis,1.0,True,36,6389528
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_20ms,smooth,actual_next,1.0,True,3,516902
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_20ms,smooth,mixed_inside,1.0,True,18,3725630
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_20ms,smooth,mixed_outside,1.0,True,18,3901177
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_20ms,smooth,nominal,1.0,True,3,510866
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trac_task_20ms,smooth,optimized_axis,1.0,True,36,10228304
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,pink_qp,smooth,actual_next,1.0,True,3,583850
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,pink_qp,smooth,mixed_inside,1.0,True,18,3557645
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,pink_qp,smooth,mixed_outside,1.0,True,18,4316881
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,pink_qp,smooth,nominal,1.0,True,3,635859
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,pink_qp,smooth,optimized_axis,1.0,True,36,7650883
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_nominal,smooth,actual_next,1.0,True,3,527152
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_nominal,smooth,mixed_inside,1.0,True,18,3377982
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_nominal,smooth,mixed_outside,1.0,True,18,3254971
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_nominal,smooth,nominal,1.0,True,3,620470
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_nominal,smooth,optimized_axis,1.0,True,36,7944199
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_fixed,smooth,actual_next,1.0,True,3,504555
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_fixed,smooth,mixed_inside,1.0,True,18,3024899
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_fixed,smooth,mixed_outside,1.0,True,18,3116342
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_fixed,smooth,nominal,1.0,True,3,625062
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_fixed,smooth,optimized_axis,1.0,True,36,6412150
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_free,smooth,actual_next,1.0,True,3,560902
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_free,smooth,mixed_inside,1.0,True,18,3577857
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_free,smooth,mixed_outside,1.0,True,18,3250151
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_free,smooth,nominal,1.0,True,3,571567
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,tar_free,smooth,optimized_axis,1.0,True,36,6442623
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trac_task_5ms,smooth,actual_next,1.0,True,3,605897
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trac_task_5ms,smooth,mixed_inside,1.0,True,18,3199522
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trac_task_5ms,smooth,mixed_outside,1.0,True,18,5839707
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trac_task_5ms,smooth,nominal,1.0,True,3,599489
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trac_task_5ms,smooth,optimized_axis,1.0,True,36,6598158
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trac_task_20ms,smooth,actual_next,1.0,True,3,731246
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trac_task_20ms,smooth,mixed_inside,1.0,True,18,5705797
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trac_task_20ms,smooth,mixed_outside,1.0,True,18,5215166
