panel_column,method,frame,repeat,accepted,selected_joint,state_q,position_error,orientation_error,velocity_margin_rad,candidate_id,failure_kind,raw_return_velocity_margin_rad
original,full_cghik,0,0,True,5,"[-1.5868546577525084, -0.6290177913810366, -1.6157562011453994, -0.10907552781285151, -0.1925311723973696, 2.859027136905126, 2.3329625607949014]",4.736129905238453e-05,8.485605106732368e-05,0.0436,,,
original,full_cghik,1,0,True,5,"[-1.5868546577525084, -0.6290177913810366, -1.6157562011453994, -0.10907552781285151, -0.1925311723973696, 2.859027136905126, 2.3329625607949014]",0.00018945146753878916,0.0003393814979942433,0.0436,,,
original,full_cghik,2,0,True,5,"[-1.5868546577525084, -0.6290177913810366, -1.6157562011453994, -0.10907552781285151, -0.1925311723973696, 2.859027136905126, 2.3329625607949014]",0.0004262892554914093,0.0007634482967259792,0.0436,,,
original,full_cghik,3,0,True,5,"[-1.5868546577525084, -0.6290177913810366, -1.6157562011453994, -0.10907552781285151, -0.1925311723973696, 2.859027136905126, 2.3329625607949014]",0.0007579056999225428,0.0013568432894257574,0.0436,,,
original,full_cghik,4,0,True,5,"[-1.5880523642000604, -0.6303424341433034, -1.6154228766590206, -0.11087266155085351, -0.1923116385904143, 2.8597059044195814, 2.331297995237506]",1.6207719736652416e-06,1.5015510259327883e-06,0.041802866261998,,,
original,full_cghik,5,0,True,5,"[-1.5880523642000604, -0.6303424341433034, -1.6154228766590206, -0.11087266155085351, -0.1923116385904143, 2.8597059044195814, 2.331297995237506]",0.0005212561533963149,0.0009323818358722676,0.0436,,,
original,full_cghik,6,0,True,5,"[-1.5892161485335172, -0.6316141740703499, -1.6151030543108689, -0.1126140372686955, -0.19210130284448979, 2.860366132372603, 2.3297140802833924]",1.5069786300943092e-06,1.3941171904112536e-06,0.041858624282158016,,,
original,full_cghik,7,0,True,5,"[-1.5892161485335172, -0.6316141740703499, -1.6151030543108689, -0.1126140372686955, -0.19210130284448979, 2.860366132372603, 2.3297140802833924]",0.0007112174084196567,0.0012681090376849646,0.0436,,,
original,full_cghik,8,0,True,5,"[-1.590753380858988, -0.6333121115419421, -1.6146835473288672, -0.11491611537824599, -0.19182846007852564, 2.8612363901971682, 2.3276114128470726]",2.6596410044788425e-06,2.461959477552437e-06,0.04129792189044951,,,
original,full_cghik,9,0,True,5,"[-1.590753380858988, -0.6333121115419421, -1.6146835473288672, -0.11491611537824599, -0.19182846007852564, 2.8612363901971682, 2.3276114128470726]",0.0009014807577914453,0.001602346009234885,0.0436,,,
original,full_cghik,10,0,True,5,"[-1.5926708233000013, -0.6354369611496996, -1.6141668355996308, -0.11778568860631117, -0.1914957405602684, 2.862320510783038, 2.325004363395815]",4.147717635251751e-06,3.838744871614867e-06,0.04073042677193482,,,
original,full_cghik,11,0,True,5,"[-1.5938056632292792, -0.636657782922723, -1.6138669484238695, -0.11947444867365802, -0.1913019926577179, 2.86296434002271, 2.323527467495225]",1.4009037149933258e-06,1.2931720307890448e-06,0.04191123993265315,,,
original,full_cghik,12,0,True,5,"[-1.5950072594499756, -0.6379876113717474, -1.6135496048876692, -0.12126919121595763, -0.19110108316175184, 2.8636430391094714, 2.3219208462142906]",1.6222514124055296e-06,1.500492987723079e-06,0.04180525745770039,,,
original,full_cghik,13,0,True,5,"[-1.596303144795983, -0.6394249172077674, -1.6132105626411617, -0.12320379710975483, -0.19088810976315287, 2.8643743669982427, 2.3201960351707136]",1.88959216184471e-06,1.7476169391561123e-06,0.04166539410620279,,,
original,full_cghik,14,0,True,5,"[-1.597693027461015, -0.640969891367667, -1.6128506641137614, -0.12527761877699642, -0.190663937661519, 2.8651580496061295, 2.3183554143970153]",2.1767811740216224e-06,2.0130666094949537e-06,0.041526178332758415,,,
original,full_cghik,15,0,True,5,"[-1.599176486393285, -0.6426227474468056, -1.612470842917678, -0.12748979371613364, -0.19042950417514629, 2.8659937186481614, 2.3164015053438733]",2.483525877776781e-06,2.296565603836164e-06,0.041387825060862776,,,
original,full_cghik,16,0,True,5,"[-1.6007530724293433, -0.6443836988534688, -1.6120721047960815, -0.12983940298608732, -0.1901857954488381, 2.866880986678395, 2.314336988529403]",2.809610304308036e-06,2.5979191944009533e-06,0.04125039073004633,,,
original,full_cghik,17,0,True,5,"[-1.6024223089375282, -0.6462529557494028, -1.6116555289437104, -0.13232547250904342, -0.18993384308001798, 2.867819448504387, 2.312164700495784]",3.1547989436664535e-06,2.9169181948932607e-06,0.0411139304770439,,,
original,full_cghik,18,0,True,5,"[-1.6041836920516017, -0.6482307219038713, -1.6112222693801435, -0.1349469737985551, -0.18967472058446525, 2.8688086823580075, 2.309887630359325]",3.5188353805081614e-06,3.253338194093561e-06,0.04097849871048831,,,
original,full_cghik,19,0,True,5,"[-1.6060366909032582, -0.6503171913761558, -1.6107735563097982, -0.1377028247132905, -0.1894095396448884, 2.869848251081227, 2.3075089160771443]",3.90144130556295e-06,3.606939189304683e-06,0.0408441490852646,,,
original,full_cghik,20,0,True,5,"[-1.6079807478531154, -0.6525125450308631, -1.6103106974518693, -0.14059189023597338, -0.1891394461442576, 2.870937703319464, 2.30503184042141]",4.302315512170968e-06,3.977465195802097e-06,0.040710934477317134,,,
original,full_cghik,21,0,True,5,"[-1.6100152787183633, -0.6548169468914513, -1.6098350793228762, -0.1436129832747054, -0.18886561598659996, 2.872076574713913, 2.302459826651936]",4.721132888389807e-06,4.3646438652205994e-06,0.04057890696126798,,,
