robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,frame_calls,over_20ms_frames,all_frame_cumulative_ns,internal_statuses,failure_reasons,mean_iterations,mean_evaluations,max_frame_latency_ms
panda,pink_qp,Pink QP-IK,high_curvature,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9700000000000001,0.9700000000000001,0.9864235,1.0339972,1.1295966500000005,1323.0010023333332,132.30010023333332,137.50613416666667,146.416593,0.0003336244523090731,0.0009538083780688717,0.0006876220242341873,0.008304875900969308,0.9999999999999997,7.430615398119922,0.14861230796239847,145.5,0,4500,0,3969003007,{},"{""position_tolerance+orientation_tolerance"":135}",,,1.52145
panda,pink_qp,Pink QP-IK,joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.992087,1.0408468,1.4070413,1388.1382383333334,138.81382383333334,145.95558616666665,149.56874546666666,0.00011439073177068548,0.00021513749647973678,0.00020334923127109052,0.0005076675385390474,0.5735095764782464,1.3886328104816574,0.02777265620963315,150.0,0,4500,0,4164414715,{},{},,,1.609258
panda,pink_qp,Pink QP-IK,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,8,8]",0.8,0.9626666666666667,0.9626666666666667,0.9913765,1.0371668,1.14078137,1376.660068,137.6660068,140.53393383333332,146.52624708333335,6.481523533665283e-05,0.0009854507257299875,0.0001369977385307731,0.007358452784580322,0.9999999999999981,7.239683370352795,0.14479366740705588,144.4,0,4500,0,4129980204,{},"{""position_tolerance"":12,""position_tolerance+orientation_tolerance"":156}",,,1.596271
panda,pink_qp,Pink QP-IK,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.990555,1.0280498,1.1266032100000014,1364.6691383333332,136.4669138333333,136.0181095,149.63445988333336,8.874257521999128e-05,0.0001981718022720297,0.00019031372733852576,0.0003579234867976215,0.4952489805131127,0.7588633948120177,0.01517726789624035,150.0,0,4500,0,4094007415,{},{},,,1.515149
panda,single_gn_k0,"Single bounded GN, kappa=0",high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.270297,0.2987365,0.40567709000000024,414.47244700000005,41.447244700000006,41.45344383333334,42.3013143,0.0005848152884855981,0.0009910533919098628,0.0006020927914681377,0.00817448222469978,0.9309916204839473,6.755093340631159,0.13510186681262318,150.0,0,4500,0,1243417341,"{""task_candidate"":4500}",{},2.0206666666666666,4.041333333333333,1.056231
panda,single_gn_k0,"Single bounded GN, kappa=0",joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.2686985,0.28909405,0.3670675600000024,408.80528333333336,40.88052833333334,40.87091816666666,41.32126205,0.00014437002243468204,0.0009631206760161161,0.00019972917578686854,0.008170556965821977,0.8709117586170685,1.4630467721739067,0.029260935443478134,150.0,0,4500,0,1226415850,"{""task_candidate"":4500}",{},1.9986666666666666,3.997333333333333,0.591986
panda,single_gn_k0,"Single bounded GN, kappa=0",near_singular,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.9813333333333333,0.9813333333333333,0.267426,0.29489204999999996,3.830014190000002,492.315402,49.2315402,39.50490216666667,96.90282101666656,0.0007718121570288682,0.0009864015094078872,0.002665660865425827,0.008374835164456808,0.9999999999990037,3.4698718144063365,0.06939743628812672,147.2,0,4500,0,1476946206,"{""task_candidate"":4416,""stationary"":84}","{""position_tolerance"":9,""position_tolerance+orientation_tolerance"":75}",2.1406666666666667,5.6466666666666665,4.700833
panda,single_gn_k0,"Single bounded GN, kappa=0",smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.26924,0.2874131,0.4005527800000001,410.175084,41.017508400000004,40.937754,41.599231683333336,0.0001291380547317655,0.0001575024992381177,0.00013766382941236827,0.00020599842317742045,0.3621189418718588,0.6853338427626345,0.013706676855252686,150.0,0,4500,0,1230525252,"{""task_candidate"":4500}",{},2.0,4.0,0.631749
panda,single_gn_k1,"Single bounded GN, kappa=1",high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.270432,0.3700093000000001,0.4299059800000001,418.99058133333335,41.899058133333334,41.80035866666667,42.765056666666666,0.0005917327558606812,0.0009984198938240677,0.0005899602239907508,0.0081695849392413,0.9999999999989987,6.781800564850192,0.1356360112970039,150.0,0,4500,0,1256971744,"{""task_candidate"":4500}",{},2.022,4.044,0.65549
panda,single_gn_k1,"Single bounded GN, kappa=1",joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.269467,0.28946925,0.3616213900000034,409.877481,40.9877481,40.940662,41.41969975,0.00015229220572651584,0.0009631422853756395,0.00020769357284964503,0.00818213221937994,0.9999999999990011,1.6555578392193029,0.03311115678438606,150.0,0,4500,0,1229632443,"{""task_candidate"":4500}",{},1.9986666666666666,3.997333333333333,0.560546
