robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,frame_calls,over_20ms_frames,all_frame_cumulative_ns,internal_statuses,failure_reasons,mean_iterations,mean_evaluations,max_frame_latency_ms
panda,pink_qp,Pink QP-IK,all,40,3,"[37,37,37]",37.0,0.925,"[37,37,37]",0.925,0.9831666666666666,0.9831666666666666,0.990441,1.03484725,1.1934576899999965,5452.468447,136.311711175,140.50939933333333,149.3976408,0.00019646269395097397,0.0009854507257299875,0.0003938978506710354,0.008304875900969308,0.9999999999999997,4.204448743441598,0.08408897486883196,147.475,0,18000,0,16357405341,{},"{""position_tolerance"":12,""position_tolerance+orientation_tolerance"":291}",,,1.609258
panda,single_gn_k0,"Single bounded GN, kappa=0",all,40,3,"[39,39,39]",39.0,0.975,"[39,39,39]",0.975,0.9953333333333333,0.9953333333333333,0.2689565,0.2915252,0.45279479999999955,1725.7682163333334,43.144205408333335,40.85837416666667,42.24772678333333,0.0004258555879041617,0.0009910533919098628,0.0005491384047761674,0.008374835164456808,0.9999999999990037,3.093336442493509,0.061866728849870184,149.3,0,18000,0,5177304649,"{""task_candidate"":17916,""stationary"":84}","{""position_tolerance"":9,""position_tolerance+orientation_tolerance"":75}",2.04,4.421333333333333,4.700833
panda,single_gn_k1,"Single bounded GN, kappa=1",all,40,3,"[40,40,40]",40.0,1.0,"[40,40,40]",1.0,1.0,1.0,0.269332,0.29310284999999997,0.3995064599999999,1627.4512706666667,40.68628176666667,40.90150166666667,42.683761266666664,0.00043341864564665954,0.0009984198938240677,0.0005515582199189714,0.008318572585554695,0.9999999999990011,3.214350550751528,0.06428701101503057,150.0,0,18000,0,4882353812,"{""task_candidate"":18000}",{},1.9711666666666667,3.9423333333333335,0.65549
panda,trac_task_5ms,TRAC-IK task 5 ms,all,40,3,"[36,37,37]",36.666666666666664,0.9166666666666666,"[36,36,37]",0.9083333333333334,0.9767222222222223,0.9766666666666668,0.1637045,0.2627341999999999,5.22848939,1793.6914246666668,44.84228561666667,25.946813,188.1398364666666,0.0003957250617067423,0.000991478817034015,0.000641307453632045,0.00810624959417929,0.9999999999999968,4.066202979168043,0.08132405958336086,145.875,0,18000,1,5381074274,{},"{""internal_nonconvergence+position_tolerance+orientation_tolerance"":413,""internal_nonconvergence+position_tolerance"":6}",,,48.145123
ur5e,pink_qp,Pink QP-IK,all,40,3,"[38,38,38]",38.0,0.95,"[38,38,37]",0.9416666666666667,0.9876666666666668,0.9876111111111111,0.630199,0.6727871499999999,0.7927677299999999,3830.4263433333335,95.76065858333334,95.1206135,98.19048193333332,0.0001299458951403319,0.0009991808999851898,0.0003204320227118717,0.005258969337769823,1.0,12.105647192445698,0.24211294384891394,146.25,0,18000,1,11491279030,{},"{""internal_nonconvergence+velocity_limit"":3,""position_tolerance"":30,""position_tolerance+orientation_tolerance"":189}",,,48.802535
ur5e,single_gn_k0,"Single bounded GN, kappa=0",all,40,3,"[40,40,40]",40.0,1.0,"[40,40,39]",0.9916666666666666,1.0,0.9999444444444445,0.2598515,0.27403714999999995,0.3391905099999998,1575.997494,39.39993735,39.427421,39.79267823333333,0.0003696115013906751,0.0009981123119061075,0.0004945899909159177,0.008642507365255256,0.9999999999990026,5.743854283610976,0.11487708567221956,150.0,0,18000,1,4727992482,"{""task_candidate"":17999,""deadline"":1}",{},1.9678333333333333,3.935611111111111,48.509805
ur5e,single_gn_k1,"Single bounded GN, kappa=1",all,40,3,"[40,40,40]",40.0,1.0,"[40,40,40]",1.0,1.0,1.0,0.2593855,0.27300989999999997,0.32991755999999994,1556.253041,38.906326025,39.30367066666667,39.74919465,0.0003685952321066644,0.000998078863211934,0.0005196739322335531,0.008642507365255256,0.9999999999990026,5.796038358290539,0.11592076716581078,150.0,0,18000,0,4668759123,"{""task_candidate"":18000}",{},1.9678333333333333,3.9356666666666666,0.556722
ur5e,trac_task_5ms,TRAC-IK task 5 ms,all,40,3,"[38,39,39]",38.666666666666664,0.9666666666666666,"[38,39,39]",0.9666666666666666,0.9957777777777779,0.9957777777777779,0.1541995,0.21558989999999997,0.3654397899999999,1124.411428,28.1102857,24.262169333333333,32.57048143333331,0.00039123244041687944,0.0009558201611921675,0.0006361943651638361,0.007838317760490142,1.0,10.258376131977306,0.20516752263954613,148.475,0,18000,0,3373234284,{},"{""internal_nonconvergence+position_tolerance"":4,""internal_nonconvergence+position_tolerance+orientation_tolerance"":72}",,,5.292555
