robot,uid,site_id,family,method,fixed_updates,repeat,known_zero,zero_found,objective,tau,accepted,changed_exact,max_change_rad,numerical_ns,saved_backup_ns,reconstructed_outer_ns,fixed_actual_updates,joint_actual_updates,zero_found_stage,numerical_phase_times_ns
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,2,1,True,True,0.0,0.0,True,False,0.0,3296961,202773,3499734,0,0,initialization,"{""initialization_ns"":205908,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2931303}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,3293788,202773,3496561,0,0,initialization,"{""initialization_ns"":194359,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2943172}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,4,2,True,True,0.0,0.0,True,False,0.0,3288932,202773,3491705,0,0,initialization,"{""initialization_ns"":188097,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2940853}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,3301029,202773,3503802,0,0,initialization,"{""initialization_ns"":189840,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2952966}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,2,0,True,True,0.0,0.0,True,False,0.0,3272671,202773,3475444,0,0,initialization,"{""initialization_ns"":189746,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2923497}"
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_old,0,1,True,False,3.364536423240048e-20,0.0,True,True,7.815970093361102e-12,5203684,202773,5406457,0,2,,
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,tar_corrected,4,0,True,True,0.0,0.0,True,False,0.0,3297737,202773,3500510,0,0,initialization,"{""initialization_ns"":188686,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2945614}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,6,0,True,True,0.0,0.0,True,False,0.0,3512359,176074,3688433,0,0,initialization,"{""initialization_ns"":243653,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3024914}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,2,2,True,True,0.0,0.0,True,False,0.0,3324829,176074,3500903,0,0,initialization,"{""initialization_ns"":210879,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":2956145}"
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,tar_corrected,6,1,True,True,0.0,0.0,True,False,0.0,3350423,176074,3526497,0,0,initialization,"{""initialization_ns"":188747,""fixed_current_ns"":0,""joint_update_ns"":0,""fk_check_ns"":3003850}"
