method,repeat,q,accepted,finite,joint_limit_ok,velocity_ok,position_m,orientation_rad,orientation_deg,reasons,step,velocity_utilization
gn,0,"[-0.38085684671482817,-0.14562408150583173,-0.7915184101817916,-1.7584102890493405,2.897299999999,1.9174127459789103,-0.8466715507098627]",False,True,True,True,0.00026077928565497753,0.009526955835252406,0.5458543609674948,"[""orientation_tolerance""]","[0.03954681877230093,-0.010336573649684433,-0.04359999999995645,-0.0018427803584646352,0.0,0.008384723500778568,0.0020649756252217877]",0.9999999999990011
gn,1,"[-0.38085684671482817,-0.14562408150583173,-0.7915184101817916,-1.7584102890493405,2.897299999999,1.9174127459789103,-0.8466715507098627]",False,True,True,True,0.00026077928565497753,0.009526955835252406,0.5458543609674948,"[""orientation_tolerance""]","[0.03954681877230093,-0.010336573649684433,-0.04359999999995645,-0.0018427803584646352,0.0,0.008384723500778568,0.0020649756252217877]",0.9999999999990011
gn,2,"[-0.38085684671482817,-0.14562408150583173,-0.7915184101817916,-1.7584102890493405,2.897299999999,1.9174127459789103,-0.8466715507098627]",False,True,True,True,0.00026077928565497753,0.009526955835252406,0.5458543609674948,"[""orientation_tolerance""]","[0.03954681877230093,-0.010336573649684433,-0.04359999999995645,-0.0018427803584646352,0.0,0.008384723500778568,0.0020649756252217877]",0.9999999999990011
old_local_balance,0,"[-0.38027739926017456,-0.14836103734420575,-0.7915184101817916,-1.7612773674567008,2.897299999999,1.9169338885615583,-0.8481138713967367]",True,True,True,True,0.0009718537785781093,0.008211448468080746,0.470481340910192,[],"[0.04012626622695453,-0.013073529488058455,-0.04359999999995645,-0.00470985876582497,0.0,0.007905866083426583,0.0006226549383477886]",0.9999999999990011
old_local_balance,1,"[-0.38027739926017456,-0.14836103734420575,-0.7915184101817916,-1.7612773674567008,2.897299999999,1.9169338885615583,-0.8481138713967367]",True,True,True,True,0.0009718537785781093,0.008211448468080746,0.470481340910192,[],"[0.04012626622695453,-0.013073529488058455,-0.04359999999995645,-0.00470985876582497,0.0,0.007905866083426583,0.0006226549383477886]",0.9999999999990011
old_local_balance,2,"[-0.38027739926017456,-0.14836103734420575,-0.7915184101817916,-1.7612773674567008,2.897299999999,1.9169338885615583,-0.8481138713967367]",True,True,True,True,0.0009718537785781093,0.008211448468080746,0.470481340910192,[],"[0.04012626622695453,-0.013073529488058455,-0.04359999999995645,-0.00470985876582497,0.0,0.007905866083426583,0.0006226549383477886]",0.9999999999990011
cached_tight,0,"[-0.38027739926017456,-0.14836103734420575,-0.7915184101817916,-1.7612773674567008,2.897299999999,1.9169338885615583,-0.8481138713967367]",True,True,True,True,0.0009718537785781093,0.008211448468080746,0.470481340910192,[],"[0.04012626622695453,-0.013073529488058455,-0.04359999999995645,-0.00470985876582497,0.0,0.007905866083426583,0.0006226549383477886]",0.9999999999990011
cached_tight,1,"[-0.38027739926017456,-0.14836103734420575,-0.7915184101817916,-1.7612773674567008,2.897299999999,1.9169338885615583,-0.8481138713967367]",True,True,True,True,0.0009718537785781093,0.008211448468080746,0.470481340910192,[],"[0.04012626622695453,-0.013073529488058455,-0.04359999999995645,-0.00470985876582497,0.0,0.007905866083426583,0.0006226549383477886]",0.9999999999990011
cached_tight,2,"[-0.38027739926017456,-0.14836103734420575,-0.7915184101817916,-1.7612773674567008,2.897299999999,1.9169338885615583,-0.8481138713967367]",True,True,True,True,0.0009718537785781093,0.008211448468080746,0.470481340910192,[],"[0.04012626622695453,-0.013073529488058455,-0.04359999999995645,-0.00470985876582497,0.0,0.007905866083426583,0.0006226549383477886]",0.9999999999990011
relative,0,"[-0.37974026319238063,-0.14882418902790448,-0.7915184101817916,-1.7609080777759363,2.897299999999,1.9172981886651705,-0.8488775578518711]",True,True,True,True,0.0009731705850697795,0.00804224380330363,0.4607866277445374,[],"[0.04066340229474846,-0.013536681171757187,-0.04359999999995645,-0.0043405690850604195,0.0,0.008270166187038797,-0.0001410315167866827]",0.9999999999990011
relative,1,"[-0.37974026319238063,-0.14882418902790448,-0.7915184101817916,-1.7609080777759363,2.897299999999,1.9172981886651705,-0.8488775578518711]",True,True,True,True,0.0009731705850697795,0.00804224380330363,0.4607866277445374,[],"[0.04066340229474846,-0.013536681171757187,-0.04359999999995645,-0.0043405690850604195,0.0,0.008270166187038797,-0.0001410315167866827]",0.9999999999990011
relative,2,"[-0.37974026319238063,-0.14882418902790448,-0.7915184101817916,-1.7609080777759363,2.897299999999,1.9172981886651705,-0.8488775578518711]",True,True,True,True,0.0009731705850697795,0.00804224380330363,0.4607866277445374,[],"[0.04066340229474846,-0.013536681171757187,-0.04359999999995645,-0.0043405690850604195,0.0,0.008270166187038797,-0.0001410315167866827]",0.9999999999990011
