robot,method,frame,uid,x_mm,y_mm,target_x_mm,target_y_mm,position_utilization,orientation_utilization,accepted
panda,direct_sqp,0,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,0.0,0.0,0.0,0.0,0.0,0.0,True
panda,direct_sqp,1,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,1.5632977627172577,0.8179806769985242,2.527143356763677,0.6323479850114684,0.9999999847352542,0.3825076090525669,True
panda,direct_sqp,2,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,4.138129236885335,1.6187987580814054,5.03632202755624,1.2635716783818336,0.9999999500165354,0.9427740373019382,True
panda,direct_sqp,3,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,6.598072851373905,2.1067171847574127,7.509699031841575,1.892548787419617,0.9999999528370188,0.9999999617697705,True
panda,direct_sqp,4,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,9.029686935647092,2.6925974512516513,9.92969189213536,2.5181610137781134,0.9999999776570246,0.9999999840364497,True
panda,direct_sqp,5,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,11.391692101868959,3.3097689818861107,12.279097622437014,3.1392960417494145,0.9999999640373585,0.9999999570812876,True
panda,direct_sqp,6,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,13.664073523117304,3.9268860986599563,14.541215018974096,3.7548495159208017,0.9999999546573858,0.9999999537880904,True
panda,direct_sqp,7,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,15.83043687802699,4.536562740884931,16.69996338393022,4.36372700467863,0.9999999510105696,0.9999999600146313,True
panda,direct_sqp,8,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,17.875741408672738,5.136338105678376,18.73999683818723,4.96484594606766,0.9999999550869868,0.9999999577607109,True
panda,direct_sqp,9,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,19.785795591175813,5.7246718992252825,20.6468134104666,5.557137572546777,0.9999999546188506,0.9999999636823466,True
panda,direct_sqp,10,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,21.5474215785018,6.300157195761661,22.406858127389533,6.139548811218521,0.9999999507839566,0.999999959262117,True
panda,direct_sqp,11,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,23.148345931346945,6.861207393099257,24.007619371619313,6.711044156154511,0.9999999513126241,0.9999999567834186,True
panda,direct_sqp,12,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,24.577383925018683,7.405849353111028,25.437717823106496,7.270607509487066,0.9999999500565437,0.9999999519980458,True
panda,direct_sqp,13,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,25.8245701416769,7.9314102534966295,26.68698735118029,7.817243987994054,0.9999999656605225,0.9999999583619483,True
panda,direct_sqp,14,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,26.881351757056496,8.433955804091845,27.746547282449104,8.349981691965102,0.9999999513404039,0.9999999508176741,True
