robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts,theta_min,theta_max,mean_box_active_updates,mean_backtracking
panda,all,relative,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.3308585,0.5900087999999999,0.65763742,0.396308237191358,856.0257923333332,0,0.0008953447986700017,0.0009992583344808404,0.006743843028332247,0.008693909102669654,0.925071743140734,0.06666666666666667,0.0001046552013299967,0.0019828032316677184,0.9999999999990037,1.4287037037037038,2.4574074074074073,0.5740740740740741,0.425,0.004629629629629629,0.425,0.9893276414087513,1.4569444444444444,"{""native_task_candidate"":6480}",{},0.0,0.5,4.952314814814815,0.42962962962962964
panda,all,tight,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.3297535,2.49874635,3.11933958,0.8119428092592592,1753.7964679999998,0,0.000912155658454713,0.0009989108738166455,0.006919801532593366,0.008694309163738999,0.9318859737688268,0.07546296296296297,8.784434154528683e-05,0.0018068447274066281,0.9999999999990037,1.4097222222222223,4.92037037037037,0.5740740740740741,0.425,0.42314814814814816,0.0,0.0,3.9212962962962963,"{""native_task_candidate"":6480}",{},0.0,1.0,17.331944444444446,0.4097222222222222
panda,all,clarabel,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.3317655,0.8129641,0.8739370900000001,0.4839780533950618,1045.3925953333335,0,0.0009063286892346657,0.000999930269845503,0.00687970631102368,0.008694309174587727,0.9331389068225988,0.07361111111111111,9.367131076533403e-05,0.001846939948976301,0.9999999999990037,1.4166666666666667,2.8467592592592594,0.5740740740740741,0.425,0.425,0.0,0.0,1.8462962962962963,"{""native_task_candidate"":6480}",{},2.1698240526272946e-10,0.9999999999917493,4.825462962962963,0.41759259259259257
panda,all,fixed_qp1,2160,240,3,"[2150,2150,2150]","[2150,2150,2150]",2150.0,0.9953703703703703,0.9953703703703703,2150,10,0.330928,0.5627657,0.63077702,0.3971887936728395,857.9277943333333,0,0.0008912219166842997,0.0009992583344808404,0.0065497611974451,0.008693909102669654,0.9191468231274987,0.06279069767441861,0.00010877808331570028,0.0021768850625549004,0.9999999999990037,1.487962962962963,2.7643518518518517,0.5740740740740741,0.425,0.0,0.0,0.0,1.487037037037037,"{""native_task_candidate"":6450,""stationary"":15,""no_descent"":12,""iteration_limit"":3}","{""orientation_tolerance"":30}",0.5,0.5,4.883796296296296,0.7680555555555556
panda,all,fixed_qp2,2160,240,3,"[2157,2157,2157]","[2157,2157,2157]",2157.0,0.9986111111111111,0.9986111111111111,2157,3,0.3310305,0.7662100499999996,0.84793431,0.46501102253086424,1004.4238086666668,0,0.000896429113022337,0.0009989108738166455,0.0067665844538106566,0.008694326815461312,0.9259144536792314,0.06815020862308763,0.00010357088697766307,0.001960061806189344,0.9999999999990037,1.4416666666666667,2.975,0.5740740740740741,0.425,0.425,0.0,0.0,1.8935185185185186,"{""native_task_candidate"":6471,""stationary"":9}","{""orientation_tolerance"":9}",0.0,1.0,6.7625,0.5236111111111111
panda,multijoint_boundary/alpha=0.95,relative,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.5130885000000001,0.7019742499999999,1.7340827899999998,0.5342464708333333,128.219153,0,0.0009411188491686978,0.0009992583344808404,0.008493171049276707,0.008693909102669654,0.9768693978737382,0.24166666666666667,5.888115083130219e-05,0.00023347521072329336,0.9999999999990037,1.8541666666666667,3.120833333333333,0.175,0.825,0.041666666666666664,0.825,0.9537037037037037,2.1166666666666667,"{""native_task_candidate"":720}",{},0.0,0.5,9.875,0.8625
panda,multijoint_boundary/alpha=0.95,tight,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,1.45393,2.9542777499999997,3.8047273899999983,1.5011002430555556,360.26405833333337,0,0.0009411310441077385,0.0009967136317912877,0.008432461906985962,0.008694309163738999,0.9738496730804134,0.2625,5.8868955892261456e-05,0.0002941843530140367,0.9999999999990037,1.7875,8.625,0.175,0.825,0.825,0.0,0.0,7.629166666666666,"{""native_task_candidate"":720}",{},0.0,1.0,41.108333333333334,0.7875
panda,multijoint_boundary/alpha=0.95,clarabel,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.7407425000000001,0.8908478999999998,1.0082629399999998,0.688431425,165.22354199999998,0,0.0009204540857371778,0.000999930269845503,0.008492794460771334,0.008694309174587727,0.9827456821085213,0.25833333333333336,7.954591426282179e-05,0.00023385179922866524,0.9999999999990037,1.8041666666666667,3.6791666666666667,0.175,0.825,0.825,0.0,0.0,2.675,"{""native_task_candidate"":720}",{},2.1698240526272946e-10,0.9999999999917493,9.233333333333333,0.8125
panda,multijoint_boundary/alpha=0.95,fixed_qp1,240,240,3,"[230,230,230]","[230,230,230]",230.0,0.9583333333333334,0.9583333333333334,230,10,0.484558,0.6669567999999991,6.393637759999999,0.6214864833333333,149.156756,0,0.0009121417071632222,0.0009992583344808404,0.008505217973869819,0.008693909102669654,0.9767642837424819,0.21304347826086956,8.785829283677784e-05,0.00022142828613018126,0.9999999999990037,2.3875,5.883333333333334,0.175,0.825,0.0,0.0,0.0,2.3875,"{""native_task_candidate"":690,""stationary"":15,""no_descent"":12,""iteration_limit"":3}","{""orientation_tolerance"":30}",0.5,0.5,9.258333333333333,3.908333333333333
panda,multijoint_boundary/alpha=0.95,fixed_qp2,240,240,3,"[237,237,237]","[237,237,237]",237.0,0.9875,0.9875,237,3,0.6724730000000001,0.8439387499999998,4.44697736,0.7138333708333333,171.320009,0,0.0009140662290560276,0.0009967136317912877,0.008512069335452458,0.008694326815461312,0.9839468060959853,0.2320675105485232,8.593377094397246e-05,0.00021457692454754113,0.9999999999990037,2.025,4.829166666666667,0.175,0.825,0.825,0.0,0.0,3.095833333333333,"{""native_task_candidate"":711,""stationary"":9}","{""orientation_tolerance"":9}",0.0,1.0,14.3625,1.7625
