robot,uid,method,anchor_uid,displacement,alpha,accepted,mean_ms,mean_total_local_qp_calls,max_qps_one_local_model,exit_reasons
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,0.462276,2.0,1,"{""fixed_budget"":3}"
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,0.6361953333333333,3.0,2,"{""fixed_budget"":3}"
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,1.2409856666666668,7.0,6,"{""tight_gap"":3}"
panda,814e752ae1b98171bc854266ea34ff88a181061860aa7f93ec048ce8114138de,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.5,1.0,0.704669,3.0,2,"{""conic_solved"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,0.4948363333333333,2.0,1,"{""relative_progress"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,0.45366666666666666,2.0,1,"{""fixed_budget"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,0.6329856666666667,3.0,2,"{""fixed_budget"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,1.245257,7.0,6,"{""tight_gap"":3}"
panda,e7f259653547d1afded9e905c38f7ae579e852767648993b64f82ca9734f73eb,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,high_utilization,0.95,1.0,0.700089,3.0,2,"{""conic_solved"":3}"
panda,b45ab3b9c740cd929ca65abaf3b0b5a21d93c008c7d875ecb212b165f4eac4cf,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.0,1.0,0.6098286666666666,2.0,1,"{""relative_progress"":3}"
panda,b45ab3b9c740cd929ca65abaf3b0b5a21d93c008c7d875ecb212b165f4eac4cf,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.0,1.0,0.5980396666666666,2.0,1,"{""fixed_budget"":3}"
panda,b45ab3b9c740cd929ca65abaf3b0b5a21d93c008c7d875ecb212b165f4eac4cf,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.0,1.0,0.8138126666666666,3.0,2,"{""fixed_budget"":3}"
panda,b45ab3b9c740cd929ca65abaf3b0b5a21d93c008c7d875ecb212b165f4eac4cf,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.0,1.0,1.8565686666666668,8.0,7,"{""tight_gap"":3}"
panda,b45ab3b9c740cd929ca65abaf3b0b5a21d93c008c7d875ecb212b165f4eac4cf,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.0,1.0,0.8228686666666666,3.0,2,"{""conic_solved"":3}"
panda,597529a0dc24390539e547633e0449e77e8c50b31a3c7f2fd26f2a7629329aa6,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.5,1.0,0.568821,2.0,1,"{""relative_progress"":3}"
panda,597529a0dc24390539e547633e0449e77e8c50b31a3c7f2fd26f2a7629329aa6,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.5,1.0,0.5310823333333333,2.0,1,"{""fixed_budget"":3}"
panda,597529a0dc24390539e547633e0449e77e8c50b31a3c7f2fd26f2a7629329aa6,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.5,1.0,0.786834,3.0,2,"{""fixed_budget"":3}"
panda,597529a0dc24390539e547633e0449e77e8c50b31a3c7f2fd26f2a7629329aa6,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.5,1.0,2.142089,9.0,8,"{""tight_gap"":3}"
panda,597529a0dc24390539e547633e0449e77e8c50b31a3c7f2fd26f2a7629329aa6,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.5,1.0,0.7686636666666666,3.0,2,"{""conic_solved"":3}"
panda,58fe93263e673a2f52635f103c57696f02afd278d29e6bd230eff6fca79e2e14,relative,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.95,1.0,0.5637546666666666,2.0,1,"{""relative_progress"":3}"
panda,58fe93263e673a2f52635f103c57696f02afd278d29e6bd230eff6fca79e2e14,fixed_qp1,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.95,1.0,0.5344893333333334,2.0,1,"{""fixed_budget"":3}"
panda,58fe93263e673a2f52635f103c57696f02afd278d29e6bd230eff6fca79e2e14,fixed_qp2,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.95,1.0,0.7579546666666667,3.0,2,"{""fixed_budget"":3}"
panda,58fe93263e673a2f52635f103c57696f02afd278d29e6bd230eff6fca79e2e14,tight,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.95,1.0,1.8775473333333332,9.0,8,"{""tight_gap"":3}"
panda,58fe93263e673a2f52635f103c57696f02afd278d29e6bd230eff6fca79e2e14,clarabel,de84ba6e3276bfb5fc60cede71b85e78cc2bc2de4e0bff7aad62a384ef494b56,multijoint_boundary,0.95,1.0,0.7966053333333334,3.0,2,"{""conic_solved"":3}"
panda,abc13380c2c653d1658d73cda225c880bcc7936d48983761d9236a99073f67c4,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.0,1.0,0.2802163333333333,1.0,1,{}
panda,abc13380c2c653d1658d73cda225c880bcc7936d48983761d9236a99073f67c4,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.0,1.0,0.27185566666666666,1.0,1,{}
panda,abc13380c2c653d1658d73cda225c880bcc7936d48983761d9236a99073f67c4,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.0,1.0,0.2869646666666667,1.0,1,{}
panda,abc13380c2c653d1658d73cda225c880bcc7936d48983761d9236a99073f67c4,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.0,1.0,0.282792,1.0,1,{}
panda,abc13380c2c653d1658d73cda225c880bcc7936d48983761d9236a99073f67c4,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.0,1.0,0.2851683333333333,1.0,1,{}
panda,6a1f1e8c7a057ae45cef815a0e50f39b58f8accb3f9842c42fc298d5836d2ead,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.5,1.0,0.28708833333333333,1.0,1,{}
panda,6a1f1e8c7a057ae45cef815a0e50f39b58f8accb3f9842c42fc298d5836d2ead,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.5,1.0,0.28749,1.0,1,{}
panda,6a1f1e8c7a057ae45cef815a0e50f39b58f8accb3f9842c42fc298d5836d2ead,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.5,1.0,0.2770966666666667,1.0,1,{}
panda,6a1f1e8c7a057ae45cef815a0e50f39b58f8accb3f9842c42fc298d5836d2ead,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.5,1.0,0.26849,1.0,1,{}
panda,6a1f1e8c7a057ae45cef815a0e50f39b58f8accb3f9842c42fc298d5836d2ead,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.5,1.0,0.28240133333333334,1.0,1,{}
panda,7002009a534079231f2f06d5e25f0cbae7b2da59c9e55b7423bbb23cf8400955,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.95,1.0,0.2866656666666667,1.0,1,{}
panda,7002009a534079231f2f06d5e25f0cbae7b2da59c9e55b7423bbb23cf8400955,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.95,1.0,0.2778623333333333,1.0,1,{}
panda,7002009a534079231f2f06d5e25f0cbae7b2da59c9e55b7423bbb23cf8400955,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.95,1.0,0.271898,1.0,1,{}
panda,7002009a534079231f2f06d5e25f0cbae7b2da59c9e55b7423bbb23cf8400955,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.95,1.0,0.287688,1.0,1,{}
panda,7002009a534079231f2f06d5e25f0cbae7b2da59c9e55b7423bbb23cf8400955,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,regular,0.95,1.0,0.2749223333333333,1.0,1,{}
panda,78e5a5faa6f7993168ba3eb3d71274f4f6d0a69979fc797c8c4d87c308ec4228,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.0,1.0,0.293398,1.0,1,{}
panda,78e5a5faa6f7993168ba3eb3d71274f4f6d0a69979fc797c8c4d87c308ec4228,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.0,1.0,0.2794516666666667,1.0,1,{}
panda,78e5a5faa6f7993168ba3eb3d71274f4f6d0a69979fc797c8c4d87c308ec4228,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.0,1.0,0.272484,1.0,1,{}
panda,78e5a5faa6f7993168ba3eb3d71274f4f6d0a69979fc797c8c4d87c308ec4228,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.0,1.0,0.2767533333333333,1.0,1,{}
panda,78e5a5faa6f7993168ba3eb3d71274f4f6d0a69979fc797c8c4d87c308ec4228,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.0,1.0,0.2918983333333333,1.0,1,{}
panda,f33e0327bc8cdd536fd18f6a44efabbe0ea5c7b4a3a1db292541c84e6a88e2f6,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.5,1.0,0.278625,1.0,1,{}
panda,f33e0327bc8cdd536fd18f6a44efabbe0ea5c7b4a3a1db292541c84e6a88e2f6,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.5,1.0,0.2860063333333333,1.0,1,{}
panda,f33e0327bc8cdd536fd18f6a44efabbe0ea5c7b4a3a1db292541c84e6a88e2f6,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.5,1.0,0.275383,1.0,1,{}
panda,f33e0327bc8cdd536fd18f6a44efabbe0ea5c7b4a3a1db292541c84e6a88e2f6,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.5,1.0,0.27349033333333334,1.0,1,{}
panda,f33e0327bc8cdd536fd18f6a44efabbe0ea5c7b4a3a1db292541c84e6a88e2f6,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.5,1.0,0.2801013333333333,1.0,1,{}
panda,d44168c5f5dc88f863990ebf367b9250cfd6809d0779e9720e02158c4a1468ad,relative,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.95,1.0,0.268419,1.0,1,{}
panda,d44168c5f5dc88f863990ebf367b9250cfd6809d0779e9720e02158c4a1468ad,fixed_qp1,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.95,1.0,0.2778063333333333,1.0,1,{}
panda,d44168c5f5dc88f863990ebf367b9250cfd6809d0779e9720e02158c4a1468ad,fixed_qp2,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.95,1.0,0.28118166666666666,1.0,1,{}
panda,d44168c5f5dc88f863990ebf367b9250cfd6809d0779e9720e02158c4a1468ad,tight,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.95,1.0,0.27107966666666666,1.0,1,{}
panda,d44168c5f5dc88f863990ebf367b9250cfd6809d0779e9720e02158c4a1468ad,clarabel,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,high_utilization,0.95,1.0,0.27246566666666666,1.0,1,{}
