robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts
ur5e,near_limit/regular/alpha=0.5,fixed_qp1,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.2679,0.29853479999999993,0.33344652999999996,0.27048995833333334,21.639196666666667,0,0.0005031719734086466,0.0009655327566168958,0.001223312630732068,0.006702366746738568,0.5031719734086466,0.0125,0.0004968280265913531,0.007503333629267927,0.9999999999990026,1.0,1.9875,0.9875,0.0,0.0,0.0,,0.9875,"{""native_task_candidate"":240}",{}
ur5e,near_limit/regular/alpha=0.5,fixed_qp2,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.26400049999999997,0.2968157,0.33930326999999993,0.2686056,21.488448,0,0.0005031719734086466,0.0009655327566168958,0.001223312630732068,0.006702366746738568,0.5031719734086466,0.0125,0.0004968280265913531,0.007503333629267927,0.9999999999990026,1.0,1.9875,0.9875,0.0,0.0,0.0,,0.9875,"{""native_task_candidate"":240}",{}
ur5e,near_limit/regular/alpha=0.95,relative,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.2697435,0.3077292,0.33324391999999997,0.2738979833333333,21.911838666666664,0,0.0005920501101578898,0.0008835012102418424,0.002779593578321088,0.0054498174670932955,0.5920501101578898,0.0,0.0004079498898421094,0.0059470526816789064,0.9999999999990026,1.0,2.0,1.0,0.0,0.0,0.0,,1.0,"{""native_task_candidate"":240}",{}
ur5e,near_limit/regular/alpha=0.95,gn,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.297091,0.33353784999999997,0.38679858999999994,0.3032888125,24.263105,0,0.0005920501101578898,0.0008835012102418424,0.002779593578321088,0.0054498174670932955,0.5920501101578898,0.0,0.0004079498898421094,0.0059470526816789064,0.9999999999990026,2.0,4.0,,,,,,,"{""task_candidate"":240}",{}
ur5e,near_limit/regular/alpha=0.95,tight,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.2684915,0.3021522,0.34873237999999984,0.27775116250000004,22.220093000000002,0,0.0005920501101578898,0.0008835012102418424,0.002779593578321088,0.0054498174670932955,0.5920501101578898,0.0,0.0004079498898421094,0.0059470526816789064,0.9999999999990026,1.0,2.0,1.0,0.0,0.0,0.0,,1.0,"{""native_task_candidate"":240}",{}
ur5e,near_limit/regular/alpha=0.95,clarabel,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.2713795,0.30993624999999997,0.33761229,0.2763493125,22.107945,0,0.0005920501101578898,0.0008835012102418424,0.002779593578321088,0.0054498174670932955,0.5920501101578898,0.0,0.0004079498898421094,0.0059470526816789064,0.9999999999990026,1.0,2.0,1.0,0.0,0.0,0.0,,1.0,"{""native_task_candidate"":240}",{}
ur5e,near_limit/regular/alpha=0.95,range_loss_matched,80,80,3,"[79,79,79]","[79,79,79]",79.0,0.9875,0.9875,79,1,1.7366455,3.4957374,3.8708993499999997,1.7972691708333335,143.78153366666666,0,0.0009612698234491553,0.0009860869658993919,0.008683792881161403,0.008716342811664796,0.9950893645093623,0.45569620253164556,3.8730176550844646e-05,4.2853378838596945e-05,0.6111396213034797,9.125,23.05,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":237,""optimizer:CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"":3}","{""position_tolerance+orientation_tolerance"":3}"
ur5e,near_limit/regular/alpha=0.95,direct_sqp,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,1.5566765,2.15567635,2.2946091499999994,1.5379251291666667,123.03401033333334,0,0.0009999999908257185,0.0009999999981502247,0.008726646174783304,0.00872664624780837,0.9999999960693299,1.0,9.174281592663065e-12,8.52166957658607e-11,0.5391380062178261,10.8875,17.4,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":240}",{}
ur5e,near_limit/regular/alpha=0.95,fixed_qp1,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.269911,0.3082213999999999,0.34945072,0.2742515541666667,21.940124333333333,0,0.0005920501101578898,0.0008835012102418424,0.002779593578321088,0.0054498174670932955,0.5920501101578898,0.0,0.0004079498898421094,0.0059470526816789064,0.9999999999990026,1.0,2.0,1.0,0.0,0.0,0.0,,1.0,"{""native_task_candidate"":240}",{}
ur5e,near_limit/regular/alpha=0.95,fixed_qp2,80,80,3,"[80,80,80]","[80,80,80]",80.0,1.0,1.0,80,0,0.26793,0.31455294999999994,0.34695358999999976,0.27247492916666666,21.79799433333333,0,0.0005920501101578898,0.0008835012102418424,0.002779593578321088,0.0054498174670932955,0.5920501101578898,0.0,0.0004079498898421094,0.0059470526816789064,0.9999999999990026,1.0,2.0,1.0,0.0,0.0,0.0,,1.0,"{""native_task_candidate"":240}",{}
