robot,scale,method,witness_feasible,family,calls,units,verified_success,internal_success,accepted_within_20ms,returned_within_5ms,returned_within_20ms,total_latency_ns,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_max_ms,internal_failure__task_reject,internal_failure__task_accept,internal_success__task_reject,internal_success__task_accept,accepted_position,accepted_orientation,all_returned_position,all_returned_orientation,joint_rejections,velocity_rejections,native_failure_task_accept,missed_calls,misses_per_sweep,any_repeat_missed_uids,all_repeats_missed_uids,false_acceptances
panda,1.0,trac_strict_5ms,True,near_singular,300,100,1.0,1.0,1.0,1.0,1.0,64753709,0.210194,0.2653318500000001,0.3040589299999999,0.21584569666666667,0.349287,0,0,0,300,"{'p50': 9.93908603446748e-07, 'p95': 8.612386536922041e-06, 'p99': 1.1552821108552803e-05, 'mean': 2.5560225740042637e-06, 'max': 1.1700802146458053e-05}","{'p50': 1.8785743436917965e-06, 'p95': 1.016559997348547e-05, 'p99': 1.2920688132825676e-05, 'mean': 3.3793331845988126e-06, 'max': 1.5342909732308917e-05}","{'p50': 9.93908603446748e-07, 'p95': 8.612386536922041e-06, 'p99': 1.1552821108552803e-05, 'mean': 2.5560225740042637e-06, 'max': 1.1700802146458053e-05}","{'p50': 1.8785743436917965e-06, 'p95': 1.016559997348547e-05, 'p99': 1.2920688132825676e-05, 'mean': 3.3793331845988126e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,2.0,dls_task,True,hard_feasible,100,100,1.0,1.0,1.0,0.99,1.0,87392197,0.5930435000000001,1.9559868499999988,4.5301343600000035,0.8739219699999999,5.216042,0,0,0,100,"{'p50': 0.0009275758595864484, 'p95': 0.0019182817254431337, 'p99': 0.001953525477688029, 'mean': 0.0009023971993844269, 'max': 0.001959634713682713}","{'p50': 0.001779740874746165, 'p95': 0.005695271179822914, 'p99': 0.00670689490804463, 'mean': 0.0021150081122309618, 'max': 0.007530125217429482}","{'p50': 0.0009275758595864484, 'p95': 0.0019182817254431337, 'p99': 0.001953525477688029, 'mean': 0.0009023971993844269, 'max': 0.001959634713682713}","{'p50': 0.001779740874746165, 'p95': 0.005695271179822914, 'p99': 0.00670689490804463, 'mean': 0.0021150081122309618, 'max': 0.007530125217429482}",0,0,0,0,0.0,0,0,0
panda,2.0,dls_task,True,local,200,200,1.0,1.0,1.0,1.0,1.0,112148229,0.584133,0.6194527499999999,0.6817187099999997,0.560741145,1.582519,0,0,0,200,"{'p50': 8.117295333242559e-05, 'p95': 0.0011623327628334102, 'p99': 0.0018575780856522738, 'mean': 0.0002215165057937225, 'max': 0.001923136851322994}","{'p50': 0.00014396263843668416, 'p95': 0.008499552370702297, 'p99': 0.00978298404665394, 'mean': 0.0009545501610615895, 'max': 0.015872013569814717}","{'p50': 8.117295333242559e-05, 'p95': 0.0011623327628334102, 'p99': 0.0018575780856522738, 'mean': 0.0002215165057937225, 'max': 0.001923136851322994}","{'p50': 0.00014396263843668416, 'p95': 0.008499552370702297, 'p99': 0.00978298404665394, 'mean': 0.0009545501610615895, 'max': 0.015872013569814717}",0,0,0,0,0.0,0,0,0
panda,2.0,dls_task,True,near_limit,100,100,1.0,1.0,1.0,1.0,1.0,58171528,0.5845515,0.6162422,0.685278960000002,0.58171528,1.085136,0,0,0,100,"{'p50': 6.868011285075766e-05, 'p95': 0.0005804551304618848, 'p99': 0.001880851289533807, 'mean': 0.0001603651202221297, 'max': 0.0019018255866279463}","{'p50': 0.00011067933507055984, 'p95': 0.0034648079907201334, 'p99': 0.00824273109961075, 'mean': 0.000572363056576799, 'max': 0.010404490542165693}","{'p50': 6.868011285075766e-05, 'p95': 0.0005804551304618848, 'p99': 0.001880851289533807, 'mean': 0.0001603651202221297, 'max': 0.0019018255866279463}","{'p50': 0.00011067933507055984, 'p95': 0.0034648079907201334, 'p99': 0.00824273109961075, 'mean': 0.000572363056576799, 'max': 0.010404490542165693}",0,0,0,0,0.0,0,0,0
panda,2.0,dls_task,True,near_singular,100,100,1.0,1.0,1.0,1.0,1.0,57458079,0.5846960000000001,0.6114735,0.63864564,0.57458079,0.652668,0,0,0,100,"{'p50': 0.00022330577414878577, 'p95': 0.0008666581287106785, 'p99': 0.0016705555881607495, 'mean': 0.00030000985045112256, 'max': 0.0018505297946982806}","{'p50': 0.000851905038161742, 'p95': 0.0026483738909574527, 'p99': 0.007870303848949349, 'mean': 0.001257283722979471, 'max': 0.009262199217405138}","{'p50': 0.00022330577414878577, 'p95': 0.0008666581287106785, 'p99': 0.0016705555881607495, 'mean': 0.00030000985045112256, 'max': 0.0018505297946982806}","{'p50': 0.000851905038161742, 'p95': 0.0026483738909574527, 'p99': 0.007870303848949349, 'mean': 0.001257283722979471, 'max': 0.009262199217405138}",0,0,0,0,0.0,0,0,0
panda,2.0,trac_strict_5ms,True,hard_feasible,300,100,1.0,1.0,1.0,1.0,1.0,75361107,0.21612599999999998,0.38675790000000004,0.42945381,0.25120369000000004,0.497659,0,0,0,300,"{'p50': 7.63682463412717e-07, 'p95': 7.994732837894415e-06, 'p99': 1.093147016809379e-05, 'mean': 2.2115104524127466e-06, 'max': 1.4076374855948437e-05}","{'p50': 8.546583038723624e-07, 'p95': 9.548684026093899e-06, 'p99': 1.2593468614224967e-05, 'mean': 2.3791273173990018e-06, 'max': 1.2673819373614663e-05}","{'p50': 7.63682463412717e-07, 'p95': 7.994732837894415e-06, 'p99': 1.093147016809379e-05, 'mean': 2.2115104524127466e-06, 'max': 1.4076374855948437e-05}","{'p50': 8.546583038723624e-07, 'p95': 9.548684026093899e-06, 'p99': 1.2593468614224967e-05, 'mean': 2.3791273173990018e-06, 'max': 1.2673819373614663e-05}",0,0,0,0,0.0,0,0,0
panda,2.0,trac_strict_5ms,True,local,600,200,1.0,1.0,1.0,1.0,1.0,125809938,0.20291399999999998,0.24591374999999993,0.30104368999999986,0.20968323,0.452676,0,0,0,600,"{'p50': 1.4186026315014397e-08, 'p95': 3.3596952031395096e-06, 'p99': 8.506531923475022e-06, 'mean': 5.273990828133833e-07, 'max': 1.0577627164283198e-05}","{'p50': 3.5165186972368615e-08, 'p95': 5.534758028729804e-06, 'p99': 9.128810359025076e-06, 'mean': 7.176590001909535e-07, 'max': 1.1642585222737674e-05}","{'p50': 1.4186026315014397e-08, 'p95': 3.3596952031395096e-06, 'p99': 8.506531923475022e-06, 'mean': 5.273990828133833e-07, 'max': 1.0577627164283198e-05}","{'p50': 3.5165186972368615e-08, 'p95': 5.534758028729804e-06, 'p99': 9.128810359025076e-06, 'mean': 7.176590001909535e-07, 'max': 1.1642585222737674e-05}",0,0,0,0,0.0,0,0,0
panda,2.0,trac_strict_5ms,True,near_limit,300,100,1.0,1.0,1.0,1.0,1.0,64682138,0.20342749999999998,0.29828685,0.34888982999999996,0.21560712666666665,0.601895,0,0,0,300,"{'p50': 1.8656208221991684e-08, 'p95': 5.25221730489917e-06, 'p99': 7.627786770631113e-06, 'mean': 6.210538032178341e-07, 'max': 1.0192707423156883e-05}","{'p50': 3.4462550051426405e-08, 'p95': 6.609942691161063e-06, 'p99': 1.2427773036296706e-05, 'mean': 9.120439320646956e-07, 'max': 1.254021999493987e-05}","{'p50': 1.8656208221991684e-08, 'p95': 5.25221730489917e-06, 'p99': 7.627786770631113e-06, 'mean': 6.210538032178341e-07, 'max': 1.0192707423156883e-05}","{'p50': 3.4462550051426405e-08, 'p95': 6.609942691161063e-06, 'p99': 1.2427773036296706e-05, 'mean': 9.120439320646956e-07, 'max': 1.254021999493987e-05}",0,0,0,0,0.0,0,0,0
panda,2.0,trac_strict_5ms,True,near_singular,300,100,1.0,1.0,1.0,1.0,1.0,65519867,0.211582,0.2754031,0.3193241399999999,0.2183995566666667,0.383901,0,0,0,300,"{'p50': 9.623248467045116e-07, 'p95': 8.612386536922041e-06, 'p99': 1.1552821108552803e-05, 'mean': 2.5263922746149643e-06, 'max': 1.1700802146458053e-05}","{'p50': 1.664847445485466e-06, 'p95': 1.1808850968503021e-05, 'p99': 1.4017724623414816e-05, 'mean': 3.3985635450230416e-06, 'max': 1.5342909732308917e-05}","{'p50': 9.623248467045116e-07, 'p95': 8.612386536922041e-06, 'p99': 1.1552821108552803e-05, 'mean': 2.5263922746149643e-06, 'max': 1.1700802146458053e-05}","{'p50': 1.664847445485466e-06, 'p95': 1.1808850968503021e-05, 'p99': 1.4017724623414816e-05, 'mean': 3.3985635450230416e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,2.0,trac_task_5ms,True,hard_feasible,300,100,1.0,1.0,1.0,1.0,1.0,64818408,0.20294600000000002,0.31460895,0.38391468999999967,0.21606136,0.463524,0,0,0,300,"{'p50': 0.0004621453880056641, 'p95': 0.0013813502249451885, 'p99': 0.001627383730945453, 'mean': 0.0006095905442389175, 'max': 0.001657900897627815}","{'p50': 0.001401278094494203, 'p95': 0.00521738889271424, 'p99': 0.007660272654512185, 'mean': 0.0016401966618690212, 'max': 0.012659070715007775}","{'p50': 0.0004621453880056641, 'p95': 0.0013813502249451885, 'p99': 0.001627383730945453, 'mean': 0.0006095905442389175, 'max': 0.001657900897627815}","{'p50': 0.001401278094494203, 'p95': 0.00521738889271424, 'p99': 0.007660272654512185, 'mean': 0.0016401966618690212, 'max': 0.012659070715007775}",0,0,0,0,0.0,0,0,0
