robot,training_seed,reject_auroc,reject_ece,false_reject_rate,reject_recall,nonreject_macro_f1
panda,17,0.9980001806469402,0.0009919409714060155,0.0,0.9891563078550648,0.6386930676834867
ur5e,17,0.9999999835559853,2.35904349003897e-05,0.0,0.9997326203208556,0.596496663369106
panda,29,0.9974047824332131,0.0009062130195996695,0.0,0.9888947646747752,0.6419775130925104
ur5e,29,0.9999999835559853,5.8777736743128706e-05,6.150061500615006e-05,0.9997326203208556,0.6057287092073677
panda,43,0.9975770290422292,0.0012342609648365067,0.0,0.9888947646747752,0.6376565872414107
ur5e,43,0.9999999506679559,2.8135976504376404e-05,0.0,0.9997326203208556,0.594804618170985
